"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.466,0.418,0.481,0.503,0.409
"P04","Realizo changas o trabajos de vez en cuando",0.173,0.148,0.227,0.23,0.193
"P04","No tengo trabajo",0.16,0.171,0.196,0.172,0.215
"P04","Soy jubilado o pensionado",0.201,0.263,0.096,0.095,0.183
"P05","1",0.243,0.377,0.379,0.102,0.276
"P05","2",0.061,0.071,0.087,0.072,0.073
"P05","3",0.035,0.068,0.097,0.008,0.074
"P05","4",0.05,0.111,0.079,0.058,0.09
"P05","5",0.123,0.22,0.188,0.182,0.263
"P05","6",0.06,0.037,0.019,0.054,0.059
"P05","7",0.122,0.036,0.033,0.104,0.031
"P05","8",0.075,0.016,0.03,0.13,0.032
"P05","9",0.231,0.064,0.088,0.29,0.102
"P06","1",0.479,0.18,0.126,0.38,0.188
"P06","2",0.067,0.034,0.038,0.071,0.058
"P06","3",0.052,0.027,0.024,0.07,0.029
"P06","4",0.041,0.051,0.032,0.06,0.063
"P06","5",0.134,0.238,0.157,0.198,0.264
"P06","6",0.031,0.063,0.049,0.023,0.069
"P06","7",0.032,0.077,0.09,0.033,0.064
"P06","8",0.036,0.058,0.108,0.047,0.069
"P06","9",0.128,0.272,0.376,0.118,0.196
"P07","1",0.585,0.26,0.186,0.753,0.266
"P07","2",0.041,0.033,0.022,0.019,0.055
"P07","3",0.032,0.034,0.02,0.011,0.022
"P07","4",0.015,0.026,0.02,0.041,0.03
"P07","5",0.065,0.137,0.136,0.026,0.143
"P07","6",0.01,0.026,0.036,0.008,0.024
"P07","7",0.016,0.042,0.059,0.01,0.043
"P07","8",0.02,0.049,0.071,0.015,0.033
"P07","9",0.216,0.393,0.45,0.117,0.384
"P09","Del Frente de Todos y el peronismo",0.796,0.102,0.045,0.143,0.164
"P09","De Cambiemos",0.076,0.711,0.202,0.028,0.313
"P09","De los Liberales libertarios",0.012,0.059,0.597,0.016,0.076
"P09","De la Izquierda",0.021,0.015,0.018,0.521,0.022
"P09","No sabe",0.095,0.113,0.138,0.292,0.425
"P10","A Alberto Fernández",0.163,0.215,0.158,0.21,0.249
"P10","A Sergio Massa",0.155,0.151,0.149,0.082,0.185
"P10","A algún candidato del peronismo",0.144,0.404,0.526,0.155,0.373
"P10","A algún candidato del kirchnerismo",0.538,0.23,0.167,0.553,0.193
"P11","A Alberto Fernández",0.091,0.162,0.139,0.017,0.152
"P11","A Sergio Massa",0.08,0.155,0.145,0,0.15
"P11","A algún candidato del peronismo",0.075,0.447,0.534,0.088,0.359
"P11","A Cristina Fernández de Kirchner",0.754,0.236,0.182,0.895,0.339
"P12","A Horacio Rodriguez Larreta",0.276,0.335,0.131,0.264,0.13
