"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.413,0.419,0.463,0.503,0.461
"P04","Realizo changas o trabajos de vez en cuando",0.162,0.194,0.229,0.215,0.175
"P04","No tengo trabajo",0.168,0.183,0.216,0.214,0.171
"P04","Soy jubilado o pensionado",0.257,0.204,0.092,0.068,0.193
"P05","1",0.371,0.29,0.37,0.153,0.243
"P05","2",0.074,0.059,0.083,0.067,0.07
"P05","3",0.076,0.042,0.099,0.018,0.052
"P05","4",0.109,0.064,0.07,0.026,0.075
"P05","5",0.205,0.125,0.19,0.128,0.254
"P05","6",0.04,0.045,0.025,0.037,0.062
"P05","7",0.034,0.104,0.04,0.153,0.061
"P05","8",0.02,0.06,0.027,0.12,0.05
"P05","9",0.071,0.211,0.096,0.298,0.133
"P06","1",0.197,0.439,0.141,0.482,0.267
"P06","2",0.033,0.078,0.029,0.081,0.053
"P06","3",0.04,0.04,0.029,0.048,0.033
"P06","4",0.049,0.039,0.035,0.05,0.058
"P06","5",0.229,0.146,0.157,0.145,0.244
"P06","6",0.059,0.033,0.055,0.025,0.059
"P06","7",0.082,0.033,0.08,0.022,0.059
"P06","8",0.062,0.033,0.102,0.034,0.058
"P06","9",0.249,0.159,0.372,0.113,0.169
"P07","1",0.268,0.515,0.202,0.632,0.385
"P07","2",0.036,0.043,0.018,0.032,0.047
"P07","3",0.042,0.024,0.025,0.014,0.018
"P07","4",0.026,0.013,0.02,0.027,0.031
"P07","5",0.131,0.076,0.129,0.053,0.13
"P07","6",0.022,0.014,0.032,0.009,0.021
"P07","7",0.044,0.023,0.05,0.005,0.032
"P07","8",0.053,0.019,0.066,0.007,0.035
"P07","9",0.378,0.273,0.458,0.221,0.301
"P09","Del Frente de Todos y el peronismo",0.134,0.738,0.056,0.268,0.335
"P09","De Cambiemos",0.679,0.138,0.18,0.054,0.229
"P09","De los Liberales libertarios",0.049,0.016,0.6,0.054,0.056
"P09","De la Izquierda",0.018,0.006,0.017,0.367,0.032
"P09","No sabe",0.12,0.102,0.147,0.257,0.348
"P10","A Alberto Fernández",0.167,0.223,0.232,0.113,0.088
"P10","A Sergio Massa",0.195,0.172,0.145,0.11,0.125
"P10","A algún candidato del peronismo",0.309,0.128,0.464,0.187,0.264
"P10","A algún candidato del kirchnerismo",0.329,0.477,0.159,0.59,0.523
"P11","A Alberto Fernández",0.101,0.153,0.174,0.012,0.024
"P11","A Sergio Massa",0.127,0.095,0.127,0.118,0.088
"P11","A algún candidato del peronismo",0.267,0.078,0.506,0.107,0.194
"P11","A Cristina Fernández de Kirchner",0.505,0.674,0.193,0.763,0.694
"P12","A Horacio Rodriguez Larreta",0.323,0.291,0.171,0.141,0.158
"P12","A Mauricio Macri",0.319,0.341,0.359,0.598,0.391
"P12","A Patricia Bullrich",0.224,0.203,0.424,0.154,0.267
"P12","A Facundo Manes",0.084,0.113,0.035,0.107,0.145
"P12","A Gerardo Morales",0.05,0.052,0.011,0,0.039
"P13","Seguro lo votaria",0.215,0.218,0.408,0.208,0.123
"P13","Quizás lo votaría",0.32,0.284,0.369,0.051,0.312
"P13","Nunca lo votaría",0.465,0.498,0.223,0.741,0.565
"P14","Lo votaría",0.462,0.107,0.196,0.074,0.155
"P14","Puede que lo vote",0.247,0.078,0.318,0.066,0.127
"P14","Nunca lo votaría",0.216,0.741,0.388,0.663,0.561
"P14","No sabe",0.075,0.074,0.098,0.197,0.157
"P15","Lo votaría",0.097,0.272,0.065,0.087,0.08
"P15","Puede que lo vote",0.113,0.374,0.087,0.183,0.221
"P15","Nunca lo votaría",0.731,0.273,0.788,0.528,0.532
"P15","No sabe",0.059,0.081,0.06,0.202,0.167
"P16","Lo votaría",0.051,0.341,0.017,0.06,0.042
"P16","Puede que lo vote",0.072,0.388,0.036,0.214,0.173
"P16","Nunca lo votaría",0.842,0.189,0.914,0.573,0.626
"P16","No sabe",0.035,0.082,0.033,0.153,0.159
"P17","La votaría",0.092,0.706,0.038,0.335,0.288
"P17","Puede que la vote",0.04,0.104,0.021,0.173,0.072
"P17","Nunca la votaría",0.855,0.167,0.919,0.381,0.553
"P17","No sabe",0.013,0.023,0.022,0.111,0.087
"P18","Lo votaría",0.409,0.128,0.078,0.089,0.054
"P18","Puede que lo vote",0.367,0.097,0.267,0.071,0.191
"P18","Nunca lo votaría",0.181,0.724,0.581,0.644,0.612
"P18","No sabe",0.043,0.051,0.074,0.196,0.143
"P19","Lo votaría",0.191,0.055,0.064,0.051,0.082
"P19","Puede que lo vote",0.358,0.164,0.24,0.169,0.181
"P19","Nunca lo votaría",0.347,0.656,0.565,0.546,0.529
"P19","No sabe",0.104,0.125,0.131,0.234,0.208
"P20","La votaría",0.421,0.082,0.282,0.06,0.162
"P20","Puede que la vote",0.293,0.072,0.326,0.116,0.142
"P20","Nunca la votaría",0.22,0.791,0.336,0.711,0.569
"P20","No sabe",0.066,0.055,0.056,0.113,0.127
"P21","Lo votaría",0.135,0.063,0.629,0.055,0.047
"P21","Puede que lo vote",0.289,0.077,0.253,0.083,0.13
"P21","Nunca lo votaría",0.517,0.787,0.088,0.698,0.69
"P21","No sabe",0.059,0.073,0.03,0.164,0.133
"P22","La votaría",0.265,0.064,0.151,0.035,0.057
"P22","Puede que la vote",0.341,0.09,0.246,0.061,0.165
"P22","Nunca la votaría",0.306,0.764,0.515,0.712,0.628
"P22","No sabe",0.088,0.082,0.088,0.192,0.15
"P23","Lo votaría",0.046,0.222,0.019,0.053,0.035
"P23","Puede que lo vote",0.093,0.365,0.078,0.204,0.213
"P23","Nunca lo votaría",0.818,0.325,0.86,0.575,0.623
"P23","No sabe",0.043,0.088,0.043,0.168,0.129
"P24","Lo votaría",0.126,0.048,0.031,0.021,0.023
"P24","Puede que lo vote",0.296,0.124,0.117,0.047,0.108
"P24","Nunca lo votaría",0.47,0.696,0.74,0.697,0.686
"P24","No sabe",0.108,0.132,0.112,0.235,0.183
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.45,0.106,0.129,0.07,0.163
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.352,0.05,0.042,0.021,0.067
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.014,0.109,0.017,0.028,0.024
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.112,0.698,0.033,0.36,0.321
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.017,0.005,0.739,0.074,0.029
"P25","Nicolás del Caño – Myriam Bregman",0.006,0.008,0.008,0.38,0.013
"P25","Otros candidatos",0.049,0.024,0.032,0.067,0.383
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.128,0.802,0.02,0.303,0.313
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.686,0.145,0.115,0.051,0.165
"P29","Javier Milei – José Luis Espert por los liberales",0.045,0.013,0.835,0.052,0.026
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.004,0.002,0.466,0.007
"P29","Otro candidato",0.129,0.036,0.028,0.128,0.489
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.139,0.63,0.027,0.197,0.172
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.675,0.171,0.182,0.07,0.194
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.057,0.022,0.757,0.03,0.024
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.011,0.02,0.008,0.579,0.012
"P33","Otro candidato",0.118,0.157,0.026,0.124,0.598
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.132,0.623,0.035,0.188,0.204
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.736,0.15,0.055,0.08,0.101
"P35","Javier Milei – José Luis Espert por los liberales",0.048,0.029,0.863,0.02,0.057
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.01,0.023,0.005,0.574,0.014
"P35","Otro candidato",0.074,0.175,0.042,0.138,0.624
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.138,0.755,0.034,0.378,0.308
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.736,0.126,0.054,0.044,0.124
"P37","Javier Milei – José Luis Espert por los liberales",0.059,0.035,0.872,0.027,0.048
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.008,0.001,0.438,0.01
"P37","Otro candidato",0.064,0.076,0.039,0.113,0.51
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.105,0.667,0.023,0.191,0.207
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.693,0.124,0.155,0.065,0.194
"P38","Javier Milei – José Luis Espert por los liberales",0.067,0.033,0.791,0.023,0.042
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.011,0.018,0.001,0.602,0.022
"P38","Otro candidato",0.124,0.158,0.03,0.119,0.535
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.133,0.786,0.048,0.592,0.35
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.745,0.163,0.449,0.139,0.265
"P39","No sabe",0.122,0.051,0.503,0.269,0.385
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.092,0.761,0.036,0.392,0.189
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.822,0.149,0.422,0.114,0.204
"P40","No sabe",0.086,0.09,0.542,0.494,0.607
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.091,0.692,0.036,0.373,0.285
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.763,0.151,0.58,0.154,0.284
"P41","No sabe",0.146,0.157,0.384,0.473,0.431
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.099,0.784,0.044,0.552,0.347
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.82,0.14,0.45,0.128,0.215
"P42","No sabe",0.081,0.076,0.506,0.32,0.438
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.099,0.678,0.046,0.377,0.284
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.821,0.144,0.434,0.128,0.217
"P43","No sabe",0.08,0.178,0.52,0.495,0.499
