"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.486,0.434,0.414,0.494,0.454
"P04","Realizo changas o trabajos de vez en cuando",0.199,0.178,0.185,0.122,0.231
"P04","No tengo trabajo",0.167,0.173,0.171,0.193,0.147
"P04","Soy jubilado o pensionado",0.148,0.215,0.23,0.191,0.168
"P05","1",0.398,0.436,0.407,0.282,0.282
"P05","2",0.089,0.094,0.093,0.028,0.037
"P05","3",0.064,0.072,0.09,0.09,0.061
"P05","4",0.076,0.086,0.103,0.116,0.12
"P05","5",0.196,0.145,0.157,0.231,0.243
"P05","6",0.033,0.032,0.036,0.061,0.042
"P05","7",0.026,0.025,0.024,0.078,0.034
"P05","8",0.032,0.024,0.018,0.04,0.018
"P05","9",0.086,0.086,0.072,0.074,0.163
"P06","1",0.224,0.225,0.144,0.175,0.266
"P06","2",0.065,0.044,0.027,0.06,0.017
"P06","3",0.036,0.027,0.028,0.023,0.035
"P06","4",0.039,0.028,0.031,0.094,0.021
"P06","5",0.206,0.177,0.188,0.246,0.306
"P06","6",0.058,0.053,0.062,0.04,0.125
"P06","7",0.068,0.08,0.082,0.108,0.033
"P06","8",0.053,0.075,0.097,0.065,0.02
"P06","9",0.251,0.291,0.341,0.189,0.177
"P07","1",0.303,0.228,0.192,0.356,0.27
"P07","2",0.05,0.038,0.018,0.036,0.034
"P07","3",0.024,0.02,0.034,0.044,0.049
"P07","4",0.017,0.022,0.015,0.03,0.007
"P07","5",0.107,0.117,0.149,0.148,0.18
"P07","6",0.022,0.02,0.032,0.014,0.035
"P07","7",0.034,0.045,0.049,0.04,0.06
"P07","8",0.042,0.069,0.064,0.034,0.064
"P07","9",0.401,0.441,0.447,0.298,0.301
"P13","Seguro lo votaria",0.359,0.231,0.162,0.149,0.249
"P13","Quizás lo votaría",0.284,0.423,0.322,0.222,0.182
"P13","Nunca lo votaría",0.357,0.346,0.516,0.629,0.569
"P14","Lo votaría",0.381,0.782,0.539,0.197,0.298
"P14","Puede que lo vote",0.344,0.137,0.317,0.312,0.243
"P14","Nunca lo votaría",0.224,0.067,0.126,0.44,0.378
"P14","No sabe",0.051,0.014,0.018,0.051,0.081
"P15","Lo votaría",0.12,0.127,0.119,0.098,0.155
"P15","Puede que lo vote",0.127,0.088,0.055,0.149,0.074
"P15","Nunca lo votaría",0.714,0.761,0.788,0.714,0.726
"P15","No sabe",0.039,0.024,0.038,0.039,0.045
"P16","Lo votaría",0.08,0.024,0.011,0.086,0.136
"P16","Puede que lo vote",0.049,0.051,0.021,0.112,0.071
"P16","Nunca lo votaría",0.85,0.914,0.948,0.764,0.774
"P16","No sabe",0.021,0.011,0.02,0.038,0.019
"P17","La votaría",0.076,0.028,0.019,0.163,0.18
"P17","Puede que la vote",0.031,0.025,0.007,0.056,0.047
"P17","Nunca la votaría",0.881,0.943,0.964,0.759,0.739
"P17","No sabe",0.012,0.004,0.01,0.022,0.034
"P18","Lo votaría",0.56,0.245,0.233,0.217,0.218
"P18","Puede que lo vote",0.202,0.435,0.466,0.396,0.41
"P18","Nunca lo votaría",0.22,0.302,0.26,0.333,0.28
"P18","No sabe",0.018,0.018,0.041,0.054,0.092
"P19","Lo votaría",0.197,0.083,0.133,0.623,0.256
"P19","Puede que lo vote",0.396,0.327,0.381,0.228,0.437
"P19","Nunca lo votaría",0.291,0.534,0.416,0.106,0.249
"P19","No sabe",0.116,0.056,0.07,0.043,0.058
"P20","La votaría",0.247,0.481,0.777,0.211,0.293
"P20","Puede que la vote",0.405,0.317,0.14,0.4,0.349
"P20","Nunca la votaría",0.276,0.174,0.06,0.329,0.311
"P20","No sabe",0.072,0.028,0.023,0.06,0.047
"P21","Lo votaría",0.176,0.177,0.231,0.074,0.087
"P21","Puede que lo vote",0.28,0.334,0.364,0.253,0.204
"P21","Nunca lo votaría",0.488,0.455,0.361,0.626,0.667
"P21","No sabe",0.056,0.034,0.044,0.047,0.042
"P22","La votaría",0.257,0.25,0.259,0.158,0.272
"P22","Puede que la vote",0.35,0.382,0.38,0.323,0.24
"P22","Nunca la votaría",0.325,0.296,0.293,0.448,0.464
"P22","No sabe",0.068,0.072,0.068,0.071,0.024
"P23","Lo votaría",0.067,0.036,0.035,0.074,0.041
"P23","Puede que lo vote",0.08,0.097,0.072,0.088,0.102
"P23","Nunca lo votaría",0.817,0.845,0.858,0.801,0.809
"P23","No sabe",0.036,0.022,0.035,0.037,0.048
"P24","Lo votaría",0.071,0.071,0.071,0.148,0.67
"P24","Puede que lo vote",0.24,0.261,0.283,0.335,0.107
"P24","Nunca lo votaría",0.569,0.616,0.561,0.427,0.203
"P24","No sabe",0.12,0.052,0.085,0.09,0.02
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.29,0.78,0.556,0.245,0.083
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.543,0.092,0.154,0.314,0.567
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.008,0.016,0.015,0.014,0.082
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.04,0.034,0.019,0.154,0.121
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.06,0.058,0.127,0.055,0.021
"P25","Nicolás del Caño – Myriam Bregman",0.008,0.004,0.004,0.002,0.005
"P25","Otros candidatos",0.051,0.016,0.125,0.216,0.121
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.059,0.031,0.021,0.182,0.172
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.626,0.863,0.678,0.445,0.441
