"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos ","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.49,0.402,0.489,0.547,0.412
"P04","Realizo changas o trabajos de vez en cuando",0.155,0.156,0.219,0.211,0.2
"P04","No tengo trabajo",0.145,0.174,0.211,0.152,0.214
"P04","Soy jubilado o pensionado",0.21,0.268,0.081,0.09,0.174
"P05","1",0.233,0.394,0.383,0.143,0.257
"P05","2",0.055,0.075,0.092,0.039,0.065
"P05","3",0.034,0.08,0.103,0.012,0.053
"P05","4",0.053,0.113,0.072,0.056,0.078
"P05","5",0.134,0.193,0.188,0.135,0.253
"P05","6",0.061,0.038,0.02,0.047,0.059
"P05","7",0.134,0.03,0.027,0.156,0.044
"P05","8",0.073,0.018,0.027,0.136,0.042
"P05","9",0.223,0.059,0.088,0.276,0.149
"P06","1",0.448,0.166,0.126,0.444,0.298
"P06","2",0.067,0.038,0.039,0.055,0.058
"P06","3",0.057,0.028,0.023,0.056,0.028
"P06","4",0.05,0.043,0.028,0.051,0.058
"P06","5",0.145,0.217,0.156,0.176,0.252
"P06","6",0.032,0.056,0.055,0.012,0.061
"P06","7",0.035,0.093,0.084,0.022,0.045
"P06","8",0.033,0.076,0.109,0.062,0.042
"P06","9",0.133,0.283,0.38,0.122,0.158
"P07","1",0.591,0.215,0.201,0.696,0.358
"P07","2",0.043,0.033,0.021,0.05,0.048
"P07","3",0.035,0.029,0.025,0.013,0.02
"P07","4",0.019,0.023,0.019,0.02,0.025
"P07","5",0.059,0.147,0.138,0.041,0.123
"P07","6",0.013,0.025,0.034,0.009,0.025
"P07","7",0.017,0.049,0.053,0.01,0.034
"P07","8",0.018,0.063,0.064,0.016,0.027
"P07","9",0.205,0.416,0.445,0.145,0.34
"P09","Del Frente de Todos y el peronismo",0.85,0.077,0.048,0.291,0.312
"P09","De Cambiemos",0.043,0.762,0.158,0.067,0.216
"P09","De los Liberales libertarios",0.011,0.068,0.632,0.044,0.049
"P09","De la Izquierda",0.015,0.015,0.016,0.378,0.024
"P09","No sabe",0.081,0.078,0.146,0.22,0.399
"P10","A Alberto Fernández",0.16,0.169,0.261,0.132,0.209
"P10","A Sergio Massa",0.188,0.095,0.078,0.06,0.095
"P10","A algún candidato del peronismo",0.139,0.577,0.5,0.257,0.211
"P10","A algún candidato del kirchnerismo",0.513,0.159,0.161,0.551,0.485
"P11","A Alberto Fernández",0.083,0.125,0.249,0.014,0.146
"P11","A Sergio Massa",0.107,0.121,0.058,0.01,0.058
"P11","A algún candidato del peronismo",0.079,0.616,0.467,0.198,0.144
"P11","A Cristina Fernández de Kirchner",0.731,0.138,0.226,0.778,0.652
"P12","A Horacio Rodriguez Larreta",0.315,0.257,0.243,0.332,0.306
"P12","A Mauricio Macri",0.135,0.409,0.283,0.453,0.15
"P12","A Patricia Bullrich",0.081,0.248,0.41,0,0.237
"P12","A Facundo Manes",0.356,0.058,0.039,0.13,0.204
"P12","A Gerardo Morales",0.113,0.028,0.025,0.085,0.103
"P13","Seguro lo votaria",0.295,0.211,0.439,0.091,0.178
"P13","Quizás lo votaría",0.122,0.347,0.295,0.169,0.259
"P13","Nunca lo votaría",0.583,0.442,0.266,0.74,0.563
"P14","Lo votaría",0.037,0.595,0.149,0.052,0.079
"P14","Puede que lo vote",0.028,0.264,0.345,0.016,0.146
"P14","Nunca lo votaría",0.848,0.098,0.397,0.721,0.594
"P14","No sabe",0.087,0.043,0.109,0.211,0.181
"P15","Lo votaría",0.276,0.115,0.063,0.07,0.056
"P15","Puede que lo vote",0.432,0.073,0.101,0.203,0.197
"P15","Nunca lo votaría",0.203,0.778,0.777,0.559,0.572
"P15","No sabe",0.089,0.034,0.059,0.168,0.175
"P16","Lo votaría",0.285,0.025,0.016,0.076,0.117
"P16","Puede que lo vote",0.455,0.035,0.034,0.24,0.147
"P16","Nunca lo votaría",0.151,0.921,0.921,0.559,0.578
"P16","No sabe",0.109,0.019,0.029,0.125,0.158
"P17","La votaría",0.762,0.027,0.036,0.376,0.319
"P17","Puede que la vote",0.127,0.017,0.022,0.138,0.074
"P17","Nunca la votaría",0.083,0.944,0.924,0.377,0.53
"P17","No sabe",0.028,0.012,0.018,0.109,0.077
"P18","Lo votaría",0.126,0.345,0.09,0.087,0.094
"P18","Puede que lo vote",0.057,0.393,0.26,0.078,0.184
"P18","Nunca lo votaría",0.785,0.218,0.576,0.714,0.567
"P18","No sabe",0.032,0.044,0.074,0.121,0.155
"P19","Lo votaría",0.025,0.185,0.078,0.076,0.097
"P19","Puede que lo vote",0.137,0.361,0.243,0.17,0.184
"P19","Nunca lo votaría",0.725,0.36,0.543,0.6,0.495
"P19","No sabe",0.113,0.094,0.136,0.154,0.224
"P20","La votaría",0.016,0.501,0.267,0.08,0.134
"P20","Puede que la vote",0.035,0.327,0.351,0.083,0.148
"P20","Nunca la votaría",0.913,0.118,0.322,0.771,0.57
"P20","No sabe",0.036,0.054,0.06,0.066,0.148
"P21","Lo votaría",0.017,0.169,0.664,0.04,0.047
"P21","Puede que lo vote",0.042,0.341,0.237,0.068,0.124
