"var","categoria","Sergio Massa – Wado de Pedro","Javier Milei – José Luis Espert","No sabe"
"P04","Tengo trabajo estable",0.499,0.495,0.36
"P04","Realizo changas o trabajos de vez en cuando",0.142,0.198,0.195
"P04","No tengo trabajo",0.147,0.18,0.212
"P04","Soy jubilado o pensionado",0.212,0.127,0.233
"P05","1",0.233,0.374,0.317
"P05","2",0.057,0.085,0.066
"P05","3",0.051,0.078,0.076
"P05","4",0.06,0.087,0.092
"P05","5",0.145,0.191,0.219
"P05","6",0.064,0.025,0.049
"P05","7",0.125,0.042,0.035
"P05","8",0.078,0.025,0.035
"P05","9",0.187,0.093,0.111
"P06","1",0.394,0.143,0.246
"P06","2",0.065,0.036,0.051
"P06","3",0.062,0.026,0.027
"P06","4",0.048,0.029,0.046
"P06","5",0.168,0.175,0.232
"P06","6",0.036,0.054,0.054
"P06","7",0.039,0.106,0.052
"P06","8",0.044,0.101,0.059
"P06","9",0.144,0.33,0.233
"P07","1",0.535,0.236,0.307
"P07","2",0.043,0.034,0.035
"P07","3",0.032,0.028,0.025
"P07","4",0.021,0.019,0.026
"P07","5",0.085,0.128,0.14
"P07","6",0.014,0.029,0.023
"P07","7",0.026,0.052,0.034
"P07","8",0.027,0.07,0.038
"P07","9",0.217,0.404,0.372
"P09","Del Frente de Todos y el peronismo",0.696,0.108,0.19
"P09","De Cambiemos",0.138,0.367,0.438
"P09","De los Liberales libertarios",0.052,0.395,0.081
"P09","De la Izquierda",0.026,0.024,0.039
"P09","No sabe",0.088,0.106,0.252
"P10","A Alberto Fernández",0.118,0.192,0.247
"P10","A Sergio Massa",0.162,0.247,0.102
"P10","A algún candidato del peronismo",0.164,0.271,0.256
"P10","A algún candidato del kirchnerismo",0.556,0.29,0.395
"P11","A Alberto Fernández",0.054,0.089,0.17
"P11","A Sergio Massa",0.09,0.12,0.072
"P11","A algún candidato del peronismo",0.09,0.303,0.237
"P11","A Cristina Fernández de Kirchner",0.766,0.488,0.521
"P12","A Horacio Rodriguez Larreta",0.301,0.234,0.258
"P12","A Mauricio Macri",0.294,0.376,0.352
"P12","A Patricia Bullrich",0.191,0.32,0.231
"P12","A Facundo Manes",0.115,0.054,0.106
"P12","A Gerardo Morales",0.099,0.016,0.053
"P13","Seguro lo votaria",0.246,0.266,0.154
"P13","Quizás lo votaría",0.292,0.443,0.235
"P13","Nunca lo votaría",0.462,0.291,0.611
"P14","Lo votaría",0.101,0.304,0.293
