"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P04","Tengo trabajo estable",0.481,0.452,0.421
"P04","Realizo changas o trabajos de vez en cuando",0.164,0.164,0.21
"P04","No tengo trabajo",0.154,0.176,0.219
"P04","Soy jubilado o pensionado",0.201,0.208,0.15
"P05","1",0.248,0.379,0.292
"P05","2",0.052,0.083,0.071
"P05","3",0.033,0.082,0.08
"P05","4",0.049,0.107,0.071
"P05","5",0.123,0.208,0.205
"P05","6",0.057,0.038,0.042
"P05","7",0.12,0.028,0.059
"P05","8",0.075,0.018,0.046
"P05","9",0.243,0.057,0.134
"P06","1",0.469,0.151,0.216
"P06","2",0.073,0.038,0.043
"P06","3",0.055,0.026,0.032
"P06","4",0.046,0.044,0.041
"P06","5",0.136,0.219,0.202
"P06","6",0.029,0.058,0.055
"P06","7",0.027,0.093,0.062
"P06","8",0.027,0.083,0.08
"P06","9",0.138,0.288,0.269
"P07","1",0.589,0.221,0.308
"P07","2",0.043,0.032,0.036
"P07","3",0.029,0.031,0.024
"P07","4",0.02,0.024,0.019
"P07","5",0.061,0.144,0.125
"P07","6",0.012,0.028,0.027
"P07","7",0.015,0.057,0.034
"P07","8",0.017,0.063,0.045
"P07","9",0.214,0.4,0.382
"P09","Del Frente de Todos y el peronismo",0.814,0.061,0.215
"P09","De Cambiemos",0.051,0.628,0.159
"P09","De los Liberales libertarios",0.024,0.187,0.303
"P09","De la Izquierda",0.03,0.018,0.041
"P09","No sabe",0.081,0.106,0.282
"P10","A Alberto Fernández",0.195,0.163,0.088
"P10","A Sergio Massa",0.157,0.152,0.153
"P10","A algún candidato del peronismo",0.127,0.591,0.315
"P10","A algún candidato del kirchnerismo",0.521,0.094,0.444
"P11","A Alberto Fernández",0.112,0.135,0.049
"P11","A Sergio Massa",0.078,0.144,0.115
"P11","A algún candidato del peronismo",0.081,0.617,0.21
"P11","A Cristina Fernández de Kirchner",0.729,0.104,0.626
