"var","categoria","Horacio Rodríguez Larreta – Gerardo Morales","Javier Milei – José Luis Espert","No sabe"
"P04","Tengo trabajo estable",0.441,0.49,0.436
"P04","Realizo changas o trabajos de vez en cuando",0.161,0.212,0.167
"P04","No tengo trabajo",0.159,0.199,0.179
"P04","Soy jubilado o pensionado",0.239,0.099,0.218
"P05","1",0.338,0.399,0.231
"P05","2",0.068,0.095,0.055
"P05","3",0.069,0.094,0.053
"P05","4",0.104,0.078,0.067
"P05","5",0.226,0.172,0.166
"P05","6",0.043,0.023,0.061
"P05","7",0.049,0.037,0.098
"P05","8",0.023,0.025,0.073
"P05","9",0.08,0.077,0.196
"P06","1",0.201,0.132,0.37
"P06","2",0.038,0.042,0.066
"P06","3",0.028,0.03,0.048
"P06","4",0.043,0.021,0.052
"P06","5",0.233,0.164,0.185
"P06","6",0.058,0.053,0.04
"P06","7",0.088,0.095,0.034
"P06","8",0.069,0.11,0.043
"P06","9",0.242,0.353,0.162
"P07","1",0.291,0.199,0.491
"P07","2",0.035,0.034,0.041
"P07","3",0.038,0.026,0.024
"P07","4",0.025,0.015,0.025
"P07","5",0.135,0.135,0.098
"P07","6",0.021,0.031,0.018
"P07","7",0.047,0.054,0.02
"P07","8",0.05,0.075,0.024
"P07","9",0.358,0.431,0.259
"P09","Del Frente de Todos y el peronismo",0.185,0.072,0.571
"P09","De Cambiemos",0.617,0.265,0.157
"P09","De los Liberales libertarios",0.047,0.521,0.047
"P09","De la Izquierda",0.023,0.022,0.04
"P09","No sabe",0.128,0.12,0.185
"P10","A Alberto Fernández",0.184,0.084,0.152
"P10","A Sergio Massa",0.266,0.272,0.128
"P10","A algún candidato del peronismo",0.241,0.423,0.162
"P10","A algún candidato del kirchnerismo",0.309,0.221,0.558
"P11","A Alberto Fernández",0.08,0.113,0.077
"P11","A Sergio Massa",0.142,0.124,0.076
"P11","A algún candidato del peronismo",0.242,0.409,0.104
"P11","A Cristina Fernández de Kirchner",0.536,0.354,0.743
"P12","A Horacio Rodriguez Larreta",0.305,0.197,0.202
"P12","A Mauricio Macri",0.298,0.43,0.392
"P12","A Patricia Bullrich",0.257,0.323,0.229
"P12","A Facundo Manes",0.083,0.037,0.139
"P12","A Gerardo Morales",0.057,0.013,0.038
"P13","Seguro lo votaria",0.192,0.311,0.154
"P13","Quizás lo votaría",0.292,0.445,0.299
"P13","Nunca lo votaría",0.516,0.244,0.547
"P14","Lo votaría",0.409,0.262,0.108
"P14","Puede que lo vote",0.242,0.306,0.077
"P14","Nunca lo votaría",0.256,0.339,0.707
"P14","No sabe",0.093,0.093,0.108
"P15","Lo votaría",0.101,0.095,0.18
"P15","Puede que lo vote",0.132,0.107,0.303
"P15","Nunca lo votaría",0.716,0.743,0.394
"P15","No sabe",0.051,0.055,0.123
"P16","Lo votaría",0.066,0.024,0.178
"P16","Puede que lo vote",0.097,0.047,0.306
"P16","Nunca lo votaría",0.8,0.899,0.39
"P16","No sabe",0.037,0.03,0.126
"P17","La votaría",0.125,0.049,0.53
"P17","Puede que la vote",0.048,0.025,0.102
"P17","Nunca la votaría",0.81,0.9,0.321
"P17","No sabe",0.017,0.026,0.047
"P18","Lo votaría",0.369,0.086,0.091
"P18","Puede que lo vote",0.35,0.271,0.117
"P18","Nunca lo votaría",0.236,0.564,0.709
"P18","No sabe",0.045,0.079,0.083
"P19","Lo votaría",0.176,0.069,0.056
"P19","Puede que lo vote",0.361,0.264,0.16
"P19","Nunca lo votaría",0.363,0.548,0.632
"P19","No sabe",0.1,0.119,0.152
"P20","La votaría",0.396,0.32,0.095
"P20","Puede que la vote",0.279,0.346,0.102
"P20","Nunca la votaría",0.272,0.27,0.725
"P20","No sabe",0.053,0.064,0.078
"P21","Lo votaría",0.108,0.551,0.062
"P21","Puede que lo vote",0.268,0.293,0.08
"P21","Nunca lo votaría",0.561,0.114,0.766
"P21","No sabe",0.063,0.042,0.092
"P22","La votaría",0.246,0.153,0.044
"P22","Puede que la vote",0.325,0.273,0.102
"P22","Nunca la votaría",0.347,0.479,0.744
"P22","No sabe",0.082,0.095,0.11
"P23","Lo votaría",0.063,0.035,0.133
"P23","Puede que lo vote",0.104,0.093,0.314
"P23","Nunca lo votaría",0.802,0.827,0.443
"P23","No sabe",0.031,0.045,0.11
"P24","Lo votaría",0.129,0.035,0.031
"P24","Puede que lo vote",0.303,0.129,0.098
"P24","Nunca lo votaría",0.472,0.718,0.727
"P24","No sabe",0.096,0.118,0.144
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.398,0.217,0.104
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.31,0.06,0.051
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.027,0.011,0.056
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.144,0.045,0.553
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.025,0.597,0.044
"P25","Nicolás del Caño – Myriam Bregman",0.014,0.016,0.034
"P25","Otros candidatos",0.082,0.054,0.158
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.165,0.046,0.591
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.611,0.219,0.131
"P29","Javier Milei – José Luis Espert por los liberales",0.041,0.66,0.049
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.02,0.014,0.033
"P29","Otro candidato",0.163,0.061,0.196
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.642,0.097,0.113
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.168,0.077,0.426
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.04,0.718,0.057
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.025,0.021,0.057
"P31","Otro candidato",0.125,0.087,0.347
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.178,0.049,0.433
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.632,0.264,0.14
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.042,0.619,0.047
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.017,0.016,0.06
"P33","Otro candidato",0.131,0.052,0.32
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.162,0.072,0.436
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.674,0.114,0.11
"P35","Javier Milei – José Luis Espert por los liberales",0.032,0.739,0.05
