"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.094,0.085,0.103,0.074,0.087,0.095,0.129,0.138,0.08,0.066,0.096,0.092,0.066,0.096,0.147,0.077,0.039,6
"Buena",0.147,0.139,0.155,0.126,0.152,0.158,0.142,0.153,0.147,0.14,0.129,0.145,0.185,0.157,0.285,0.063,0.093,6
"Ni buena ni mala",0.172,0.165,0.178,0.17,0.187,0.146,0.175,0.206,0.179,0.126,0.167,0.176,0.196,0.171,0.326,0.054,0.174,6
"Mala",0.105,0.103,0.107,0.11,0.106,0.097,0.109,0.106,0.105,0.105,0.099,0.126,0.124,0.099,0.096,0.091,0.184,6
"Muy mala",0.472,0.499,0.446,0.504,0.456,0.5,0.436,0.377,0.483,0.556,0.499,0.446,0.407,0.47,0.133,0.713,0.506,6
"No sabe",0.01,0.009,0.011,0.016,0.012,0.004,0.009,0.02,0.006,0.007,0.01,0.015,0.022,0.007,0.013,0.002,0.004,6
"Positiva",0.241,0.224,0.258,0.2,0.239,0.253,0.271,0.291,0.227,0.206,0.225,0.237,0.251,0.253,0.432,0.14,0.132,4
"Neutra",0.172,0.165,0.178,0.17,0.187,0.146,0.175,0.206,0.179,0.126,0.167,0.176,0.196,0.171,0.326,0.054,0.174,4
"Negativa",0.577,0.602,0.553,0.614,0.562,0.597,0.545,0.483,0.588,0.661,0.598,0.572,0.531,0.569,0.229,0.804,0.69,4
"No sabe",0.01,0.009,0.011,0.016,0.012,0.004,0.009,0.02,0.006,0.007,0.01,0.015,0.022,0.007,0.013,0.002,0.004,4
