"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.45,0.39,0.474,0.522,0.445
"P04","Realizo changas o trabajos de vez en cuando",0.196,0.169,0.22,0.227,0.19
"P04","No tengo trabajo",0.163,0.177,0.22,0.15,0.2
"P04","Soy jubilado o pensionado",0.191,0.264,0.086,0.101,0.165
"P05","1",0.249,0.403,0.365,0.173,0.246
"P05","2",0.056,0.079,0.087,0.076,0.067
"P05","3",0.033,0.083,0.104,0.018,0.056
"P05","4",0.046,0.106,0.073,0.022,0.103
"P05","5",0.129,0.182,0.201,0.192,0.3
"P05","6",0.053,0.036,0.02,0.036,0.06
"P05","7",0.122,0.031,0.034,0.086,0.043
"P05","8",0.075,0.022,0.027,0.111,0.024
"P05","9",0.237,0.058,0.089,0.286,0.101
"P06","1",0.471,0.181,0.142,0.367,0.191
"P06","2",0.074,0.04,0.028,0.066,0.045
"P06","3",0.055,0.028,0.027,0.03,0.027
"P06","4",0.04,0.044,0.034,0.078,0.067
"P06","5",0.139,0.209,0.16,0.239,0.301
"P06","6",0.03,0.054,0.057,0.018,0.075
"P06","7",0.027,0.084,0.083,0.023,0.066
"P06","8",0.034,0.078,0.099,0.028,0.048
"P06","9",0.13,0.282,0.37,0.151,0.18
"P07","1",0.58,0.213,0.198,0.632,0.315
"P07","2",0.039,0.036,0.021,0.026,0.05
"P07","3",0.03,0.026,0.026,0.037,0.023
"P07","4",0.014,0.023,0.022,0.025,0.038
"P07","5",0.065,0.141,0.133,0.042,0.14
"P07","6",0.011,0.022,0.032,0,0.032
"P07","7",0.013,0.05,0.053,0.008,0.038
"P07","8",0.018,0.063,0.058,0.012,0.033
"P07","9",0.23,0.426,0.457,0.218,0.331
"P09","Del Frente de Todos y el peronismo",0.818,0.067,0.053,0.097,0.137
"P09","De Cambiemos",0.052,0.774,0.139,0.059,0.243
"P09","De los Liberales libertarios",0.01,0.063,0.626,0.081,0.087
"P09","De la Izquierda",0.012,0.014,0.019,0.532,0.04
"P09","No sabe",0.108,0.082,0.163,0.231,0.493
"P10","A Alberto Fernández",0.183,0.184,0.267,0.356,0.129
"P10","A Sergio Massa",0.16,0.105,0.158,0.055,0.216
"P10","A algún candidato del peronismo",0.139,0.549,0.487,0.228,0.438
"P10","A algún candidato del kirchnerismo",0.518,0.162,0.088,0.361,0.217
"P11","A Alberto Fernández",0.108,0.142,0.26,0.161,0.086
"P11","A Sergio Massa",0.086,0.144,0.142,0.053,0.207
"P11","A algún candidato del peronismo",0.07,0.596,0.486,0.174,0.475
"P11","A Cristina Fernández de Kirchner",0.736,0.118,0.112,0.612,0.232
"P12","A Horacio Rodriguez Larreta",0.285,0.24,0.298,0.505,0.367
"P12","A Mauricio Macri",0.191,0.421,0.188,0.251,0.104
"P12","A Patricia Bullrich",0.099,0.256,0.437,0.177,0.221
"P12","A Facundo Manes",0.296,0.057,0.051,0.024,0.21
"P12","A Gerardo Morales",0.129,0.026,0.026,0.043,0.098
"P13","Seguro lo votaria",0.285,0.202,0.446,0.306,0.153
"P13","Quizás lo votaría",0.133,0.359,0.307,0.083,0.232
"P13","Nunca lo votaría",0.582,0.439,0.247,0.611,0.615
"P14","Lo votaría",0.035,0.632,0.13,0.072,0.067
"P14","Puede que lo vote",0.034,0.251,0.331,0.081,0.208
"P14","Nunca lo votaría",0.84,0.076,0.431,0.661,0.515
"P14","No sabe",0.091,0.041,0.108,0.186,0.21
"P15","Lo votaría",0.218,0.133,0.058,0.075,0.048
"P15","Puede que lo vote",0.397,0.075,0.088,0.16,0.172
"P15","Nunca lo votaría",0.265,0.755,0.792,0.618,0.604
"P15","No sabe",0.12,0.037,0.062,0.147,0.176
"P16","Lo votaría",0.299,0.026,0.019,0.084,0.036
"P16","Puede que lo vote",0.432,0.024,0.029,0.137,0.097
"P16","Nunca lo votaría",0.153,0.931,0.92,0.639,0.713
"P16","No sabe",0.116,0.019,0.032,0.14,0.154
"P17","La votaría",0.822,0.016,0.032,0.155,0.051
"P17","Puede que la vote",0.124,0.009,0.022,0.23,0.066
"P17","Nunca la votaría",0.034,0.962,0.925,0.507,0.753
"P17","No sabe",0.02,0.013,0.021,0.108,0.13
"P18","Lo votaría",0.103,0.341,0.087,0.094,0.126
"P18","Puede que lo vote",0.056,0.399,0.248,0.143,0.241
"P18","Nunca lo votaría",0.792,0.219,0.583,0.613,0.431
"P18","No sabe",0.049,0.041,0.082,0.15,0.202
"P19","Lo votaría",0.023,0.175,0.078,0.071,0.139
"P19","Puede que lo vote",0.118,0.362,0.243,0.223,0.234
"P19","Nunca lo votaría",0.722,0.368,0.547,0.484,0.373
"P19","No sabe",0.137,0.095,0.132,0.222,0.254
"P20","La votaría",0.025,0.522,0.251,0.062,0.144
"P20","Puede que la vote",0.029,0.31,0.336,0.148,0.198
"P20","Nunca la votaría",0.888,0.118,0.348,0.684,0.492
"P20","No sabe",0.058,0.05,0.065,0.106,0.166
"P21","Lo votaría",0.027,0.173,0.651,0.087,0.064
"P21","Puede que lo vote",0.044,0.331,0.232,0.104,0.162
"P21","Nunca lo votaría",0.858,0.438,0.081,0.702,0.604
"P21","No sabe",0.071,0.058,0.036,0.107,0.17
"P22","La votaría",0.026,0.293,0.143,0.069,0.062
"P22","Puede que la vote",0.043,0.388,0.223,0.105,0.204
"P22","Nunca la votaría",0.851,0.23,0.539,0.678,0.535
"P22","No sabe",0.08,0.089,0.095,0.148,0.199
"P23","Lo votaría",0.169,0.047,0.023,0.089,0.043
"P23","Puede que lo vote",0.4,0.076,0.082,0.128,0.111
"P23","Nunca lo votaría",0.324,0.84,0.85,0.656,0.709
"P23","No sabe",0.107,0.037,0.045,0.127,0.137
"P24","Lo votaría",0.031,0.096,0.037,0.058,0.067
"P24","Puede que lo vote",0.1,0.274,0.11,0.068,0.156
"P24","Nunca lo votaría",0.736,0.528,0.733,0.707,0.547
"P24","No sabe",0.133,0.102,0.12,0.167,0.23
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.01,0.679,0.053,0.043,0.043
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.019,0.233,0.072,0.082,0.238
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.081,0.011,0.013,0.044,0.054
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.863,0.012,0.03,0.074,0.055
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.004,0.024,0.784,0.113,0.05
"P25","Nicolás del Caño – Myriam Bregman",0.008,0.004,0.01,0.591,0.016
"P25","Otros candidatos",0.015,0.037,0.038,0.053,0.544
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.103,0.629,0.049,0.128,0.204
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.628,0.13,0.014,0.036,0.055
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.016,0.104,0.904,0.021,0.044
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.037,0.007,0.009,0.748,0.031
"P31","Otro candidato",0.216,0.13,0.024,0.067,0.666
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.645,0.047,0.027,0.171,0.104
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.054,0.79,0.136,0.052,0.219
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.02,0.069,0.788,0.026,0.047
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.043,0.002,0.013,0.642,0.015
"P33","Otro candidato",0.238,0.092,0.036,0.109,0.615
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.623,0.096,0.03,0.119,0.097
