"var","categoria","Micaela Ferraro por el Frente de todos","Gisela Zamora por Frente vecinal unidos","Segundo cernadas por juntos por el cambio","Rodriguez Laborde por el Frente de Randazzo","A los candidatos del frente de izquierda","Cervetto por los liberales"
"P06","Julio Zamora",0.699,0.766,0.238,0.604,0.479,0.334
"P06","Segundo Cernadas",0,0.081,0.508,0.065,0.057,0.225
"P06","Otro candidato",0.132,0.064,0.173,0.236,0.113,0.14
"P06","En blanco",0.093,0.002,0.002,0.016,0.024,0.173
"P06","No sabe",0.076,0.087,0.079,0.079,0.327,0.128
"P07","A los candidatos del Frente de todos",0.848,0.537,0.048,0.105,0.461,0.012
"P07","A los candidatos de Juntos por el cambio",0.048,0.213,0.789,0.16,0.036,0.174
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.045,0.172,0.071,0.728,0.1,0.225
"P07","A los candidatos de la Izquierda",0.026,0.01,0.027,0,0.386,0.002
"P07","A los candidatos Liberales",0.033,0.068,0.065,0.007,0.017,0.587
"P08","Diego Santilli por el PRO en Juntos por el Cambio",0.51,0.279,0.589,0.417,0.863,0.723
"P08","Facundo Manes por el radicalismo en Juntos por el Cambio",0.49,0.721,0.411,0.583,0.137,0.277
"P09","A los candidatos del Frente de todos",0.89,0.545,0.032,0.1,0.298,0.078
"P09","A los candidatos de Juntos por el cambio",0.009,0.098,0.844,0.212,0.034,0.086
"P09","A los candidatos del frente unidos por tigre",0.087,0.195,0.064,0.237,0.045,0.166
"P09","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.002,0.103,0.032,0.377,0.188,0.02
"P09","A los candidatos de la Izquierda",0.001,0.028,0.012,0.074,0.418,0.012
"P09","A los candidatos Liberales",0.011,0.031,0.016,0,0.017,0.638
"P10","Luis Samyn Duco",0.312,0.282,0.604,0.175,0.219,0.089
"P10","Gonzalo Meschengieser",0.009,0.121,0,0,0,0
"P10","Micaela Ferraro",0.176,0.052,0.022,0,0,0
"P10","Javier Forlenza",0.062,0.033,0,0,0,0
"P10","Jose Paesani",0.015,0.034,0,0,0.136,0
"P10","Malena Galmarini",0.239,0.247,0.253,0.252,0.561,0.767
"P10","Pipo Gorosito",0.187,0.231,0.121,0.573,0.084,0.144
"P11","Segundo Cernadas",0.328,0.163,0.661,0.162,0,0.664
"P11","Nicolas Massot",0.672,0.837,0.339,0.838,1,0.336
"P12","Malena Galmarini por el Frente de todos",0.855,0.205,0.013,0.23,0.259,0.078
"P12","Gisela Zamora por Frente vecinal unidos",0.086,0.616,0.097,0.019,0.013,0.029
"P12","Segundo cernadas por Juntos por el Cambio",0.02,0.099,0.809,0.123,0,0.173
"P12","Rodriguez Laborde por el Frente de Randazzo",0.002,0.04,0.032,0.593,0.063,0.006
"P12","A los candidatos del frente de izquierda",0.001,0.004,0.026,0.035,0.619,0.011
"P12","Cervetto por los liberales",0.036,0.036,0.023,0,0.046,0.703
"P13","Pipo Gorosito por el Frente de todos",0.843,0.105,0.036,0.075,0.127,0.146
"P13","Gisela Zamora por Frente vecinal unidos",0.082,0.786,0.038,0.251,0.126,0.05
"P13","Segundo cernadas por Juntos por el cambio",0.028,0.065,0.9,0.051,0.027,0.074
"P13","Rodriguez Laborde por el Frente de Randazzo",0.003,0.034,0.002,0.623,0.022,0.011
"P13","A los candidatos del frente de izquierda",0.013,0,0.005,0,0.675,0.006
"P13","Cervetto por los liberales",0.031,0.01,0.019,0,0.023,0.713
"P15","Luis Samin Duco por el Frente de todos",0.855,0.076,0.02,0.043,0.061,0.116
"P15","Gisela Zamora por Frente vecinal unidos",0.123,0.81,0.001,0.029,0,0.011
"P15","Segundo cernadas por juntos por el cambio",0.006,0.09,0.932,0.115,0.018,0.094
"P15","Rodriguez Laborde por el Frente de Randazzo",0.001,0.016,0.013,0.813,0.04,0.005
"P15","A los candidatos del frente de izquierda",0.013,0,0.012,0,0.869,0.011
"P15","Cervetto por los liberales",0.002,0.008,0.022,0,0.012,0.763
"P16","Muy bueno",0.376,0.223,0.067,0.19,0.146,0.12
"P16","Bueno",0.251,0.474,0.132,0.13,0.071,0.272
"P16","Ni bueno ni malo",0.238,0.181,0.442,0.405,0.231,0.228
"P16","Malo",0.033,0.075,0.181,0.143,0.226,0.144
"P16","Muy malo",0.071,0.021,0.174,0.132,0.291,0.191
"P16","No sabe",0.031,0.026,0.004,0,0.035,0.045
"P18","Muy buena",0.684,0.39,0.043,0.118,0.108,0.121
"P18","Buena",0.161,0.18,0.033,0.087,0.131,0.012
"P18","Ni buena ni mala",0.092,0.182,0.036,0.308,0.29,0.011
"P18","Mala",0.018,0.143,0.199,0.333,0.119,0.033
"P18","Muy mala",0.044,0.099,0.689,0.109,0.324,0.823
"P18","No sabe",0.001,0.006,0,0.045,0.028,0
"P19","Muy buena",0.147,0.084,0.212,0.03,0.008,0.012
"P19","Buena",0.025,0.049,0.27,0.039,0.017,0.185
"P19","Ni buena ni mala",0.078,0.163,0.261,0.176,0.119,0.134
"P19","Mala",0.124,0.232,0.177,0.397,0.191,0.324
"P19","Muy mala",0.617,0.432,0.079,0.313,0.564,0.345
"P19","No sabe",0.009,0.04,0.001,0.045,0.101,0
"P20","Muy buena",0.776,0.363,0.034,0.095,0.16,0.132
