"var","categoria","Muy bueno","Bueno","Ni bueno ni malo","Malo","Muy malo","No sabe"
"P06","Julio Zamora",0.715,0.79,0.342,0.25,0.38,0.251
"P06","Segundo Cernadas",0.007,0.1,0.277,0.437,0.397,0.172
"P06","Otro candidato",0.117,0.045,0.219,0.185,0.122,0.386
"P06","En blanco",0.049,0.028,0.03,0.022,0.031,0.117
"P06","No sabe",0.112,0.037,0.132,0.106,0.07,0.074
"P07","A los candidatos del Frente de todos",0.658,0.502,0.268,0.178,0.146,0.453
"P07","A los candidatos de Juntos por el cambio",0.093,0.255,0.504,0.485,0.436,0.286
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.15,0.137,0.131,0.083,0.188,0.072
"P07","A los candidatos de la Izquierda",0.035,0.024,0.025,0.077,0.058,0.087
"P07","A los candidatos Liberales",0.064,0.082,0.072,0.177,0.172,0.102
"P08","Diego Santilli por el PRO en Juntos por el Cambio",0.927,0.54,0.502,0.637,0.46,0.829
"P08","Facundo Manes por el radicalismo en Juntos por el Cambio",0.073,0.46,0.498,0.363,0.54,0.171
"P09","A los candidatos del Frente de todos",0.664,0.499,0.254,0.165,0.136,0.453
"P09","A los candidatos de Juntos por el cambio",0.127,0.175,0.534,0.485,0.446,0.201
"P09","A los candidatos del frente unidos por tigre",0.174,0.164,0.033,0.139,0.13,0.157
"P09","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.006,0.076,0.068,0.028,0.085,0.015
"P09","A los candidatos de la Izquierda",0.022,0,0.046,0.103,0.048,0.144
"P09","A los candidatos Liberales",0.007,0.086,0.065,0.08,0.155,0.03
"P10","Luis Samyn Duco",0.428,0.261,0.191,0.092,0.603,0.132
"P10","Gonzalo Meschengieser",0.121,0.004,0,0,0,0
"P10","Micaela Ferraro",0.027,0.097,0.238,0.184,0.055,0.09
"P10","Javier Forlenza",0.019,0.057,0.086,0.114,0,0
"P10","Jose Paesani",0.038,0.046,0.008,0,0.061,0
"P10","Malena Galmarini",0.171,0.369,0.404,0.067,0.28,0.778
"P10","Pipo Gorosito",0.196,0.166,0.073,0.543,0.001,0
"P11","Segundo Cernadas",0.708,0.648,0.471,0.669,0.664,0.593
"P11","Nicolas Massot",0.292,0.352,0.529,0.331,0.336,0.407
"P12","Malena Galmarini por el Frente de todos",0.546,0.342,0.216,0.147,0.023,0.393
"P12","Gisela Zamora por Frente vecinal unidos",0.223,0.385,0.13,0.045,0.061,0.144
"P12","Segundo cernadas por Juntos por el Cambio",0.153,0.15,0.48,0.472,0.493,0.274
"P12","Rodriguez Laborde por el Frente de Randazzo",0.03,0.044,0.058,0.107,0.091,0.044
"P12","A los candidatos del frente de izquierda",0.008,0.002,0.038,0.152,0.114,0.086
"P12","Cervetto por los liberales",0.04,0.077,0.078,0.077,0.218,0.059
"P13","Pipo Gorosito por el Frente de todos",0.524,0.305,0.191,0.157,0.066,0.214
"P13","Gisela Zamora por Frente vecinal unidos",0.321,0.408,0.133,0.137,0.022,0.323
"P13","Segundo cernadas por Juntos por el cambio",0.122,0.176,0.507,0.511,0.553,0.201
"P13","Rodriguez Laborde por el Frente de Randazzo",0.003,0.016,0.064,0.037,0.059,0
"P13","A los candidatos del frente de izquierda",0.017,0.002,0.033,0.095,0.119,0.189
"P13","Cervetto por los liberales",0.013,0.093,0.072,0.063,0.181,0.073
"P14","Micaela Ferraro por el Frente de todos",0.48,0.252,0.191,0.067,0.146,0.384
"P14","Gisela Zamora por Frente vecinal unidos",0.258,0.43,0.131,0.141,0.038,0.294
"P14","Segundo cernadas por juntos por el cambio",0.123,0.191,0.512,0.54,0.515,0.065
