"var","categoria","Luis Samin Duco por el Frente de todos","Gisela Zamora por Frente vecinal unidos","Segundo cernadas por juntos por el cambio","Rodriguez Laborde por el Frente de Randazzo","A los candidatos del frente de izquierda","Cervetto por los liberales"
"P06","Julio Zamora",0.764,0.747,0.244,0.537,0.557,0.223
"P06","Segundo Cernadas",0.004,0.044,0.508,0.089,0.036,0.259
"P06","Otro candidato",0.097,0.091,0.153,0.27,0.253,0.237
"P06","En blanco",0.051,0.028,0.003,0.019,0.035,0.171
"P06","No sabe",0.084,0.09,0.092,0.085,0.119,0.11
"P07","A los candidatos del Frente de todos",0.859,0.561,0.057,0.027,0.378,0.021
"P07","A los candidatos de Juntos por el cambio",0.04,0.135,0.816,0.148,0.026,0.141
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.052,0.205,0.059,0.764,0.228,0.055
"P07","A los candidatos de la Izquierda",0,0.026,0.021,0.022,0.349,0.082
"P07","A los candidatos Liberales",0.049,0.073,0.047,0.039,0.019,0.701
"P08","Diego Santilli por el PRO en Juntos por el Cambio",0.742,0.366,0.581,0.111,1,0.831
"P08","Facundo Manes por el radicalismo en Juntos por el Cambio",0.258,0.634,0.419,0.889,0,0.169
"P09","A los candidatos del Frente de todos",0.855,0.583,0.035,0.023,0.325,0.035
"P09","A los candidatos de Juntos por el cambio",0.018,0.048,0.864,0.217,0.008,0.025
"P09","A los candidatos del frente unidos por tigre",0.092,0.227,0.052,0.306,0.086,0.098
"P09","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.028,0.087,0.014,0.369,0.154,0.046
"P09","A los candidatos de la Izquierda",0.003,0.037,0.011,0.065,0.408,0.014
"P09","A los candidatos Liberales",0.004,0.018,0.024,0.02,0.019,0.782
"P10","Luis Samyn Duco",0.359,0.263,0.156,0.522,0.297,0
"P10","Gonzalo Meschengieser",0.034,0.083,0,0,0,0
"P10","Micaela Ferraro",0.093,0.099,0.051,0,0.097,0
"P10","Javier Forlenza",0.067,0.024,0,0,0,0
"P10","Jose Paesani",0.028,0.034,0,0,0,0
"P10","Malena Galmarini",0.255,0.261,0.527,0,0.606,0.136
"P10","Pipo Gorosito",0.164,0.236,0.266,0.478,0,0.864
"P11","Segundo Cernadas",0.296,0.204,0.636,0.303,0,0
"P11","Nicolas Massot",0.704,0.796,0.364,0.697,1,1
"P12","Malena Galmarini por el Frente de todos",0.837,0.225,0.021,0.155,0.137,0.049
"P12","Gisela Zamora por Frente vecinal unidos",0.101,0.612,0.108,0.018,0.008,0
"P12","Segundo cernadas por Juntos por el Cambio",0.043,0.072,0.805,0.15,0.045,0.034
"P12","Rodriguez Laborde por el Frente de Randazzo",0.009,0.033,0.031,0.581,0.066,0.035
"P12","A los candidatos del frente de izquierda",0.005,0.004,0.012,0.069,0.612,0.076
"P12","Cervetto por los liberales",0.005,0.054,0.023,0.027,0.132,0.806
"P13","Pipo Gorosito por el Frente de todos",0.811,0.166,0.042,0,0.103,0.104
"P13","Gisela Zamora por Frente vecinal unidos",0.138,0.739,0.021,0.297,0.09,0
"P13","Segundo cernadas por Juntos por el cambio",0.031,0.008,0.907,0.108,0.015,0.061
"P13","Rodriguez Laborde por el Frente de Randazzo",0.015,0.043,0.001,0.561,0.026,0
"P13","A los candidatos del frente de izquierda",0.005,0,0.006,0.022,0.743,0.004
"P13","Cervetto por los liberales",0,0.044,0.023,0.012,0.023,0.831
"P14","Micaela Ferraro por el Frente de todos",0.848,0.141,0.004,0.005,0.063,0.007
"P14","Gisela Zamora por Frente vecinal unidos",0.068,0.846,0.056,0.066,0,0.028
"P14","Segundo cernadas por juntos por el cambio",0.028,0.002,0.901,0.081,0.08,0.115
"P14","Rodriguez Laborde por el Frente de Randazzo",0.01,0.007,0.018,0.806,0,0
"P14","A los candidatos del frente de izquierda",0.012,0,0.002,0.035,0.842,0.009
"P14","Cervetto por los liberales",0.034,0.004,0.019,0.007,0.015,0.841
"P16","Muy bueno",0.402,0.231,0.071,0.234,0.09,0.007
"P16","Bueno",0.294,0.476,0.121,0.082,0.076,0.265
"P16","Ni bueno ni malo",0.221,0.155,0.453,0.371,0.294,0.243
"P16","Malo",0.034,0.059,0.178,0.13,0.214,0.204
"P16","Muy malo",0.025,0.056,0.169,0.178,0.264,0.241
"P16","No sabe",0.024,0.023,0.008,0.005,0.062,0.04
"P18","Muy buena",0.682,0.42,0.065,0.096,0.114,0
"P18","Buena",0.158,0.198,0.028,0.085,0.139,0.012
"P18","Ni buena ni mala",0.089,0.196,0.033,0.308,0.287,0.023
"P18","Mala",0.032,0.121,0.201,0.325,0.102,0.034
"P18","Muy mala",0.039,0.065,0.669,0.136,0.328,0.931
"P18","No sabe",0,0,0.004,0.05,0.03,0
"P19","Muy buena",0.111,0.139,0.2,0,0,0.012
"P19","Buena",0.024,0.049,0.264,0.044,0,0.183
"P19","Ni buena ni mala",0.047,0.198,0.238,0.206,0.108,0.2
"P19","Mala",0.217,0.112,0.204,0.4,0.141,0.287
"P19","Muy mala",0.599,0.461,0.089,0.305,0.643,0.312
"P19","No sabe",0.002,0.041,0.005,0.045,0.108,0.006
"P20","Muy buena",0.764,0.408,0.044,0.103,0.224,0.012
"P20","Buena",0.122,0.166,0.007,0.038,0.037,0.128
"P20","Ni buena ni mala",0.067,0.12,0.065,0.212,0.236,0
"P20","Mala",0.019,0.077,0.095,0.231,0.079,0.121
"P20","Muy mala",0.028,0.22,0.783,0.401,0.373,0.733
"P20","No sabe",0,0.009,0.006,0.015,0.051,0.006
"P21","Muy buena",0.106,0.116,0.32,0.121,0,0.01
"P21","Buena",0.097,0.066,0.298,0.272,0.25,0.239
"P21","Ni buena ni mala",0.06,0.251,0.229,0.235,0.069,0.237
"P21","Mala",0.163,0.09,0.061,0.265,0.198,0.148
"P21","Muy mala",0.572,0.449,0.091,0.091,0.453,0.357
"P21","No sabe",0.002,0.028,0.001,0.016,0.03,0.009
"P22","Muy buena",0.701,0.305,0.06,0.111,0.12,0.02
"P22","Buena",0.083,0.147,0.029,0.078,0.404,0.155
"P22","Ni buena ni mala",0.1,0.212,0.028,0.104,0.242,0.044
"P22","Mala",0.015,0.135,0.134,0.395,0.07,0.076
"P22","Muy mala",0.069,0.184,0.744,0.312,0.133,0.705
"P22","No sabe",0.032,0.017,0.005,0,0.031,0
"P23","Muy buena",0.083,0.15,0.558,0.064,0.08,0.232
"P23","Buena",0.062,0.134,0.288,0.275,0.284,0.138
"P23","Ni buena ni mala",0.148,0.292,0.114,0.388,0.106,0.216
"P23","Mala",0.176,0.112,0.009,0.089,0.206,0.129
"P23","Muy mala",0.411,0.284,0.022,0.128,0.259,0.285
"P23","No sabe",0.12,0.028,0.009,0.056,0.065,0
"P24","Muy buena",0.284,0.077,0.038,0.067,0.141,0.059
"P24","Buena",0.225,0.223,0.056,0.098,0.101,0.055
"P24","Ni buena ni mala",0.27,0.363,0.098,0.306,0.225,0.15
"P24","Mala",0.01,0.064,0.211,0.149,0.141,0.192
"P24","Muy mala",0.126,0.209,0.494,0.271,0.324,0.488
"P24","No sabe",0.085,0.064,0.103,0.109,0.068,0.056
"P25","Muy buena",0.293,0.118,0.034,0.11,0.182,0.006
"P25","Buena",0.225,0.226,0.041,0.155,0.065,0.069
"P25","Ni buena ni mala",0.375,0.251,0.073,0.07,0.205,0.023
"P25","Mala",0.03,0.103,0.132,0.143,0.15,0.253
