"var","categoria","A los candidatos del Frente de todos","A los candidatos de Juntos por el cambio","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo","A los candidatos de la Izquierda","A los candidatos Liberales"
"P06","Julio Zamora",0.746,0.235,0.568,0.155,0.233
"P06","Segundo Cernadas",0.026,0.495,0.081,0.037,0.184
"P06","Otro candidato",0.094,0.152,0.239,0.333,0.257
"P06","En blanco",0.035,0.051,0.034,0.132,0.182
"P06","No sabe",0.099,0.067,0.078,0.343,0.144
"P09","A los candidatos del Frente de todos",0.837,0.058,0.098,0.142,0.104
"P09","A los candidatos de Juntos por el cambio",0.066,0.816,0.189,0.081,0.078
"P09","A los candidatos del frente unidos por tigre",0.048,0.053,0.355,0.14,0.15
"P09","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.006,0.041,0.32,0.203,0.01
"P09","A los candidatos de la Izquierda",0.039,0.008,0.019,0.398,0.111
"P09","A los candidatos Liberales",0.004,0.024,0.019,0.036,0.547
"P10","Luis Samyn Duco",0.263,0.482,0.55,0,0.74
"P10","Gonzalo Meschengieser",0.021,0.218,0,0,0
"P10","Micaela Ferraro",0.083,0.218,0.008,0.633,0.054
"P10","Javier Forlenza",0.07,0,0,0,0
"P10","Jose Paesani",0.022,0,0.039,0,0
"P10","Malena Galmarini",0.327,0,0.403,0.139,0
"P10","Pipo Gorosito",0.214,0.082,0,0.228,0.206
"P11","Segundo Cernadas",0.608,0.612,0.559,0.913,0.612
"P11","Nicolas Massot",0.392,0.388,0.441,0.087,0.388
"P12","Malena Galmarini por el Frente de todos",0.632,0.044,0.113,0.043,0.103
"P12","Gisela Zamora por Frente vecinal unidos",0.249,0.174,0.158,0.128,0.103
"P12","Segundo cernadas por Juntos por el Cambio",0.052,0.723,0.249,0.071,0.208
"P12","Rodriguez Laborde por el Frente de Randazzo",0,0.034,0.294,0.025,0.013
"P12","A los candidatos del frente de izquierda",0.049,0.005,0.055,0.654,0.032
"P12","Cervetto por los liberales",0.018,0.02,0.131,0.079,0.541
"P13","Pipo Gorosito por el Frente de todos",0.602,0.028,0.107,0.221,0.136
"P13","Gisela Zamora por Frente vecinal unidos",0.3,0.105,0.376,0.07,0.163
"P13","Segundo cernadas por Juntos por el cambio",0.05,0.794,0.168,0.134,0.14
"P13","Rodriguez Laborde por el Frente de Randazzo",0.003,0.033,0.23,0,0.011
"P13","A los candidatos del frente de izquierda",0.042,0.003,0.045,0.568,0.004
"P13","Cervetto por los liberales",0.003,0.037,0.074,0.007,0.546
"P14","Micaela Ferraro por el Frente de todos",0.555,0.033,0.082,0.155,0.089
"P14","Gisela Zamora por Frente vecinal unidos",0.308,0.129,0.275,0.053,0.161
"P14","Segundo cernadas por juntos por el cambio",0.044,0.771,0.183,0.224,0.249
"P14","Rodriguez Laborde por el Frente de Randazzo",0.015,0.024,0.288,0,0.004
"P14","A los candidatos del frente de izquierda",0.075,0.006,0.046,0.565,0.011
"P14","Cervetto por los liberales",0.003,0.037,0.126,0.003,0.486
"P15","Luis Samin Duco por el Frente de todos",0.568,0.028,0.096,0,0.129
"P15","Gisela Zamora por Frente vecinal unidos",0.319,0.083,0.322,0.147,0.166
"P15","Segundo cernadas por juntos por el cambio",0.054,0.835,0.157,0.2,0.177
"P15","Rodriguez Laborde por el Frente de Randazzo",0.004,0.023,0.313,0.033,0.023
"P15","A los candidatos del frente de izquierda",0.051,0.004,0.085,0.473,0.011
"P15","Cervetto por los liberales",0.004,0.027,0.027,0.147,0.494
"P16","Muy bueno",0.333,0.051,0.212,0.176,0.126
"P16","Bueno",0.325,0.179,0.247,0.153,0.205
"P16","Ni bueno ni malo",0.216,0.44,0.293,0.203,0.223
"P16","Malo",0.056,0.164,0.072,0.239,0.214
"P16","Muy malo",0.046,0.149,0.165,0.183,0.211
"P16","No sabe",0.024,0.017,0.011,0.046,0.021
"P18","Muy buena",0.588,0.063,0.211,0.169,0.118
"P18","Buena",0.218,0.002,0.069,0.179,0.056
"P18","Ni buena ni mala",0.106,0.044,0.302,0.337,0.026
"P18","Mala",0.033,0.221,0.185,0.063,0.158
"P18","Muy mala",0.055,0.67,0.213,0.182,0.639
"P18","No sabe",0,0,0.02,0.07,0.003
"P19","Muy buena",0.087,0.191,0.096,0.044,0.166
"P19","Buena",0.028,0.275,0.054,0,0.117
"P19","Ni buena ni mala",0.081,0.241,0.183,0.302,0.217
"P19","Mala",0.155,0.198,0.313,0.192,0.25
"P19","Muy mala",0.633,0.094,0.27,0.392,0.25
"P19","No sabe",0.016,0.001,0.084,0.07,0
"P20","Muy buena",0.649,0.059,0.202,0.031,0.115
"P20","Buena",0.155,0.037,0.057,0.035,0.004
"P20","Ni buena ni mala",0.111,0.033,0.164,0.292,0.044
"P20","Mala",0.023,0.118,0.098,0.103,0.142
"P20","Muy mala",0.061,0.746,0.473,0.469,0.683
"P20","No sabe",0.001,0.007,0.006,0.07,0.012
"P21","Muy buena",0.076,0.271,0.213,0.172,0.189
"P21","Buena",0.072,0.328,0.209,0.115,0.136
"P21","Ni buena ni mala",0.11,0.255,0.181,0.203,0.225
"P21","Mala",0.116,0.049,0.274,0.092,0.176
"P21","Muy mala",0.625,0.092,0.116,0.266,0.267
"P21","No sabe",0.001,0.005,0.007,0.152,0.007
"P22","Muy buena",0.576,0.054,0.133,0.152,0.109
"P22","Buena",0.167,0.049,0.105,0.072,0
"P22","Ni buena ni mala",0.11,0.027,0.234,0.355,0.082
"P22","Mala",0.039,0.143,0.196,0.09,0.195
"P22","Muy mala",0.09,0.726,0.332,0.26,0.565
"P22","No sabe",0.018,0.001,0,0.071,0.049
"P23","Muy buena",0.09,0.573,0.16,0.036,0.177
"P23","Buena",0.086,0.273,0.305,0.112,0.164
"P23","Ni buena ni mala",0.237,0.113,0.158,0.286,0.211
"P23","Mala",0.178,0.001,0.086,0.139,0.113
"P23","Muy mala",0.36,0.032,0.171,0.387,0.258
"P23","No sabe",0.049,0.008,0.12,0.04,0.077
"P24","Muy buena",0.208,0.064,0.017,0.049,0.026
"P24","Buena",0.238,0.068,0.103,0.092,0.054
"P24","Ni buena ni mala",0.324,0.088,0.276,0.201,0.244
"P24","Mala",0.041,0.23,0.108,0.029,0.089
"P24","Muy mala",0.127,0.452,0.393,0.547,0.476
"P24","No sabe",0.062,0.098,0.103,0.082,0.111
"P25","Muy buena",0.259,0.03,0.083,0.019,0.004
"P25","Buena",0.193,0.075,0.118,0,0.198
"P25","Ni buena ni mala",0.359,0.056,0.16,0.137,0.038
"P25","Mala",0.064,0.147,0.109,0.155,0.148
"P25","Muy mala",0.103,0.692,0.506,0.689,0.59
"P25","No sabe",0.022,0,0.024,0,0.022
"P26","Muy buena",0.337,0.066,0.172,0.138,0.009
"P26","Buena",0.325,0.139,0.317,0.078,0.169
"P26","Ni buena ni mala",0.234,0.273,0.201,0.202,0.205
"P26","Mala",0.056,0.215,0.064,0.242,0.094
"P26","Muy mala",0.041,0.263,0.131,0.305,0.452
"P26","No sabe",0.007,0.044,0.115,0.035,0.071
"P27","Muy buena",0.08,0.187,0.092,0.01,0.011
"P27","Buena",0.072,0.332,0.128,0.009,0.161
"P27","Ni buena ni mala",0.193,0.329,0.342,0.373,0.282
"P27","Mala",0.179,0.032,0.111,0.046,0.056
"P27","Muy mala",0.346,0.059,0.062,0.474,0.253
"P27","No sabe",0.13,0.061,0.265,0.088,0.237
"P28","Si",0.534,0.482,0.618,0.397,0.435
"P28","No",0.466,0.518,0.382,0.603,0.565
