"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Si",0.51,0.484,0.538,0.419,0.581,0.475,0.485,0.52,0.493,0.526,0.582,0.48,0.098
"No",0.49,0.516,0.462,0.581,0.419,0.525,0.515,0.48,0.507,0.474,0.418,0.52,0.902
