"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"No alcanzan para cubrir las necesidades básicas familiares",0.293,0.253,0.329,0.249,0.31,0.235,0.41,0.467,0.241,0.171,0.322,0.206,0.297,0.283,0.304,0.332,0.278,0.313,0.238,0.282,0.141,0.182,0.03,0.425,0.318,0.35
"Solo alcanzan para cubrir las necesidades básicas familiares",0.249,0.241,0.257,0.315,0.211,0.259,0.246,0.212,0.267,0.266,0.262,0.227,0.246,0.237,0.247,0.415,0.234,0.223,0.421,0.327,0.455,0.303,0.221,0,0.116,0.278
"No alcanzan para cubrir los gastos totales de la familia",0.167,0.177,0.158,0.168,0.157,0.211,0.122,0.134,0.195,0.16,0.136,0.255,0.164,0.131,0.203,0.116,0.097,0.196,0.2,0.104,0.151,0.147,0.33,0.315,0.364,0.129
"Alcanzan para cubrir los gastos totales de la familia",0.123,0.108,0.137,0.092,0.15,0.139,0.066,0.022,0.172,0.164,0.14,0.099,0.116,0.169,0.1,0.044,0.203,0.155,0.055,0,0.048,0.248,0,0.031,0.037,0.088
"Tenemos un pequeño excedente, pero es excepcional",0.051,0.06,0.043,0.043,0.044,0.063,0.067,0.032,0.051,0.074,0.042,0.067,0.053,0.072,0.043,0,0.09,0.042,0.024,0,0.192,0.062,0,0,0,0.037
"Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.041,0.058,0.026,0.025,0.051,0.03,0.053,0.018,0.013,0.113,0.048,0.049,0.031,0.041,0.034,0.087,0.047,0.025,0.053,0.1,0,0.023,0,0.067,0.095,0.015
"Tenemos un gran excedente pero es excepcional",0.01,0.02,0.001,0,0.023,0,0.002,0.03,0,0.003,0,0.005,0.022,0.018,0.002,0,0,0.002,0,0,0,0,0.368,0,0,0.002
"Tenemos un gran excedente habitual que ahorramos o invertimos",0.028,0.031,0.024,0.075,0.004,0.042,0,0.057,0,0.038,0.011,0.061,0.032,0.025,0.02,0,0.042,0.02,0.005,0.187,0,0.028,0.051,0,0,0
"No sabe",0.038,0.052,0.025,0.033,0.05,0.021,0.034,0.028,0.061,0.011,0.039,0.031,0.039,0.024,0.047,0.006,0.009,0.024,0.004,0,0.013,0.007,0,0.162,0.07,0.101
