"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.165,0.16,0.873,0.778,0.777,0,0.455,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.519,0.364,0.029,0.222,0.223,0.898,0.155,0.219
"P09","Nunca voy a votar",0,0.068,0,0,0,0,0,0
"P09","Por miedo a la pandemia",0.114,0.221,0.098,0,0,0.102,0.258,0.31
"P09","Porque las PASO no son elecciones importantes",0.202,0.187,0,0,0,0,0.132,0.471
"P14","A Tolosa Paz por el Frente de Todos",0.732,0.056,0.077,0.357,0.304,0.098,0.155,0.416
"P14","A Santilli y Manes por Juntos",0.124,0.765,0.41,0.025,0.111,0.052,0.291,0.209
"P14","A del Caño por el Frente de Izquierda",0.046,0.032,0.405,0.431,0.354,0.532,0.03,0.011
"P14","A Espert por Avanza libertad",0.027,0.115,0.077,0.039,0.097,0,0.041,0.019
"P14","A Randazzo por ""Vamos con vos""",0.006,0.005,0,0.01,0.134,0,0.03,0
"P14","A Hotton por “+Valores”",0.035,0.018,0,0.106,0,0,0.182,0
"P14","Votaría en blanco o anularía",0.03,0.009,0.031,0.032,0,0.318,0.271,0.345
"P16","A Segundo cernadas por Juntos",0.129,0.766,0.41,0.025,0.111,0.052,0.278,0.209
"P16","A Gisela Zamora por el frente de todos",0.721,0.047,0.044,0.357,0.304,0.098,0.168,0.416
"P16","A Juan José Cervetto por avanza libertad",0.033,0.122,0.077,0.039,0.097,0,0.041,0.011
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.036,0.031,0.405,0.431,0.354,0.517,0.03,0
"P16","A Matias Orfo por Vamos con vos",0.009,0.005,0,0.01,0.134,0.015,0.03,0
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.035,0.018,0.031,0.106,0,0,0.182,0
"P16","En blanco o anularía",0.037,0.011,0.033,0.032,0,0.318,0.271,0.364
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.123,0.732,0.419,0.054,0,0.129,0.067,0.209
"P18","Victoria Tolosa Paz por el Frente de todos",0.691,0.081,0.085,0.303,0.415,0.054,0.086,0.208
"P18","Nicolás del Caño por el Frente de Izquierda",0.051,0.046,0.405,0.113,0,0.485,0.013,0.011
"P18","José Luis Espert por “Avanza Libertad”",0.038,0.058,0.045,0.392,0.451,0,0.074,0
"P18","Florencio Randazzo por “Vamos con vos”",0.023,0.016,0.014,0,0.134,0,0,0.143
"P18","Cynthia Hotton por “+Valores”",0.023,0.003,0,0,0,0.014,0.137,0
