"var","categoria","No alcanzan para cubrir las necesidades básicas familiares","Solo alcanzan para cubrir las necesidades básicas familiares","No alcanzan para cubrir los gastos totales de la familia","Alcanzan para cubrir los gastos totales de la familia","Tenemos un pequeño excedente, pero es excepcional","Tenemos un pequeño excedente habitual que ahorramos o invertimos","Tenemos un gran excedente pero es excepcional","Tenemos un gran excedente habitual que ahorramos o invertimos","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.464,0.318,0.076,0.299,0,0.437,0,0,0
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.27,0.498,0.512,0.099,0.366,0.455,0,0,0
"P09","Nunca voy a votar",0,0,0,0.246,0,0,0,0,0
"P09","Por miedo a la pandemia",0.114,0.148,0.268,0.334,0.135,0,1,0,0.211
"P09","Porque las PASO no son elecciones importantes",0.152,0.036,0.144,0.022,0.499,0.108,0,0,0.789
"P14","A Tolosa Paz por el Frente de Todos",0.315,0.226,0.378,0.681,0.598,0.393,0,0,0.099
"P14","A Santilli y Manes por Juntos",0.41,0.57,0.382,0.255,0.2,0.279,0.049,0.172,0.371
"P14","A del Caño por el Frente de Izquierda",0.095,0.081,0.063,0.009,0.153,0.058,0.029,0.333,0.02
"P14","A Espert por Avanza libertad",0.067,0.056,0.01,0.034,0.049,0.201,0,0.315,0.2
"P14","A Randazzo por ""Vamos con vos""",0.008,0.008,0.009,0.009,0,0,0,0.134,0
"P14","A Hotton por “+Valores”",0.049,0.026,0.035,0.005,0,0.069,0.922,0.046,0
"P14","Votaría en blanco o anularía",0.056,0.033,0.123,0.007,0,0,0,0,0.31
"P16","A Segundo cernadas por Juntos",0.41,0.57,0.376,0.271,0.2,0.279,0.049,0.172,0.382
"P16","A Gisela Zamora por el frente de todos",0.303,0.221,0.356,0.681,0.598,0.393,0,0,0.099
"P16","A Juan José Cervetto por avanza libertad",0.065,0.056,0.026,0.018,0.133,0.201,0,0.315,0.209
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.091,0.081,0.072,0.009,0.069,0.058,0,0.333,0
"P16","A Matias Orfo por Vamos con vos",0.014,0.008,0.009,0.009,0,0,0.029,0.134,0
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.049,0.03,0.035,0.005,0,0.069,0.922,0.046,0
"P16","En blanco o anularía",0.068,0.034,0.126,0.007,0,0,0,0,0.31
"P18","Diego Santilli y Facundo Manes por “Juntos”",0.367,0.462,0.336,0.247,0.23,0.418,0.049,0.028,0.582
"P18","Victoria Tolosa Paz por el Frente de todos",0.318,0.285,0.31,0.625,0.565,0.347,0,0,0.076
"P18","Nicolás del Caño por el Frente de Izquierda",0.047,0.097,0.092,0.01,0.069,0.148,0,0.118,0.009
"P18","José Luis Espert por “Avanza Libertad”",0.054,0.059,0.021,0.043,0.128,0.006,0,0.72,0.046
"P18","Florencio Randazzo por “Vamos con vos”",0.015,0.011,0.049,0.031,0.008,0.021,0,0.134,0
"P18","Cynthia Hotton por “+Valores”",0.012,0,0.05,0,0,0.029,0.951,0,0
"P18","Ninguna en particular",0.104,0.044,0.073,0.044,0,0.031,0,0,0.267
"P18","No sabe",0.083,0.042,0.069,0,0,0,0,0,0.02
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.408,0.288,0.398,0.599,0.674,0.359,0.049,0.046,0.014
"P19","Victoria Tolosa Paz por el Frente de todos",0.337,0.541,0.378,0.284,0.183,0.528,0,0.487,0.444
"P19","Nicolás del Caño por el Frente de Izquierda",0.046,0.058,0.013,0.017,0,0.071,0,0,0.033
"P19","José Luis Espert por “Avanza Libertad”",0.016,0.017,0.01,0.026,0.089,0,0,0.333,0
"P19","Florencio Randazzo por “Vamos con vos”",0.041,0.013,0.009,0.03,0.042,0,0,0.134,0
"P19","Cynthia Hotton por “+Valores”",0.02,0.006,0.065,0.003,0,0,0.029,0,0
"P19","Ninguna en particular",0.105,0.055,0.064,0.041,0.012,0.042,0.922,0,0.349
"P19","No sabe",0.027,0.022,0.063,0,0,0,0,0,0.16
"P21","La inflación",0.323,0.208,0.27,0.314,0.262,0.399,0,0,0.578
"P21","El desempleo",0.237,0.184,0.19,0.064,0.084,0.011,0,0,0
"P21","La corrupción",0.335,0.357,0.265,0.328,0.381,0.195,1,0.658,0.192
"P21","La inseguridad",0.019,0.04,0.134,0.131,0.031,0,0,0,0.131
"P21","El precio del dólar",0.03,0.023,0.019,0.023,0.055,0.009,0,0.249,0
"P21","La pobreza",0.035,0.106,0.049,0.012,0.045,0.262,0,0.016,0
"P21","El narcotráfico",0,0.014,0.007,0.019,0,0.022,0,0,0
"P21","Las tarifas",0.017,0,0.004,0.003,0.079,0,0,0,0
"P21","Otro",0.004,0.022,0.026,0.106,0.034,0.102,0,0.077,0.087
"P21","No sabe",0,0.046,0.036,0,0.029,0,0,0,0.012
"P22","Muy buena",0.147,0.196,0.16,0.214,0.352,0.176,0,0.232,0.156
"P22","Buena",0.141,0.146,0.136,0.269,0.195,0.234,0,0,0
"P22","Ni buena ni mala",0.179,0.14,0.202,0.204,0.162,0.01,0,0.416,0.074
"P22","Mala",0.135,0.134,0.26,0.062,0.053,0.124,0,0.111,0.36
"P22","Muy mala",0.393,0.384,0.229,0.225,0.23,0.456,1,0.239,0.41
"P22","No sabe",0.005,0,0.013,0.026,0.008,0,0,0.002,0
"P23","Muy buena",0.223,0.253,0.293,0.361,0.372,0.379,0,0.22,0.153
"P23","Buena",0.1,0.112,0.064,0.182,0.28,0,0,0.077,0
"P23","Ni buena ni mala",0.124,0.09,0.127,0.041,0.062,0.036,0,0,0.075
"P23","Mala",0.049,0.048,0.181,0.067,0.049,0.082,0,0.015,0.361
"P23","Muy mala",0.487,0.493,0.293,0.349,0.237,0.503,1,0.688,0.411
"P23","No sabe",0.017,0.004,0.042,0,0,0,0,0,0
"P24","Muy buena",0.125,0.07,0.075,0.133,0.255,0.044,0,0,0.019
"P24","Buena",0.17,0.141,0.144,0.306,0.094,0.264,0,0,0
"P24","Ni buena ni mala",0.157,0.183,0.275,0.196,0.321,0.126,0.964,0.162,0.166
"P24","Mala",0.105,0.156,0.127,0.155,0.123,0.146,0,0.143,0.018
"P24","Muy mala",0.431,0.445,0.329,0.204,0.207,0.42,0.036,0.695,0.707
"P24","No sabe",0.012,0.005,0.05,0.006,0,0,0,0,0.09
"P25","Muy buena",0.098,0.188,0.063,0.064,0.044,0.113,0,0.552,0.351
"P25","Buena",0.132,0.143,0.084,0.082,0.116,0.07,0,0,0.044
"P25","Ni buena ni mala",0.15,0.271,0.262,0.195,0.131,0.206,0,0.328,0.108
"P25","Mala",0.205,0.142,0.153,0.194,0.11,0.125,0,0.02,0.396
"P25","Muy mala",0.373,0.256,0.376,0.453,0.599,0.486,1,0.1,0.101
"P25","No sabe",0.042,0,0.062,0.012,0,0,0,0,0
"P26","Muy buena",0.22,0.222,0.14,0.084,0.125,0.175,0,0.017,0.519
"P26","Buena",0.188,0.294,0.152,0.084,0.161,0.209,0.975,0.869,0.338
"P26","Ni buena ni mala",0.231,0.226,0.303,0.19,0.143,0.162,0,0.028,0.103
"P26","Mala",0.111,0.092,0.081,0.219,0.243,0.156,0,0,0
"P26","Muy mala",0.233,0.159,0.276,0.423,0.328,0.273,0.025,0.086,0.04
"P26","No sabe",0.017,0.007,0.048,0,0,0.025,0,0,0
"P27","Muy buena",0.158,0.07,0.089,0.147,0.263,0.025,0,0,0.095
"P27","Buena",0.15,0.07,0.071,0.263,0.235,0.168,0.975,0.116,0
"P27","Ni buena ni mala",0.194,0.325,0.352,0.228,0.222,0.207,0,0.013,0.177
"P27","Mala",0.06,0.113,0.128,0.222,0.077,0.178,0,0,0.38
"P27","Muy mala",0.374,0.384,0.237,0.125,0.203,0.358,0.025,0.755,0.155
"P27","No sabe",0.064,0.038,0.123,0.015,0,0.064,0,0.116,0.193
