"var","categoria","Diego Santilli y Facundo Manes por “Juntos”","Victoria Tolosa Paz por el Frente de todos","Nicolás del Caño por el Frente de Izquierda","José Luis Espert por “Avanza Libertad”","Florencio Randazzo por “Vamos con vos”","Cynthia Hotton por “+Valores”","Ninguna en particular","No sabe"
"P09","Porque me siento desanimado con la realidad del país",0.324,0.132,0.203,0.505,0.612,0,0.075,0.686
"P09","Porque estoy en desacuerdo con el gobierno, pero la oposición no me representa",0.083,0.513,0.759,0.327,0.388,0.53,0.497,0.087
"P09","Nunca voy a votar",0,0.1,0,0,0,0,0,0
"P09","Por miedo a la pandemia",0.321,0.074,0,0.085,0,0.47,0.307,0.144
"P09","Porque las PASO no son elecciones importantes",0.272,0.181,0.038,0.083,0,0,0.121,0.083
"P14","A Tolosa Paz por el Frente de Todos",0.053,0.859,0.147,0,0.523,0,0.187,0.029
"P14","A Santilli y Manes por Juntos",0.882,0.108,0.104,0.112,0.125,0.021,0.22,0.455
"P14","A del Caño por el Frente de Izquierda",0.002,0.023,0.689,0.315,0,0.015,0.019,0
"P14","A Espert por Avanza libertad",0.051,0.001,0,0.511,0.037,0,0.088,0.011
"P14","A Randazzo por ""Vamos con vos""",0.002,0,0.025,0.004,0.239,0,0.033,0
"P14","A Hotton por “+Valores”",0.005,0.008,0.035,0,0.037,0.877,0.061,0.248
"P14","Votaría en blanco o anularía",0.005,0.001,0,0.058,0.039,0.087,0.392,0.257
"P16","A Segundo cernadas por Juntos",0.874,0.085,0.104,0.14,0.125,0.021,0.204,0.454
"P16","A Gisela Zamora por el frente de todos",0.061,0.868,0.097,0,0.523,0,0.203,0.185
"P16","A Juan José Cervetto por avanza libertad",0.051,0.001,0.056,0.543,0.037,0,0.088,0
"P16","A Paula Yamila Akerfeld por el Frente de Izquierda",0.001,0.027,0.669,0.255,0,0,0.019,0
"P16","A Matias Orfo por Vamos con vos",0.002,0.001,0.039,0.004,0.239,0.015,0.033,0
"P16","A Nicolás Viera Dutra por el Partido Unión Celeste y Blanco",0.005,0.006,0.035,0.019,0.037,0.877,0.061,0.092
"P16","En blanco o anularía",0.006,0.012,0,0.039,0.039,0.087,0.392,0.269
"P19","Diego Santilli y Facundo Manes por “Juntos”",0.134,0.803,0.309,0.224,0.383,0.42,0.233,0.064
"P19","Victoria Tolosa Paz por el Frente de todos",0.781,0.091,0.267,0.331,0.267,0.051,0.231,0.169
"P19","Nicolás del Caño por el Frente de Izquierda",0.041,0.009,0.22,0.024,0.022,0,0.016,0
"P19","José Luis Espert por “Avanza Libertad”",0.004,0.024,0.047,0.16,0,0,0.051,0
"P19","Florencio Randazzo por “Vamos con vos”",0,0.031,0,0.171,0.147,0,0,0
"P19","Cynthia Hotton por “+Valores”",0.007,0.003,0.136,0,0,0.012,0.08,0
"P19","Ninguna en particular",0.016,0.021,0.016,0.09,0,0.517,0.363,0.535
"P19","No sabe",0.017,0.018,0.005,0,0.181,0,0.026,0.232
"P20","No alcanzan para cubrir las necesidades básicas familiares",0.297,0.275,0.202,0.234,0.182,0.155,0.432,0.518
"P20","Solo alcanzan para cubrir las necesidades básicas familiares",0.319,0.21,0.358,0.218,0.11,0,0.156,0.222
"P20","No alcanzan para cubrir los gastos totales de la familia",0.155,0.153,0.228,0.052,0.339,0.371,0.174,0.244
"P20","Alcanzan para cubrir los gastos totales de la familia",0.084,0.227,0.017,0.079,0.161,0,0.077,0
"P20","Tenemos un pequeño excedente, pero es excepcional",0.033,0.085,0.052,0.096,0.017,0,0,0
"P20","Tenemos un pequeño excedente habitual que ahorramos o invertimos",0.047,0.042,0.09,0.003,0.036,0.053,0.018,0
"P20","Tenemos un gran excedente pero es excepcional",0.002,0,0,0,0,0.421,0,0
"P20","Tenemos un gran excedente habitual que ahorramos o invertimos",0.002,0,0.048,0.292,0.155,0,0,0
"P20","No sabe",0.061,0.008,0.005,0.026,0,0,0.143,0.016
"P21","La inflación",0.329,0.302,0.215,0.179,0.185,0.264,0.176,0.23
"P21","El desempleo",0.111,0.226,0.378,0.091,0,0,0.127,0.021
"P21","La corrupción",0.397,0.198,0.269,0.435,0.228,0.697,0.533,0.418
"P21","La inseguridad",0.059,0.074,0,0,0.085,0,0.107,0.126
"P21","El precio del dólar",0.022,0.04,0,0.015,0.177,0,0,0.032
"P21","La pobreza",0.06,0.07,0.113,0.009,0.207,0,0,0
"P21","El narcotráfico",0.006,0.011,0,0,0,0.039,0.019,0
"P21","Las tarifas",0,0.014,0,0.08,0,0,0.005,0
"P21","Otro",0.016,0.056,0.02,0.038,0.118,0,0.033,0.021
"P21","No sabe",0,0.009,0.005,0.153,0,0,0,0.152
