"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","A.Kirchner","Belloni","Costa","Vidal","Peralta"
"Unión por la Patria",0.311,0.328,0.293,0.269,0.348,0.307,0.281,0.269,0.328,0.321,0.449,0.332,0.16,0.092,0.104
"Juntos por el Cambio",0.207,0.209,0.205,0.166,0.163,0.317,0.355,0.178,0.202,0.258,0.222,0.231,0.187,0.137,0.257
"De los Liberales libertarios",0.145,0.204,0.085,0.182,0.156,0.099,0.051,0.171,0.117,0.184,0.12,0.173,0.156,0.183,0.065
"De la Izquierda",0.032,0.031,0.033,0.034,0.038,0.023,0.015,0.036,0.033,0.026,0.031,0.014,0.041,0.062,0
"Hacemos por nuestro país",0.014,0.016,0.011,0.012,0.016,0.011,0.013,0.023,0.009,0.014,0.008,0.01,0.028,0.008,0.063
"Otro",0.072,0.064,0.08,0.059,0.083,0.075,0.056,0.068,0.066,0.089,0.053,0.063,0.138,0.054,0.071
"En blanco",0.064,0.052,0.076,0.092,0.046,0.047,0.089,0.105,0.057,0.029,0.026,0.071,0.041,0.219,0
"No sabe",0.155,0.096,0.217,0.186,0.15,0.121,0.14,0.15,0.188,0.079,0.091,0.106,0.249,0.245,0.44
