"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","A.Kirchner","Belloni","Costa","Vidal","Peralta"
"Mucho",0.391,0.435,0.346,0.313,0.454,0.412,0.372,0.379,0.351,0.516,1,0,0,0,0
"Bastante",0.211,0.241,0.18,0.178,0.222,0.24,0.239,0.126,0.258,0.222,0,1,0,0,0
"Poco",0.187,0.151,0.224,0.211,0.17,0.21,0.114,0.178,0.204,0.155,0,0,1,0,0
"Nada",0.156,0.124,0.189,0.197,0.123,0.118,0.227,0.234,0.138,0.079,0,0,0,1,0
"No sabe",0.055,0.049,0.061,0.101,0.031,0.02,0.048,0.083,0.049,0.028,0,0,0,0,1
