"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P05","Mucho",0.612,0.453,0.349,0.406,0.242,0.311,0.172,0.25
"P05","Bastante",0.243,0.254,0.271,0.099,0.16,0.2,0.252,0.156
"P05","Poco",0.095,0.168,0.198,0.237,0.382,0.358,0.118,0.297
"P05","Nada",0.04,0.088,0.169,0.258,0.079,0.101,0.458,0.212
"P05","No sabe",0.01,0.037,0.013,0,0.137,0.03,0,0.085
"P06","Siempre",0.315,0.223,0.163,0.278,0.158,0.166,0.138,0.152
"P06","Casi siempre",0.293,0.314,0.226,0.15,0.623,0.205,0.15,0.226
"P06","Casi nunca",0.301,0.313,0.413,0.501,0.111,0.355,0.267,0.304
"P06","Nunca, pero esta es una excepción",0.091,0.15,0.198,0.071,0.108,0.274,0.445,0.318
"P09","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.659,0.116,0.02,0.048,0,0.182,0.064,0.179
"P09","Juan Grabois a presidente y Paula Abal Medina a vicepresidenta por Unión por la Patria",0.166,0.022,0.039,0.125,0.313,0.086,0.062,0.022
"P09","Patricia Bullrich a presidenta y Luis Petri a vicepresidente por Juntos por el Cambio",0.046,0.463,0.107,0.036,0.128,0.176,0.031,0.018
"P09","Horacio Rodríguez Larreta a presidente y Gerardo Morales a vicepresidente por Juntos por el Cambio",0.035,0.219,0.032,0.088,0.184,0.082,0.009,0.053
"P09","Javier Milei a presidente y Victoria Villarruel a vicepresidenta por la Libertad Avanza",0.048,0.114,0.799,0.169,0,0.096,0.347,0.196
"P09","A los candidatos a presidente del Frente de Izquierda",0,0.007,0,0.317,0.12,0.152,0.014,0.01
"P09","En blanco",0.009,0,0,0,0.031,0.067,0.434,0.083
"P09","No sabe",0.037,0.059,0.003,0.217,0.224,0.159,0.039,0.439
"P12","Pablo Grasso a gobernador y Javier Castro a vicegobernador dentro del lema de Unión por la Patria",0.446,0.088,0.087,0.246,0.361,0.065,0.164,0.131
"P12","Javier Belloni a gobernador y Fernando Cotillo a vicegobernador dentro del lema de Unión por la Patria",0.41,0.13,0.044,0.126,0.182,0.159,0.202,0.184
"P12","Guillermo Polke  a gobernador y Miriam Glorgia a vicegobernadora dentro del lema de Unión por la Patria",0.022,0.03,0.012,0.136,0,0,0.02,0.029
"P12","Claudio Vidal a gobernador y Fabián Leguizamón a vicegobernador dentro del lema de por Santa Cruz",0.066,0.136,0.338,0.267,0.31,0.397,0.302,0.187
