"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora",0.134,0.149,0.119,0.122,0.117,0.182,0.142,0.146,0.086,0.211,0.175,0.103,0.517,0.052,0.417,0
"A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO",0.263,0.268,0.258,0.311,0.228,0.237,0.272,0.212,0.269,0.346,0.177,0.656,0,0.213,0,0
"A Quique Rossi  por Avancemos Cinco Saltos",0.159,0.18,0.14,0.143,0.173,0.145,0.18,0.195,0.179,0.049,0.211,0.11,0,0.2,0,0
"A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.116,0.091,0.14,0.092,0.123,0.121,0.15,0.145,0.096,0.104,0.194,0.044,0,0.029,0,1
"A Silvina Gastiazoro por Nueva Generación",0.032,0.046,0.019,0.047,0.046,0,0,0.047,0.026,0.015,0.016,0,0,0.199,0,0
"A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello",0.041,0.022,0.058,0.029,0.041,0.063,0.039,0.045,0.049,0.015,0.043,0.006,0,0.048,0.111,0
"A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne",0.022,0.01,0.034,0.044,0,0.021,0.035,0.014,0.036,0.009,0.009,0.027,0.171,0,0,0
"A Norberto Soto por la UCR con el apoyo del radicalismo",0.006,0.013,0,0,0.008,0.006,0.013,0.013,0.003,0,0.005,0,0,0,0,0
"No sabe",0.227,0.221,0.232,0.212,0.264,0.225,0.169,0.183,0.256,0.251,0.17,0.054,0.312,0.259,0.472,0
