"var","categoria","Muy de acuerdo","De acuerdo","Ni a favor ni en contra","En desacuerdo","Muy en desacuerdo","No sabe"
"P09_","Liliana Alvarado por Nos Une Río Negro",0.239,0.19,0.149,0.175,0.104,0.057
"P09_","Hernán Cáceres por Cambia Cinco Saltos",0.248,0.274,0.262,0.171,0.247,0.233
"P09_","Quique Rossi por Avancemos Cinco Saltos",0.164,0.174,0.222,0.192,0.193,0.211
"P09_","María Elena Vogel por Juntos Somos Río Negro",0.16,0.163,0.163,0.166,0.131,0
"P09_","Silvina Gastiazoro por Nueva Generación",0,0.078,0.062,0.04,0.072,0.091
"P09_","Miguel Vidal por el Partido Socialista",0.072,0.096,0.083,0.112,0.153,0.408
"P09_","Martín Palumbo por Vamos Con Todos",0.046,0,0.042,0.099,0.023,0
"P09_","Norberto Soto por la UCR",0.071,0.025,0.017,0.045,0.077,0
"P10_","A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora",0.227,0.171,0.207,0.207,0.144,0.177
"P10_","A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO",0.3,0.349,0.249,0.2,0.384,0
"P10_","A Quique Rossi  por Avancemos Cinco Saltos",0.133,0.185,0.199,0.245,0.124,0.091
"P10_","A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.237,0.162,0.2,0.14,0.151,0
"P10_","A Silvina Gastiazoro por Nueva Generación",0.024,0.042,0.023,0.013,0.034,0.128
"P10_","A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello",0.058,0.056,0.052,0.069,0.084,0.604
"P10_","A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne",0.017,0.006,0.066,0.092,0,0
"P10_","A Norberto Soto por la UCR con el apoyo del radicalismo",0.004,0.029,0.004,0.034,0.079,0
