"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Liliana Alvarado por Nos Une Río Negro",0.13,0.136,0.125,0.11,0.127,0.18,0.12,0.147,0.103,0.154,0.208,0.112,0.133,0.015,0.236,0.117
"Hernán Cáceres por Cambia Cinco Saltos",0.185,0.163,0.204,0.213,0.167,0.164,0.193,0.165,0.201,0.186,0.148,0.395,0.176,0.093,0,0
"Quique Rossi por Avancemos Cinco Saltos",0.144,0.162,0.128,0.153,0.153,0.098,0.163,0.189,0.148,0.055,0.172,0.128,0.15,0.263,0,0.117
"María Elena Vogel por Juntos Somos Río Negro",0.11,0.128,0.095,0.099,0.13,0.108,0.089,0.085,0.111,0.157,0.177,0.06,0.047,0.085,0,0.414
"Silvina Gastiazoro por Nueva Generación",0.036,0.04,0.032,0.035,0.053,0.014,0.023,0.048,0.025,0.036,0.014,0.018,0.018,0.158,0.328,0
"Miguel Vidal por el Partido Socialista",0.075,0.055,0.093,0.115,0.037,0.089,0.061,0.046,0.097,0.082,0.066,0.092,0.071,0.121,0.16,0.099
"Martín Palumbo por Vamos Con Todos",0.022,0.016,0.027,0.019,0.03,0.009,0.022,0.01,0.033,0.019,0.006,0.016,0.198,0,0.063,0.253
"Norberto Soto por la UCR",0.026,0.031,0.021,0.023,0.033,0.029,0.007,0.043,0.007,0.033,0.024,0.024,0,0.077,0,0
"No sabe",0.272,0.269,0.275,0.233,0.27,0.309,0.322,0.267,0.275,0.278,0.185,0.155,0.207,0.188,0.213,0
