"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Siempre",0.151,0.129,0.172,0.076,0.196,0.169,0.185,0.163,0.119,0.197,0.191,0.157,0.255,0.185,0.117,0.117
"Casi siempre",0.23,0.251,0.209,0.2,0.223,0.3,0.222,0.202,0.242,0.254,0.226,0.351,0.059,0.061,0.397,0.612
"Casi nunca",0.36,0.326,0.393,0.408,0.361,0.323,0.299,0.339,0.368,0.385,0.378,0.285,0.578,0.405,0.486,0.271
"Nunca, pero esta es una excepción",0.259,0.294,0.226,0.316,0.22,0.208,0.294,0.296,0.271,0.164,0.205,0.207,0.108,0.349,0,0
