"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Liliana Alvarado por Nos Une Río Negro",0.141,0.165,0.119,0.113,0.13,0.214,0.142,0.158,0.101,0.193,0.197,0.124,0.242,0.052,0.305,0
"Hernán Cáceres por Cambia Cinco Saltos",0.244,0.249,0.24,0.283,0.211,0.24,0.245,0.219,0.245,0.29,0.212,0.514,0,0.13,0,0
"Quique Rossi por Avancemos Cinco Saltos",0.182,0.202,0.163,0.211,0.173,0.139,0.192,0.22,0.21,0.05,0.215,0.158,0,0.283,0,0
"María Elena Vogel por Juntos Somos Río Negro",0.092,0.096,0.089,0.06,0.119,0.084,0.109,0.08,0.095,0.11,0.121,0.08,0,0,0,1
"Silvina Gastiazoro por Nueva Generación",0.039,0.042,0.036,0.047,0.066,0,0,0.047,0.021,0.06,0.027,0,0,0.199,0,0
"Miguel Vidal por el Partido Socialista",0.048,0.03,0.066,0.044,0.046,0.069,0.039,0.045,0.068,0.015,0.055,0.006,0,0.077,0.111,0
"Martín Palumbo por Vamos Con Todos",0.015,0.004,0.025,0.029,0,0.011,0.026,0.009,0.023,0.009,0.009,0.027,0.171,0,0,0
"Norberto Soto por la UCR",0.006,0.012,0,0,0.008,0.006,0.014,0.013,0.003,0,0.005,0,0,0,0,0
"No sabe",0.233,0.2,0.262,0.213,0.247,0.237,0.233,0.209,0.234,0.273,0.159,0.091,0.587,0.259,0.584,0
