"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"Liliana Alvarado por Nos Une Río Negro",0.125,0.134,0.116,0.114,0.112,0.185,0.1,0.139,0.102,0.144,0.207,0.111,0.127,0.022,0.226,0.115
"Hernán Cáceres por Cambia Cinco Saltos",0.205,0.179,0.229,0.233,0.189,0.174,0.23,0.172,0.232,0.21,0.15,0.394,0.191,0.122,0,0
"Quique Rossi por Avancemos Cinco Saltos",0.158,0.184,0.135,0.161,0.18,0.1,0.172,0.216,0.155,0.064,0.17,0.131,0.163,0.26,0,0.115
"María Elena Vogel por Juntos Somos Río Negro",0.108,0.122,0.096,0.084,0.147,0.096,0.075,0.089,0.1,0.158,0.176,0.057,0.043,0.1,0,0.403
"Silvina Gastiazoro por Nueva Generación",0.038,0.05,0.027,0.031,0.06,0.013,0.03,0.057,0.021,0.038,0.013,0.018,0.017,0.12,0.308,0
"Miguel Vidal por el Partido Socialista",0.081,0.061,0.099,0.134,0.029,0.092,0.092,0.046,0.108,0.088,0.066,0.092,0.069,0.121,0.174,0.115
"Martín Palumbo por Vamos Con Todos",0.018,0.011,0.024,0.022,0.021,0.005,0.019,0.009,0.028,0.013,0.007,0.016,0.183,0,0.071,0.252
"Norberto Soto por la UCR",0.024,0.025,0.022,0.023,0.029,0.028,0.007,0.042,0.005,0.03,0.023,0.024,0,0.033,0,0
"No sabe",0.243,0.234,0.252,0.198,0.233,0.307,0.275,0.23,0.249,0.255,0.188,0.157,0.207,0.222,0.221,0
