"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck/Pesatti","Tortoriello/Álvarez Guerrero","Horne/Costa Brutten","Rivero/Astuena","Casas/Villarroel","Zamaro/Roca"
"A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora",0.14,0.148,0.133,0.139,0.114,0.16,0.184,0.183,0.091,0.164,0.209,0.066,0.239,0.112,0.521,0.115
"A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO",0.254,0.274,0.236,0.286,0.243,0.236,0.242,0.163,0.291,0.336,0.14,0.553,0.038,0.189,0,0
"A Quique Rossi  por Avancemos Cinco Saltos",0.14,0.161,0.121,0.122,0.177,0.105,0.129,0.19,0.134,0.067,0.159,0.13,0.197,0.167,0,0.378
"A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck",0.132,0.104,0.157,0.11,0.106,0.197,0.159,0.168,0.115,0.106,0.248,0.041,0.245,0.091,0.078,0.14
"A Silvina Gastiazoro por Nueva Generación",0.03,0.048,0.014,0.023,0.052,0.005,0.022,0.049,0.016,0.025,0.01,0.006,0.017,0.12,0.109,0
"A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello",0.046,0.029,0.062,0.061,0.027,0.051,0.057,0.047,0.055,0.027,0.051,0.044,0,0.032,0.064,0.115
"A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne",0.021,0.013,0.028,0.028,0.02,0.011,0.018,0.008,0.031,0.023,0.006,0.025,0.142,0,0,0.252
"A Norberto Soto por la UCR con el apoyo del radicalismo",0.014,0.018,0.009,0.014,0.018,0.01,0.007,0.011,0.008,0.028,0.011,0.012,0,0,0,0
"No sabe",0.223,0.205,0.24,0.217,0.243,0.225,0.182,0.181,0.259,0.224,0.166,0.123,0.122,0.289,0.228,0
