"var","categoria","A Liliana Alvarado por Nos Une Río Negro con el apoyo del kirchnerismo, Martín Doñate y La Cámpora","A Hernán Cáceres por Cambia Cinco Saltos con el apoyo de una parte del PRO","A Quique Rossi  por Avancemos Cinco Saltos","A María Elena Vogel por Juntos Somos Río Negro con el apoyo de Alberto Weretilneck","A Silvina Gastiazoro por Nueva Generación","A Miguel Vidal por el Partido Socialista con el apoyo de una parte del PRO y de Anibal Tortoriello","A Martín Palumbo por Vamos Con Todos con el apoyo del Movimiento Evita y de Silvia Horne","A Norberto Soto por la UCR con el apoyo del radicalismo"
"P05","Siempre",0.22,0.102,0.158,0.166,0.095,0.129,0.299,0
"P05","Casi siempre",0.222,0.231,0.256,0.235,0.041,0.182,0.25,0.394
"P05","Casi nunca",0.367,0.364,0.361,0.35,0.419,0.412,0.285,0.203
"P05","Nunca, pero esta es una excepción",0.191,0.303,0.225,0.249,0.445,0.277,0.166,0.403
"P07","Muy de acuerdo",0.217,0.186,0.139,0.241,0.138,0.155,0.099,0.032
"P07","De acuerdo",0.275,0.363,0.324,0.277,0.416,0.247,0.057,0.386
"P07","Ni a favor ni en contra",0.304,0.235,0.317,0.311,0.206,0.21,0.58,0.046
"P07","En desacuerdo",0.098,0.061,0.127,0.071,0.038,0.09,0.264,0.131
"P07","Muy en desacuerdo",0.09,0.155,0.084,0.1,0.131,0.146,0,0.405
"P07","No sabe",0.016,0,0.009,0,0.071,0.152,0,0
"P08","Muy buena",0.17,0.005,0.019,0.011,0.041,0,0.063,0
"P08","Buena",0.286,0.073,0.117,0.116,0.133,0.019,0.156,0.2
"P08","Ni buena ni mala",0.321,0.412,0.351,0.331,0.158,0.151,0.15,0.265
"P08","Mala",0.054,0.255,0.239,0.289,0.219,0.151,0.189,0.217
"P08","Muy mala",0.084,0.154,0.24,0.135,0.312,0.181,0.278,0.257
"P08","No sabe",0.085,0.101,0.034,0.118,0.137,0.498,0.164,0.061
"P11","La votaría",0.497,0.052,0.118,0.064,0.163,0,0.137,0
"P11","Puede que la vote",0.249,0.195,0.149,0.206,0.082,0.078,0.11,0
"P11","Nunca la votaría",0.155,0.56,0.575,0.597,0.648,0.666,0.615,0.793
"P11","No sabe",0.099,0.193,0.158,0.133,0.107,0.256,0.138,0.207
"P12","Lo votaría",0.104,0.488,0.123,0.125,0,0.116,0.04,0
"P12","Puede que lo vote",0.294,0.192,0.375,0.323,0.17,0.228,0.373,0.064
"P12","Nunca lo votaría",0.388,0.153,0.301,0.29,0.552,0.412,0.556,0.843
"P12","No sabe",0.214,0.167,0.201,0.262,0.278,0.244,0.031,0.093
"P13","La votaría",0.053,0.051,0.019,0.481,0,0.016,0,0.103
"P13","Puede que la vote",0.217,0.27,0.196,0.221,0.313,0.094,0.18,0
"P13","Nunca la votaría",0.47,0.411,0.534,0.09,0.53,0.534,0.412,0.806
"P13","No sabe",0.26,0.268,0.251,0.208,0.157,0.356,0.408,0.091
"P14","Lo votaría",0.113,0.066,0.032,0.105,0.038,0.511,0.162,0.102
"P14","Puede que lo vote",0.129,0.182,0.136,0.171,0.082,0.047,0.04,0.103
"P14","Nunca lo votaría",0.583,0.496,0.616,0.5,0.716,0.169,0.677,0.706
"P14","No sabe",0.175,0.256,0.216,0.224,0.164,0.273,0.121,0.089
"P15","Lo votaría",0.089,0.037,0.565,0.07,0.063,0.09,0,0
"P15","Puede que lo vote",0.182,0.244,0.172,0.308,0.321,0.053,0.119,0.102
"P15","Nunca lo votaría",0.536,0.477,0.151,0.353,0.452,0.607,0.729,0.808
"P15","No sabe",0.193,0.242,0.112,0.269,0.164,0.25,0.152,0.09
"P16","Lo votaría",0.083,0.061,0.029,0.041,0,0,0.378,0
"P16","Puede que lo vote",0.122,0.08,0.122,0.076,0.088,0.1,0.249,0.169
"P16","Nunca lo votaría",0.516,0.556,0.548,0.539,0.749,0.6,0.06,0.742
"P16","No sabe",0.279,0.303,0.301,0.344,0.163,0.3,0.313,0.089
"P17","Lo votaría",0.076,0.011,0.009,0.038,0.131,0.028,0,0.46
"P17","Puede que lo vote",0.078,0.11,0.051,0.088,0,0.116,0.032,0.043
"P17","Nunca lo votaría",0.485,0.552,0.605,0.457,0.706,0.481,0.367,0.407
"P17","No sabe",0.361,0.327,0.335,0.417,0.163,0.375,0.601,0.09
"P18","La votaría",0.069,0.018,0.021,0.054,0.67,0.131,0,0.101
"P18","Puede que la vote",0.072,0.076,0.067,0.109,0.043,0.211,0.153,0.047
"P18","Nunca la votaría",0.52,0.576,0.54,0.483,0.254,0.356,0.364,0.761
"P18","No sabe",0.339,0.33,0.372,0.354,0.033,0.302,0.483,0.091
