"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Asado",0.42,0.495,0.352,0.371,0.454,0.447,0.357,0.418,0.411,0.433,0.384,0.472,0.394,0.405,0.295,0.419,0.436,0.419,0.419,0.442
"Pizza",0.076,0.073,0.079,0.078,0.088,0.067,0.064,0.083,0.078,0.069,0.082,0.063,0.113,0.097,0.038,0.057,0.08,0.009,0.084,0.057
"Milanesa",0.158,0.145,0.17,0.137,0.159,0.165,0.164,0.117,0.159,0.191,0.173,0.136,0.15,0.167,0.287,0.231,0.136,0.138,0.138,0.15
"Pastas",0.092,0.081,0.101,0.15,0.087,0.073,0.077,0.052,0.121,0.089,0.105,0.085,0.11,0.095,0.041,0.113,0.108,0.061,0.059,0.068
"Empanadas",0.039,0.043,0.036,0.031,0.042,0.028,0.055,0.054,0.038,0.027,0.035,0.031,0.031,0.054,0.016,0.014,0.032,0.058,0.071,0.042
"Hamburguesa",0.015,0.017,0.013,0.049,0.01,0.007,0.007,0.008,0.018,0.017,0.019,0.015,0.013,0.002,0.007,0.024,0.03,0,0.017,0.012
"Ensaladas (de cualquier tipo)",0.075,0.043,0.104,0.052,0.057,0.088,0.112,0.083,0.062,0.083,0.098,0.085,0.083,0.065,0.079,0.027,0.059,0.127,0.057,0.073
"Guiso (de lentejas, de arroz, locro o similares)",0.074,0.063,0.084,0.084,0.062,0.068,0.097,0.107,0.069,0.053,0.054,0.06,0.053,0.076,0.19,0.078,0.075,0.108,0.091,0.09
"Polenta o similares (de cualquier tipo)",0.023,0.017,0.029,0.032,0.017,0.025,0.027,0.042,0.019,0.013,0.02,0.034,0.011,0.023,0.019,0.004,0.031,0.018,0.036,0.02
"Ninguno de los anteriores",0.028,0.023,0.032,0.016,0.024,0.032,0.04,0.036,0.025,0.025,0.03,0.019,0.042,0.016,0.028,0.033,0.013,0.062,0.028,0.046
