"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.075,0.088,0.064,0.095,0.079,0.051,0.07,0.108,0.058,0.076,0.103,0.067,0.072,0.097,0.141,0.049,0.056,0.077,6
"Buena",0.223,0.215,0.229,0.207,0.207,0.246,0.243,0.134,0.18,0.284,0.276,0.204,0.177,0.256,0.335,0.21,0.252,0.13,6
"Ni buena ni mala",0.444,0.436,0.451,0.393,0.422,0.481,0.504,0.482,0.452,0.426,0.401,0.485,0.31,0.441,0.345,0.511,0.469,0.371,6
"Mala",0.191,0.189,0.193,0.214,0.217,0.167,0.145,0.162,0.239,0.167,0.146,0.195,0.282,0.141,0.15,0.181,0.168,0.313,6
"Muy mala",0.049,0.056,0.043,0.063,0.058,0.039,0.027,0.098,0.056,0.026,0.052,0.042,0.066,0.05,0.002,0.037,0.028,0.086,6
"No sabe",0.018,0.016,0.02,0.028,0.017,0.016,0.011,0.016,0.015,0.021,0.022,0.007,0.093,0.015,0.027,0.012,0.027,0.023,6
"Positiva",0.298,0.303,0.293,0.302,0.286,0.297,0.313,0.242,0.238,0.36,0.379,0.271,0.249,0.353,0.476,0.259,0.308,0.207,4
"Neutra",0.444,0.436,0.451,0.393,0.422,0.481,0.504,0.482,0.452,0.426,0.401,0.485,0.31,0.441,0.345,0.511,0.469,0.371,4
"Negativa",0.24,0.245,0.236,0.277,0.275,0.206,0.172,0.26,0.295,0.193,0.198,0.237,0.348,0.191,0.152,0.218,0.196,0.399,4
"No sabe",0.018,0.016,0.02,0.028,0.017,0.016,0.011,0.016,0.015,0.021,0.022,0.007,0.093,0.015,0.027,0.012,0.027,0.023,4
