"var","categoria","Unión por la Patria","La Libertad Avanza","En blanco"
"P15","Totalmente seguro",0.817,0.728,0.451
"P15","Bastante seguro",0.109,0.116,0.187
"P15","Algo seguro",0.037,0.078,0.185
"P15","Para nada seguro",0.037,0.078,0.177
"P16","Tiene Decidido que va a ir a votar",0.936,0.93,0.736
"P16","Tiene dudas sobre si va a ir a  votar",0.042,0.046,0.14
"P16","Tiene Decidido que no va a ir a votar",0.022,0.024,0.124
