"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.072,0.069,0.074,0.131,0.055,0.041,0.067,0.17,0.057,0.049,0.094,0.054,0.118,0.125,0.097,0.04,0.078,0.03,6
"Buena",0.075,0.069,0.08,0.061,0.077,0.074,0.087,0.069,0.091,0.065,0.179,0.027,0.065,0.16,0.201,0.015,0,0.025,6
"Ni buena ni mala",0.158,0.168,0.151,0.117,0.196,0.16,0.138,0.206,0.173,0.132,0.316,0.072,0.243,0.311,0.274,0.062,0.071,0.054,6
"Mala",0.262,0.247,0.273,0.28,0.25,0.266,0.257,0.28,0.246,0.266,0.269,0.249,0.33,0.23,0.296,0.281,0.318,0.217,6
"Muy mala",0.426,0.441,0.414,0.404,0.416,0.455,0.437,0.26,0.43,0.48,0.131,0.593,0.244,0.168,0.118,0.593,0.533,0.674,6
"No sabe",0.007,0.006,0.008,0.007,0.006,0.004,0.014,0.015,0.003,0.008,0.011,0.005,0,0.006,0.014,0.009,0,0,6
"Positiva",0.147,0.138,0.154,0.192,0.132,0.115,0.154,0.239,0.148,0.114,0.273,0.081,0.183,0.285,0.298,0.055,0.078,0.055,4
"Neutra",0.158,0.168,0.151,0.117,0.196,0.16,0.138,0.206,0.173,0.132,0.316,0.072,0.243,0.311,0.274,0.062,0.071,0.054,4
"Negativa",0.688,0.688,0.687,0.684,0.666,0.721,0.694,0.54,0.676,0.746,0.4,0.842,0.574,0.398,0.414,0.874,0.851,0.891,4
"No sabe",0.007,0.006,0.008,0.007,0.006,0.004,0.014,0.015,0.003,0.008,0.011,0.005,0,0.006,0.014,0.009,0,0,4
"Positiva",0.225,0.209,0.237,0.238,0.237,0.195,0.219,0.361,0.24,0.167,0.466,0.107,0.256,0.47,0.462,0.074,0.101,0.059,2
"Negativa",0.768,0.785,0.755,0.755,0.757,0.801,0.767,0.624,0.757,0.825,0.523,0.888,0.744,0.524,0.524,0.917,0.899,0.941,2
"No sabe",0.007,0.006,0.008,0.007,0.006,0.004,0.014,0.015,0.003,0.008,0.011,0.005,0,0.006,0.014,0.009,0,0,2
