"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Siempre",0.171,0.279,0.205,0.213,0.506,0.143,0.332,0.164,0.227,0.2
"P10","Casi siempre",0.291,0.275,0.258,0.355,0.166,0.305,0.282,0.454,0.294,0.214
"P10","Casi nunca",0.354,0.237,0.363,0.291,0.111,0.368,0.274,0.28,0.345,0.327
"P10","Nunca, pero esta es una excepción",0.184,0.209,0.174,0.141,0.217,0.184,0.112,0.102,0.134,0.259
"P11","Unión por la Patria",0.41,0.481,0.121,0.362,0.479,0.63,0.255,0.639,0.639,0.554
"P11","La Libertad Avanza",0.482,0.32,0.747,0.492,0.429,0.241,0.519,0.361,0.242,0.249
"P11","En blanco",0.063,0.085,0.072,0.099,0,0.062,0.165,0,0.082,0.168
"P11","No sabe",0.045,0.114,0.06,0.047,0.092,0.067,0.061,0,0.037,0.029
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.453,0.568,0.116,0.332,0.54,0.672,0.307,0.744,0.658,0.514
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.502,0.349,0.801,0.559,0.423,0.23,0.589,0.256,0.249,0.334
"P13","En blanco",0.024,0.067,0.037,0.068,0,0.047,0.042,0,0.053,0.113
"P13","No sabe",0.021,0.016,0.046,0.041,0.037,0.051,0.062,0,0.04,0.039
"P15","Totalmente seguro",0.795,0.728,0.744,0.705,0.825,0.788,0.707,0.707,0.815,0.846
"P15","Bastante seguro",0.115,0.138,0.12,0.154,0.062,0.092,0.118,0.189,0.109,0.079
"P15","Algo seguro",0.056,0.099,0.057,0.065,0.051,0.062,0.087,0.038,0.052,0
"P15","Para nada seguro",0.034,0.035,0.079,0.076,0.062,0.058,0.088,0.066,0.024,0.075
"P16","Tiene Decidido que va a ir a votar",0.964,0.856,0.93,0.952,0.823,0.924,0.897,0.828,0.873,0.9
"P16","Tiene dudas sobre si va a ir a  votar",0.028,0.093,0.044,0.025,0.068,0.051,0.061,0.172,0.044,0
"P16","Tiene Decidido que no va a ir a votar",0.008,0.051,0.026,0.023,0.109,0.025,0.042,0,0.083,0.1
"P17","Lo votaría",0.458,0.579,0.154,0.424,0.526,0.681,0.307,0.81,0.67,0.618
"P17","Puede que lo vote",0.049,0.123,0.037,0.062,0.068,0.055,0,0,0.047,0
"P17","Nunca lo votaría",0.477,0.267,0.79,0.474,0.406,0.254,0.675,0.19,0.254,0.35
"P17","No sabe",0.016,0.031,0.019,0.04,0,0.01,0.018,0,0.029,0.032
"P18","Lo votaría",0.437,0.26,0.697,0.473,0.416,0.186,0.546,0.213,0.239,0.17
"P18","Puede que lo vote",0.083,0.119,0.112,0.106,0.037,0.086,0.087,0,0.102,0.017
"P18","Nunca lo votaría",0.463,0.601,0.173,0.372,0.505,0.695,0.349,0.749,0.641,0.765
"P18","No sabe",0.017,0.02,0.018,0.049,0.042,0.033,0.018,0.038,0.018,0.048
"P19","Si",0.911,0.865,0.877,0.896,0.752,0.939,1,0.508,0.766,0.903
"P19","No",0.089,0.135,0.123,0.104,0.248,0.061,0,0.492,0.234,0.097
"P20","Sergio Massa",0.591,0.757,0.356,0.583,0.686,0.826,0.551,0.81,0.761,0.707
"P20","Javier Milei",0.409,0.243,0.644,0.417,0.314,0.174,0.449,0.19,0.239,0.293
"P21","Sergio Massa",0.54,0.681,0.192,0.502,0.611,0.782,0.344,0.81,0.718,0.731
"P21","Javier Milei",0.46,0.319,0.808,0.498,0.389,0.218,0.656,0.19,0.282,0.269
"P22","Sergio Massa",0.526,0.711,0.227,0.503,0.685,0.748,0.388,0.744,0.733,0.684
"P22","Javier Milei",0.474,0.289,0.773,0.497,0.315,0.252,0.612,0.256,0.267,0.316
"P23","Sergio Massa",0.519,0.693,0.188,0.486,0.611,0.752,0.344,0.81,0.716,0.711
"P23","Javier Milei",0.481,0.307,0.812,0.514,0.389,0.248,0.656,0.19,0.284,0.289
"P24","Si",0.453,0.66,0.174,0.378,0.598,0.556,0.389,0.916,0.598,0.479
"P24","No",0.547,0.34,0.826,0.622,0.402,0.444,0.611,0.084,0.402,0.521
"P25","Si",0.558,0.43,0.866,0.594,0.446,0.403,0.754,0.286,0.348,0.343
"P25","No",0.442,0.57,0.134,0.406,0.554,0.597,0.246,0.714,0.652,0.657
"P32","Sin deuda",0.454,0.484,0.401,0.436,0.479,0.458,0.334,0.421,0.439,0.458
"P32","Menos de 10%",0.167,0.114,0.181,0.177,0.037,0.19,0.188,0.177,0.049,0.051
"P32","Entre 10 y 20%",0.122,0.127,0.166,0.121,0.063,0.084,0.101,0,0.131,0.089
"P32","Entre 20 y 30%",0.083,0.067,0.069,0.073,0.084,0.075,0,0.066,0.128,0.07
"P32","Entre 30 y 40%",0.061,0.05,0.048,0.04,0.114,0.043,0.022,0.11,0.038,0.08
"P32","Mas del 40%",0.084,0.136,0.097,0.109,0.187,0.077,0.198,0.226,0.162,0.1
"P32","No sabe",0.029,0.022,0.038,0.044,0.036,0.073,0.157,0,0.053,0.152
"P33","Gran excedente habitual",0.011,0.042,0.006,0.014,0.023,0.022,0,0.044,0.058,0
"P33","Gran excedente excepcional",0.004,0.014,0.009,0,0.104,0,0,0,0.015,0.06
"P33","Pequeño excedente habitual",0.077,0.046,0.06,0.039,0.194,0.165,0.036,0.026,0.121,0.217
"P33","Pequeño excedente excepcional",0.082,0.011,0.062,0.077,0.086,0.093,0.109,0.079,0.073,0.067
"P33","Alcanza gastos familia",0.192,0.091,0.144,0.111,0.106,0.218,0.174,0.058,0.165,0.215
"P33","No alcanza gastos familia",0.098,0.117,0.121,0.091,0.07,0.053,0.043,0.04,0.12,0.043
"P33","Solo NBFamiliares",0.264,0.232,0.262,0.317,0.23,0.271,0.125,0.291,0.243,0.091
"P33","No alcanza NBFamiliares",0.261,0.442,0.323,0.349,0.175,0.143,0.358,0.462,0.175,0.139
"P33","No sabe",0.011,0.005,0.013,0.002,0.012,0.035,0.155,0,0.03,0.168
"P34","Muy buena",0.072,0.119,0.058,0.088,0.334,0.066,0.108,0.025,0.089,0.031
"P34","Buena",0.226,0.224,0.206,0.213,0.154,0.287,0.099,0.08,0.277,0.234
"P34","Ni buena ni mala",0.464,0.407,0.452,0.486,0.227,0.414,0.522,0.592,0.293,0.439
"P34","Mala",0.182,0.153,0.216,0.187,0.214,0.189,0.087,0.303,0.156,0.161
"P34","Muy mala",0.036,0.091,0.054,0.011,0.071,0.036,0.141,0,0.133,0
"P34","No sabe",0.02,0.006,0.014,0.015,0,0.008,0.043,0,0.052,0.135
"P35","Mejor",0.122,0.197,0.081,0.153,0.08,0.09,0.185,0.117,0.195,0.098
"P35","Igual",0.273,0.367,0.133,0.255,0.247,0.382,0.248,0.324,0.381,0.348
