"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco"
"P15","Totalmente seguro",0.803,0.727,0.399
"P15","Bastante seguro",0.113,0.122,0.148
"P15","Algo seguro",0.04,0.077,0.23
"P15","Para nada seguro",0.044,0.074,0.223
"P16","Tiene Decidido que va a ir a votar",0.944,0.927,0.636
"P16","Tiene dudas sobre si va a ir a  votar",0.033,0.053,0.169
"P16","Tiene Decidido que no va a ir a votar",0.023,0.02,0.195
