"var","categoria","Mejor","Igual","Peor","No sabe"
"P10","Siempre",0.276,0.174,0.186,0.36
"P10","Casi siempre",0.295,0.349,0.273,0.255
"P10","Casi nunca",0.31,0.308,0.357,0.256
"P10","Nunca, pero esta es una excepción",0.119,0.169,0.184,0.129
"P11","Unión por la Patria",0.516,0.7,0.179,0.324
"P11","La Libertad Avanza",0.302,0.209,0.697,0.482
"P11","En blanco",0.126,0.052,0.066,0.138
"P11","No sabe",0.056,0.039,0.058,0.056
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.526,0.718,0.188,0.378
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.374,0.234,0.735,0.504
"P13","En blanco",0.055,0.032,0.038,0.07
"P13","No sabe",0.045,0.016,0.039,0.048
"P15","Totalmente seguro",0.757,0.821,0.751,0.798
"P15","Bastante seguro",0.114,0.124,0.112,0.084
"P15","Algo seguro",0.08,0.024,0.068,0.056
"P15","Para nada seguro",0.049,0.031,0.069,0.062
"P16","Tiene Decidido que va a ir a votar",0.918,0.951,0.935,0.842
"P16","Tiene dudas sobre si va a ir a  votar",0.028,0.033,0.045,0.055
"P16","Tiene Decidido que no va a ir a votar",0.054,0.016,0.02,0.103
"P17","Lo votaría",0.588,0.764,0.212,0.422
"P17","Puede que lo vote",0.05,0.03,0.057,0.026
"P17","Nunca lo votaría",0.34,0.189,0.709,0.485
"P17","No sabe",0.022,0.017,0.022,0.067
"P18","Lo votaría",0.265,0.232,0.631,0.43
"P18","Puede que lo vote",0.095,0.064,0.112,0.046
"P18","Nunca lo votaría",0.614,0.69,0.232,0.484
"P18","No sabe",0.026,0.014,0.025,0.04
"P19","Si",0.88,0.889,0.895,0.842
"P19","No",0.12,0.111,0.105,0.158
"P20","Sergio Massa",0.801,0.829,0.387,0.606
"P20","Javier Milei",0.199,0.171,0.613,0.394
"P21","Sergio Massa",0.655,0.806,0.279,0.509
"P21","Javier Milei",0.345,0.194,0.721,0.491
"P22","Sergio Massa",0.638,0.799,0.296,0.557
"P22","Javier Milei",0.362,0.201,0.704,0.443
"P23","Sergio Massa",0.643,0.781,0.276,0.408
"P23","Javier Milei",0.357,0.219,0.724,0.592
"P24","Si",0.555,0.681,0.234,0.422
"P24","No",0.445,0.319,0.766,0.578
"P25","Si",0.381,0.308,0.808,0.599
"P25","No",0.619,0.692,0.192,0.401
"P28","Inflación",0.375,0.402,0.35,0.244
"P28","Desempleo",0.099,0.088,0.04,0.054
"P28","Corrupción",0.223,0.174,0.407,0.223
"P28","Inseguridad",0.123,0.098,0.082,0.188
"P28","Precio del dólar",0.008,0.012,0.008,0.094
"P28","Pobreza",0.056,0.113,0.059,0.087
"P28","Narcotráfico",0.013,0.009,0.007,0.011
"P28","Tarifas",0.007,0.009,0.006,0
"P28","Otro",0.087,0.08,0.035,0.025
"P28","No sabe",0.009,0.015,0.006,0.074
"P32","Sin deuda",0.501,0.542,0.39,0.214
"P32","Menos de 10%",0.15,0.203,0.145,0.172
"P32","Entre 10 y 20%",0.129,0.099,0.146,0.147
"P32","Entre 20 y 30%",0.064,0.067,0.086,0.079
"P32","Entre 30 y 40%",0.037,0.019,0.065,0.065
"P32","Mas del 40%",0.105,0.045,0.123,0.152
"P32","No sabe",0.014,0.025,0.045,0.171
"P33","Gran excedente habitual",0.04,0.028,0.005,0.022
"P33","Gran excedente excepcional",0.019,0.009,0.003,0.012
"P33","Pequeño excedente habitual",0.113,0.109,0.056,0.128
"P33","Pequeño excedente excepcional",0.089,0.096,0.058,0.067
"P33","Alcanza gastos familia",0.15,0.214,0.142,0.08
"P33","No alcanza gastos familia",0.134,0.071,0.106,0.133
"P33","Solo NBFamiliares",0.157,0.225,0.305,0.216
"P33","No alcanza NBFamiliares",0.29,0.237,0.312,0.211
"P33","No sabe",0.008,0.011,0.013,0.131
"P34","Muy buena",0.093,0.09,0.065,0.033
"P34","Buena",0.154,0.407,0.169,0.105
"P34","Ni buena ni mala",0.638,0.388,0.444,0.211
"P34","Mala",0.027,0.074,0.252,0.486
"P34","Muy mala",0.058,0.022,0.06,0.034
"P34","No sabe",0.03,0.019,0.01,0.131
"P36","Mejor",0.331,0.276,0.115,0.231
"P36","Igual",0.327,0.39,0.18,0.076
"P36","Peor",0.182,0.138,0.523,0.272
"P36","No sabe",0.16,0.196,0.182,0.421
"P37","Muy buena",0.171,0.048,0.052,0.17
"P37","Buena",0.295,0.122,0.014,0.043
"P37","Ni buena ni mala",0.197,0.299,0.078,0.176
"P37","Mala",0.221,0.367,0.349,0.349
"P37","Muy mala",0.103,0.153,0.497,0.243
"P37","No sabe",0.013,0.011,0.01,0.019
"P38","Mejor",0.336,0.159,0.029,0.174
"P38","Igual",0.183,0.419,0.05,0.159
"P38","Peor",0.396,0.365,0.889,0.516
"P38","No sabe",0.085,0.057,0.032,0.151
"P39","Mejor",0.378,0.297,0.137,0.251
"P39","Igual",0.166,0.272,0.141,0.099
"P39","Peor",0.336,0.234,0.569,0.487
"P39","No sabe",0.12,0.197,0.153,0.163
"P40","Muy buena",0.155,0.068,0.058,0.075
"P40","Buena",0.173,0.163,0.022,0.044
"P40","Ni buena ni mala",0.267,0.293,0.073,0.36
"P40","Mala",0.234,0.312,0.252,0.149
"P40","Muy mala",0.165,0.155,0.589,0.347
"P40","No sabe",0.006,0.009,0.006,0.025
"P42","Muy buena",0.107,0.053,0.03,0.08
"P42","Buena",0.184,0.215,0.038,0.028
"P42","Ni buena ni mala",0.292,0.315,0.074,0.405
"P42","Mala",0.211,0.245,0.245,0.1
"P42","Muy mala",0.197,0.153,0.603,0.331
"P42","No sabe",0.009,0.019,0.01,0.056
"P43","Muy buena",0.258,0.147,0.039,0.038
"P43","Buena",0.205,0.389,0.07,0.164
"P43","Ni buena ni mala",0.176,0.203,0.123,0.22
"P43","Mala",0.174,0.152,0.254,0.247
"P43","Muy mala",0.187,0.102,0.508,0.286
"P43","No sabe",0,0.007,0.006,0.045
"P44","Muy buena",0.153,0.064,0.031,0.025
"P44","Buena",0.177,0.213,0.042,0.059
"P44","Ni buena ni mala",0.252,0.338,0.072,0.304
"P44","Mala",0.198,0.214,0.231,0.266
"P44","Muy mala",0.217,0.152,0.618,0.32
"P44","No sabe",0.003,0.019,0.006,0.026
"P45","Muy buena",0.083,0.087,0.031,0.093
"P45","Buena",0.129,0.11,0.024,0.07
"P45","Ni buena ni mala",0.232,0.274,0.074,0.266
"P45","Mala",0.285,0.336,0.23,0.195
"P45","Muy mala",0.267,0.193,0.637,0.376
"P45","No sabe",0.004,0,0.004,0
"P46","Muy buena",0.366,0.399,0.084,0.219
"P46","Buena",0.105,0.152,0.049,0.086
"P46","Ni buena ni mala",0.138,0.147,0.052,0.193
"P46","Mala",0.157,0.109,0.153,0.205
"P46","Muy mala",0.229,0.189,0.656,0.297
"P46","No sabe",0.005,0.004,0.006,0
"P47","Muy buena",0.086,0.087,0.268,0.096
"P47","Buena",0.112,0.074,0.237,0.075
"P47","Ni buena ni mala",0.141,0.123,0.199,0.319
"P47","Mala",0.274,0.268,0.135,0.198
"P47","Muy mala",0.387,0.447,0.158,0.259
"P47","No sabe",0,0.001,0.003,0.053
"P48","Muy buena",0.085,0.123,0.113,0.134
"P48","Buena",0.108,0.141,0.204,0.038
"P48","Ni buena ni mala",0.304,0.233,0.256,0.319
"P48","Mala",0.323,0.299,0.207,0.217
"P48","Muy mala",0.176,0.202,0.215,0.228
"P48","No sabe",0.004,0.002,0.005,0.064
"P49","Muy buena",0.269,0.278,0.06,0.225
"P49","Buena",0.216,0.274,0.061,0.103
"P49","Ni buena ni mala",0.115,0.187,0.1,0.247
"P49","Mala",0.142,0.127,0.195,0.115
"P49","Muy mala",0.254,0.133,0.575,0.31
"P49","No sabe",0.004,0.001,0.009,0
