"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.054,0.065,0.045,0.112,0.046,0.022,0.035,0.15,0.032,0.037,0.102,0.03,0.087,0.115,0.078,0.015,0.03,0.016,6
"Buena",0.101,0.089,0.11,0.106,0.11,0.092,0.089,0.096,0.11,0.096,0.232,0.038,0.105,0.21,0.296,0.017,0.066,0.018,6
"Ni buena ni mala",0.167,0.174,0.161,0.164,0.195,0.14,0.149,0.183,0.158,0.168,0.342,0.07,0.167,0.316,0.284,0.059,0.153,0.056,6
"Mala",0.224,0.206,0.239,0.187,0.197,0.25,0.285,0.222,0.251,0.205,0.187,0.242,0.265,0.174,0.19,0.278,0.23,0.19,6
"Muy mala",0.445,0.455,0.437,0.416,0.442,0.493,0.432,0.329,0.449,0.481,0.125,0.613,0.371,0.172,0.137,0.625,0.514,0.72,6
"No sabe",0.009,0.011,0.008,0.015,0.01,0.003,0.01,0.02,0,0.013,0.012,0.007,0.005,0.013,0.015,0.006,0.007,0,6
"Positiva",0.155,0.154,0.155,0.218,0.156,0.114,0.124,0.246,0.142,0.133,0.334,0.068,0.192,0.325,0.374,0.032,0.096,0.034,4
"Neutra",0.167,0.174,0.161,0.164,0.195,0.14,0.149,0.183,0.158,0.168,0.342,0.07,0.167,0.316,0.284,0.059,0.153,0.056,4
"Negativa",0.669,0.661,0.676,0.603,0.639,0.743,0.717,0.551,0.7,0.686,0.312,0.855,0.636,0.346,0.327,0.903,0.744,0.91,4
"No sabe",0.009,0.011,0.008,0.015,0.01,0.003,0.01,0.02,0,0.013,0.012,0.007,0.005,0.013,0.015,0.006,0.007,0,4
