"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.113,0.087,0.134,0.097,0.112,0.104,0.141,0.172,0.109,0.096,0.074,0.149,0.065,0.117,0.057,0.147,0.23,0.041,6
"Buena",0.172,0.165,0.177,0.116,0.158,0.207,0.22,0.146,0.16,0.188,0.112,0.211,0.189,0.089,0.125,0.237,0.452,0.118,6
"Ni buena ni mala",0.258,0.273,0.247,0.232,0.242,0.293,0.28,0.32,0.24,0.251,0.227,0.269,0.252,0.243,0.228,0.304,0.154,0.243,6
"Mala",0.244,0.249,0.24,0.281,0.249,0.222,0.217,0.195,0.23,0.27,0.361,0.176,0.233,0.333,0.337,0.157,0.06,0.253,6
"Muy mala",0.207,0.223,0.194,0.269,0.236,0.17,0.128,0.145,0.261,0.19,0.219,0.19,0.261,0.21,0.242,0.153,0.104,0.334,6
"No sabe",0.006,0.003,0.008,0.005,0.003,0.004,0.014,0.022,0,0.005,0.007,0.005,0,0.008,0.011,0.002,0,0.011,6
"Positiva",0.285,0.252,0.311,0.213,0.27,0.311,0.361,0.318,0.269,0.284,0.186,0.36,0.254,0.206,0.182,0.384,0.682,0.159,4
"Neutra",0.258,0.273,0.247,0.232,0.242,0.293,0.28,0.32,0.24,0.251,0.227,0.269,0.252,0.243,0.228,0.304,0.154,0.243,4
"Negativa",0.451,0.472,0.434,0.55,0.485,0.392,0.345,0.34,0.491,0.46,0.58,0.366,0.494,0.543,0.579,0.31,0.164,0.587,4
"No sabe",0.006,0.003,0.008,0.005,0.003,0.004,0.014,0.022,0,0.005,0.007,0.005,0,0.008,0.011,0.002,0,0.011,4
"Positiva",0.396,0.366,0.42,0.293,0.366,0.477,0.477,0.436,0.371,0.399,0.236,0.507,0.397,0.275,0.235,0.571,0.753,0.248,2
"Negativa",0.598,0.631,0.572,0.702,0.631,0.519,0.509,0.542,0.629,0.596,0.757,0.488,0.603,0.718,0.754,0.427,0.247,0.742,2
"No sabe",0.006,0.003,0.008,0.005,0.003,0.004,0.014,0.022,0,0.005,0.007,0.005,0,0.007,0.011,0.002,0,0.01,2
