"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.208,0.256,0.169,0.319,0.211,0.171,0.118,0.272,0.196,0.196,0.089,0.262,0.288,0.134,0.101,0.152,0.087,0.613,6
"Buena",0.177,0.169,0.184,0.159,0.17,0.184,0.203,0.134,0.19,0.183,0.058,0.245,0.127,0.079,0.141,0.3,0.208,0.143,6
"Ni buena ni mala",0.203,0.174,0.226,0.144,0.153,0.279,0.277,0.17,0.216,0.204,0.124,0.253,0.181,0.082,0.125,0.36,0.317,0.095,6
"Mala",0.129,0.143,0.117,0.12,0.126,0.129,0.142,0.166,0.132,0.113,0.21,0.089,0.213,0.213,0.177,0.082,0.096,0.037,6
"Muy mala",0.275,0.251,0.295,0.258,0.33,0.232,0.244,0.242,0.259,0.298,0.514,0.144,0.167,0.484,0.456,0.098,0.273,0.108,6
"No sabe",0.008,0.007,0.009,0,0.01,0.005,0.016,0.016,0.007,0.006,0.005,0.007,0.024,0.008,0,0.008,0.019,0.004,6
"Positiva",0.385,0.425,0.353,0.478,0.381,0.355,0.321,0.406,0.386,0.379,0.147,0.507,0.415,0.213,0.242,0.452,0.295,0.756,4
"Neutra",0.203,0.174,0.226,0.144,0.153,0.279,0.277,0.17,0.216,0.204,0.124,0.253,0.181,0.082,0.125,0.36,0.317,0.095,4
"Negativa",0.404,0.394,0.412,0.378,0.456,0.361,0.386,0.408,0.391,0.411,0.724,0.233,0.38,0.697,0.633,0.18,0.369,0.145,4
"No sabe",0.008,0.007,0.009,0,0.01,0.005,0.016,0.016,0.007,0.006,0.005,0.007,0.024,0.008,0,0.008,0.019,0.004,4
"Positiva",0.531,0.554,0.512,0.562,0.482,0.582,0.527,0.502,0.537,0.537,0.196,0.713,0.496,0.235,0.293,0.747,0.476,0.851,2
"Negativa",0.461,0.439,0.479,0.438,0.508,0.413,0.457,0.483,0.456,0.457,0.799,0.28,0.479,0.757,0.707,0.245,0.505,0.145,2
"No sabe",0.008,0.007,0.009,0,0.01,0.005,0.016,0.015,0.007,0.006,0.005,0.007,0.025,0.008,0,0.008,0.019,0.004,2
