"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.061,0.05,0.069,0.078,0.046,0.07,0.058,0.101,0.048,0.057,0.041,0.078,0.064,0.065,0.026,0.077,0.111,0.022,6
"Buena",0.132,0.107,0.154,0.091,0.127,0.141,0.182,0.105,0.131,0.143,0.112,0.128,0.294,0.117,0.102,0.155,0.212,0.085,6
"Ni buena ni mala",0.309,0.3,0.316,0.27,0.308,0.311,0.351,0.333,0.322,0.291,0.373,0.284,0.299,0.375,0.384,0.271,0.327,0.249,6
"Mala",0.243,0.245,0.241,0.281,0.253,0.237,0.187,0.235,0.249,0.241,0.306,0.216,0.097,0.274,0.292,0.208,0.151,0.234,6
"Muy mala",0.229,0.257,0.206,0.231,0.243,0.229,0.202,0.17,0.229,0.248,0.159,0.265,0.222,0.149,0.154,0.262,0.189,0.378,6
"No sabe",0.026,0.041,0.014,0.049,0.023,0.012,0.02,0.056,0.021,0.02,0.009,0.029,0.024,0.02,0.042,0.027,0.01,0.032,6
"Positiva",0.193,0.157,0.223,0.169,0.173,0.211,0.24,0.206,0.179,0.2,0.153,0.206,0.358,0.182,0.128,0.232,0.323,0.107,4
"Neutra",0.309,0.3,0.316,0.27,0.308,0.311,0.351,0.333,0.322,0.291,0.373,0.284,0.299,0.375,0.384,0.271,0.327,0.249,4
"Negativa",0.472,0.502,0.447,0.512,0.496,0.466,0.389,0.405,0.478,0.489,0.465,0.481,0.319,0.423,0.446,0.47,0.34,0.612,4
"No sabe",0.026,0.041,0.014,0.049,0.023,0.012,0.02,0.056,0.021,0.02,0.009,0.029,0.024,0.02,0.042,0.027,0.01,0.032,4
"Positiva",0.294,0.255,0.326,0.27,0.26,0.306,0.367,0.356,0.267,0.291,0.284,0.296,0.46,0.309,0.261,0.329,0.45,0.142,2
"Negativa",0.68,0.704,0.66,0.681,0.717,0.681,0.613,0.588,0.712,0.689,0.707,0.675,0.516,0.671,0.697,0.644,0.54,0.826,2
"No sabe",0.026,0.041,0.014,0.049,0.023,0.013,0.02,0.056,0.021,0.02,0.009,0.029,0.024,0.02,0.042,0.027,0.01,0.032,2
