"fecha","t1 Lo votaría","t1 Puede que lo vote","t1 Nunca lo votaría","t1 No sabe","s1 Lo votaría","s1 Puede que lo vote","s1 Nunca lo votaría","s1 No sabe","s2 Lo votaría","s2 Puede que lo vote","s2 Nunca lo votaría","s2 No sabe","e1 Lo votaría","e1 Puede que lo vote","e1 Nunca lo votaría","e1 No sabe","e2 Lo votaría","e2 Puede que lo vote","e2 Nunca lo votaría","e2 No sabe","e3 Lo votaría","e3 Puede que lo vote","e3 Nunca lo votaría","e3 No sabe","e4 Lo votaría","e4 Puede que lo vote","e4 Nunca lo votaría","e4 No sabe","ed1 Lo votaría","ed1 Puede que lo vote","ed1 Nunca lo votaría","ed1 No sabe","ed2 Lo votaría","ed2 Puede que lo vote","ed2 Nunca lo votaría","ed2 No sabe","ed3 Lo votaría","ed3 Puede que lo vote","ed3 Nunca lo votaría","ed3 No sabe","v1 Lo votaría","v1 Puede que lo vote","v1 Nunca lo votaría","v1 No sabe","v2 Lo votaría","v2 Puede que lo vote","v2 Nunca lo votaría","v2 No sabe","v3 Lo votaría","v3 Puede que lo vote","v3 Nunca lo votaría","v3 No sabe","vp1 Lo votaría","vp1 Puede que lo vote","vp1 Nunca lo votaría","vp1 No sabe","vp2 Lo votaría","vp2 Puede que lo vote","vp2 Nunca lo votaría","vp2 No sabe","vp3 Lo votaría","vp3 Puede que lo vote","vp3 Nunca lo votaría","vp3 No sabe","vp4 Lo votaría","vp4 Puede que lo vote","vp4 Nunca lo votaría","vp4 No sabe","vp5 Lo votaría","vp5 Puede que lo vote","vp5 Nunca lo votaría","vp5 No sabe"
2023-05-14,0.125,0.184,0.586,0.105,0.112,0.193,0.608,0.087,0.136,0.177,0.568,0.119,0.137,0.221,0.561,0.081,0.115,0.212,0.547,0.126,0.134,0.139,0.646,0.081,0.119,0.138,0.623,0.12,0.237,0.119,0.566,0.078,0.094,0.181,0.586,0.139,0.109,0.209,0.594,0.088,0.196,0.366,0.331,0.107,0.081,0.064,0.798,0.057,0.156,0.239,0.57,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-15,0.125,0.184,0.586,0.105,0.11,0.192,0.61,0.088,0.137,0.178,0.565,0.12,0.139,0.225,0.553,0.083,0.112,0.212,0.549,0.127,0.134,0.139,0.646,0.081,0.12,0.133,0.626,0.121,0.236,0.123,0.559,0.082,0.095,0.179,0.587,0.139,0.109,0.209,0.594,0.088,0.199,0.369,0.324,0.108,0.078,0.064,0.8,0.058,0.156,0.239,0.571,0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-16,0.119,0.177,0.59,0.114,0.099,0.185,0.617,0.099,0.137,0.17,0.566,0.127,0.166,0.187,0.541,0.106,0.08,0.203,0.58,0.137,0.136,0.148,0.637,0.079,0.115,0.149,0.615,0.121,0.235,0.135,0.542,0.088,0.08,0.18,0.581,0.159,0.109,0.189,0.613,0.089,0.196,0.333,0.344,0.127,0.07,0.071,0.788,0.071,0.113,0.26,0.586,0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-17,0.119,0.173,0.596,0.112,0.102,0.172,0.624,0.102,0.133,0.174,0.572,0.121,0.142,0.146,0.583,0.129,0.104,0.21,0.568,0.118,0.12,0.171,0.633,0.076,0.115,0.144,0.62,0.121,0.208,0.15,0.542,0.1,0.074,0.168,0.611,0.147,0.122,0.185,0.602,0.091,0.193,0.31,0.366,0.131,0.075,0.07,0.784,0.071,0.086,0.273,0.589,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-18,0.122,0.162,0.605,0.111,0.095,0.17,0.637,0.098,0.145,0.156,0.578,0.121,0.154,0.123,0.583,0.14,0.111,0.19,0.591,0.108,0.111,0.17,0.642,0.077,0.115,0.152,0.618,0.115,0.206,0.117,0.586,0.091,0.081,0.16,0.603,0.156,0.124,0.18,0.613,0.083,0.197,0.269,0.399,0.135,0.072,0.072,0.781,0.075,0.143,0.304,0.501,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-19,0.118,0.173,0.614,0.095,0.094,0.169,0.654,0.083,0.139,0.177,0.58,0.104,0.129,0.179,0.594,0.098,0.115,0.191,0.597,0.097,0.114,0.159,0.652,0.075,0.117,0.149,0.628,0.106,0.182,0.138,0.591,0.089,0.09,0.183,0.59,0.137,0.117,0.178,0.641,0.064,0.192,0.275,0.408,0.125,0.072,0.078,0.784,0.066,0.086,0.335,0.537,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-20,0.109,0.188,0.612,0.091,0.097,0.154,0.664,0.085,0.119,0.216,0.569,0.096,0.1,0.206,0.577,0.117,0.102,0.218,0.597,0.083,0.131,0.163,0.64,0.066,0.11,0.138,0.653,0.099,0.134,0.156,0.588,0.122,0.082,0.215,0.581,0.122,0.121,0.178,0.645,0.056,0.2,0.293,0.388,0.119,0.056,0.1,0.787,0.057,0.066,0.35,0.554,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-21,0.112,0.19,0.603,0.095,0.113,0.166,0.629,0.092,0.112,0.211,0.581,0.096,0.111,0.221,0.546,0.122,0.104,0.218,0.592,0.086,0.133,0.176,0.628,0.063,0.108,0.118,0.667,0.107,0.133,0.156,0.592,0.119,0.084,0.207,0.563,0.146,0.127,0.189,0.638,0.046,0.206,0.31,0.354,0.13,0.068,0.095,0.775,0.062,0.076,0.288,0.591,0.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-22,0.11,0.188,0.609,0.093,0.106,0.174,0.635,0.085,0.113,0.2,0.588,0.099,0.113,0.221,0.558,0.108,0.104,0.215,0.588,0.093,0.123,0.175,0.638,0.064,0.104,0.112,0.681,0.103,0.127,0.157,0.581,0.135,0.099,0.198,0.57,0.133,0.112,0.192,0.65,0.046,0.197,0.311,0.362,0.13,0.063,0.097,0.777,0.063,0.072,0.259,0.629,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-23,0.115,0.18,0.624,0.081,0.113,0.156,0.658,0.073,0.116,0.201,0.595,0.088,0.118,0.21,0.581,0.091,0.114,0.205,0.607,0.074,0.109,0.187,0.641,0.063,0.118,0.094,0.689,0.099,0.15,0.135,0.588,0.127,0.102,0.178,0.619,0.101,0.112,0.199,0.64,0.049,0.188,0.308,0.398,0.106,0.063,0.084,0.797,0.056,0.086,0.239,0.645,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
