"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.053,0.052,0.054,0.091,0.054,0.031,0.032,0.136,0.053,0.025,0.088,0.037,0.086,0.101,0.077,0.023,0.031,0.041,6
"Buena",0.059,0.057,0.062,0.059,0.053,0.068,0.063,0.085,0.055,0.054,0.121,0.028,0.024,0.118,0.089,0.026,0.037,0.029,6
"Ni buena ni mala",0.148,0.144,0.152,0.127,0.171,0.129,0.153,0.218,0.121,0.144,0.323,0.057,0.206,0.293,0.292,0.046,0.14,0.022,6
"Mala",0.262,0.248,0.273,0.296,0.239,0.248,0.275,0.227,0.295,0.249,0.28,0.239,0.304,0.27,0.332,0.235,0.21,0.237,6
"Muy mala",0.475,0.496,0.457,0.427,0.482,0.523,0.466,0.332,0.471,0.526,0.186,0.636,0.38,0.216,0.206,0.667,0.582,0.668,6
"No sabe",0.003,0.003,0.002,0,0.001,0.001,0.011,0.002,0.005,0.002,0.002,0.003,0,0.002,0.004,0.003,0,0.003,6
"Positiva",0.112,0.109,0.116,0.15,0.107,0.099,0.095,0.221,0.108,0.079,0.209,0.065,0.11,0.219,0.166,0.049,0.068,0.07,4
"Neutra",0.148,0.144,0.152,0.127,0.171,0.129,0.153,0.218,0.121,0.144,0.323,0.057,0.206,0.293,0.292,0.046,0.14,0.022,4
"Negativa",0.737,0.744,0.73,0.723,0.721,0.771,0.741,0.559,0.766,0.775,0.466,0.875,0.684,0.486,0.538,0.902,0.792,0.905,4
"No sabe",0.003,0.003,0.002,0,0.001,0.001,0.011,0.002,0.005,0.002,0.002,0.003,0,0.002,0.004,0.003,0,0.003,4
"Positiva",0.16,0.159,0.16,0.192,0.148,0.146,0.159,0.314,0.149,0.115,0.338,0.077,0.153,0.331,0.273,0.055,0.068,0.075,2
"Negativa",0.837,0.838,0.837,0.808,0.851,0.853,0.83,0.684,0.846,0.883,0.66,0.92,0.847,0.667,0.723,0.942,0.932,0.922,2
"No sabe",0.003,0.003,0.003,0,0.001,0.001,0.011,0.002,0.005,0.002,0.002,0.003,0,0.002,0.004,0.003,0,0.003,2
