"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.144,0.129,0.157,0.174,0.156,0.096,0.141,0.228,0.147,0.113,0.323,0.061,0.162,0.346,0.154,0.044,0.089,0.029,6
"Buena",0.134,0.141,0.127,0.136,0.155,0.126,0.101,0.145,0.127,0.134,0.299,0.063,0.118,0.269,0.363,0.03,0.048,0.033,6
"Ni buena ni mala",0.128,0.126,0.129,0.115,0.143,0.118,0.126,0.143,0.126,0.123,0.177,0.078,0.283,0.148,0.208,0.088,0.22,0.05,6
"Mala",0.169,0.154,0.181,0.191,0.138,0.191,0.176,0.178,0.173,0.164,0.079,0.211,0.082,0.082,0.101,0.228,0.138,0.21,6
"Muy mala",0.419,0.444,0.399,0.377,0.404,0.466,0.443,0.304,0.416,0.461,0.119,0.579,0.355,0.154,0.16,0.598,0.505,0.678,6
"No sabe",0.006,0.006,0.007,0.007,0.004,0.003,0.013,0.002,0.011,0.005,0.003,0.008,0,0.001,0.014,0.012,0,0,6
"Positiva",0.278,0.27,0.284,0.31,0.311,0.222,0.242,0.373,0.274,0.247,0.622,0.124,0.28,0.615,0.517,0.074,0.137,0.062,4
"Neutra",0.128,0.126,0.129,0.115,0.143,0.118,0.126,0.143,0.126,0.123,0.177,0.078,0.283,0.148,0.208,0.088,0.22,0.05,4
"Negativa",0.588,0.598,0.58,0.568,0.542,0.657,0.619,0.482,0.589,0.625,0.198,0.79,0.437,0.236,0.261,0.826,0.643,0.888,4
"No sabe",0.006,0.006,0.007,0.007,0.004,0.003,0.013,0.002,0.011,0.005,0.003,0.008,0,0.001,0.014,0.012,0,0,4
"Positiva",0.354,0.348,0.359,0.385,0.406,0.293,0.293,0.444,0.344,0.33,0.77,0.152,0.443,0.738,0.687,0.101,0.223,0.066,2
"Negativa",0.64,0.646,0.634,0.608,0.59,0.703,0.694,0.554,0.645,0.665,0.227,0.84,0.557,0.261,0.299,0.887,0.777,0.934,2
"No sabe",0.006,0.006,0.007,0.007,0.004,0.004,0.013,0.002,0.011,0.005,0.003,0.008,0,0.001,0.014,0.012,0,0,2
