"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","opciones"
"Muy buena",0.182,0.167,0.194,0.158,0.203,0.171,0.185,0.198,0.17,0.185,0.421,0.069,0.17,0.387,0.374,0.046,0.15,0.03,6
"Buena",0.154,0.159,0.15,0.146,0.146,0.179,0.151,0.153,0.14,0.165,0.25,0.105,0.207,0.225,0.287,0.094,0.148,0.057,6
"Ni buena ni mala",0.246,0.233,0.256,0.209,0.241,0.236,0.305,0.23,0.276,0.23,0.17,0.272,0.269,0.156,0.183,0.327,0.373,0.224,6
"Mala",0.152,0.156,0.149,0.157,0.133,0.158,0.174,0.176,0.165,0.134,0.074,0.196,0.163,0.111,0.05,0.189,0.079,0.227,6
"Muy mala",0.237,0.253,0.224,0.277,0.255,0.23,0.166,0.186,0.228,0.261,0.073,0.321,0.179,0.099,0.071,0.313,0.229,0.433,6
"No sabe",0.029,0.032,0.027,0.053,0.022,0.026,0.019,0.057,0.021,0.025,0.012,0.037,0.012,0.022,0.035,0.031,0.021,0.029,6
"Positiva",0.336,0.326,0.344,0.304,0.349,0.35,0.336,0.351,0.31,0.35,0.671,0.174,0.377,0.612,0.661,0.14,0.298,0.087,4
"Neutra",0.246,0.233,0.256,0.209,0.241,0.236,0.305,0.23,0.276,0.23,0.17,0.272,0.269,0.156,0.183,0.327,0.373,0.224,4
"Negativa",0.389,0.409,0.373,0.434,0.388,0.388,0.34,0.362,0.393,0.395,0.147,0.517,0.342,0.21,0.121,0.502,0.308,0.66,4
"No sabe",0.029,0.032,0.027,0.053,0.022,0.026,0.019,0.057,0.021,0.025,0.012,0.037,0.012,0.022,0.035,0.031,0.021,0.029,4
"Positiva",0.419,0.396,0.438,0.363,0.463,0.42,0.405,0.46,0.393,0.424,0.796,0.23,0.443,0.727,0.77,0.213,0.401,0.099,2
"Negativa",0.552,0.572,0.535,0.585,0.515,0.555,0.576,0.483,0.586,0.551,0.192,0.733,0.545,0.251,0.195,0.755,0.578,0.872,2
"No sabe",0.029,0.032,0.027,0.052,0.022,0.025,0.019,0.057,0.021,0.025,0.012,0.037,0.012,0.022,0.035,0.032,0.021,0.029,2
