"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Patricia Bullrich","Muy buena",0.238,0.207,0.264,0.189,0.201,0.302,0.291,0.248,0.209,0.256,0.075,0.356,0.079,0.157,0.052,0.439,0.107,0.179
"Patricia Bullrich","Buena",0.219,0.231,0.21,0.189,0.213,0.235,0.247,0.194,0.248,0.207,0.066,0.318,0.051,0.058,0.127,0.342,0.27,0.334
"Patricia Bullrich","Ni buena ni mala",0.152,0.162,0.143,0.178,0.139,0.119,0.18,0.146,0.157,0.15,0.088,0.164,0.411,0.068,0.095,0.15,0.287,0.277
"Patricia Bullrich","Mala",0.147,0.172,0.127,0.191,0.145,0.121,0.131,0.206,0.152,0.124,0.247,0.084,0.211,0.244,0.203,0.041,0.173,0.088
"Patricia Bullrich","Muy mala",0.238,0.223,0.25,0.248,0.297,0.217,0.145,0.195,0.229,0.259,0.52,0.075,0.212,0.462,0.523,0.024,0.163,0.122
"Patricia Bullrich","No sabe",0.006,0.005,0.006,0.005,0.005,0.006,0.006,0.011,0.005,0.004,0.004,0.003,0.036,0.011,0,0.004,0,0
"Javier Milei","Muy buena",0.208,0.256,0.169,0.319,0.211,0.171,0.118,0.272,0.196,0.196,0.089,0.262,0.288,0.134,0.101,0.152,0.087,0.613
"Javier Milei","Buena",0.177,0.169,0.184,0.159,0.17,0.184,0.203,0.134,0.19,0.183,0.058,0.245,0.127,0.079,0.141,0.3,0.208,0.143
"Javier Milei","Ni buena ni mala",0.203,0.174,0.226,0.144,0.153,0.279,0.277,0.17,0.216,0.204,0.124,0.253,0.181,0.082,0.125,0.36,0.317,0.095
"Javier Milei","Mala",0.129,0.143,0.117,0.12,0.126,0.129,0.142,0.166,0.132,0.113,0.21,0.089,0.213,0.213,0.177,0.082,0.096,0.037
"Javier Milei","Muy mala",0.275,0.251,0.295,0.258,0.33,0.232,0.244,0.242,0.259,0.298,0.514,0.144,0.167,0.484,0.456,0.098,0.273,0.108
"Javier Milei","No sabe",0.008,0.007,0.009,0,0.01,0.005,0.016,0.016,0.007,0.006,0.005,0.007,0.024,0.008,0,0.008,0.019,0.004
"Leandro Santoro","Muy buena",0.182,0.167,0.194,0.158,0.203,0.171,0.185,0.198,0.17,0.185,0.421,0.069,0.17,0.387,0.374,0.046,0.15,0.03
"Leandro Santoro","Buena",0.154,0.159,0.15,0.146,0.146,0.179,0.151,0.153,0.14,0.165,0.25,0.105,0.207,0.225,0.287,0.094,0.148,0.057
"Leandro Santoro","Ni buena ni mala",0.246,0.233,0.256,0.209,0.241,0.236,0.305,0.23,0.276,0.23,0.17,0.272,0.269,0.156,0.183,0.327,0.373,0.224
"Leandro Santoro","Mala",0.152,0.156,0.149,0.157,0.133,0.158,0.174,0.176,0.165,0.134,0.074,0.196,0.163,0.111,0.05,0.189,0.079,0.227
"Leandro Santoro","Muy mala",0.237,0.253,0.224,0.277,0.255,0.23,0.166,0.186,0.228,0.261,0.073,0.321,0.179,0.099,0.071,0.313,0.229,0.433
"Leandro Santoro","No sabe",0.029,0.032,0.027,0.053,0.022,0.026,0.019,0.057,0.021,0.025,0.012,0.037,0.012,0.022,0.035,0.031,0.021,0.029
"Mauricio Macri","Muy buena",0.196,0.17,0.216,0.148,0.162,0.251,0.248,0.173,0.189,0.208,0.037,0.319,0.02,0.11,0.036,0.343,0.161,0.185
"Mauricio Macri","Buena",0.176,0.186,0.169,0.17,0.153,0.199,0.2,0.14,0.173,0.191,0.043,0.26,0.094,0.065,0.03,0.298,0.182,0.226
"Mauricio Macri","Ni buena ni mala",0.177,0.18,0.175,0.195,0.178,0.136,0.202,0.175,0.195,0.165,0.121,0.198,0.268,0.108,0.121,0.195,0.259,0.286
"Mauricio Macri","Mala",0.187,0.191,0.183,0.208,0.184,0.178,0.176,0.262,0.201,0.151,0.3,0.103,0.37,0.262,0.315,0.093,0.16,0.13
"Mauricio Macri","Muy mala",0.26,0.271,0.252,0.279,0.321,0.233,0.162,0.243,0.237,0.283,0.494,0.117,0.239,0.452,0.487,0.068,0.233,0.173
"Mauricio Macri","No sabe",0.004,0.002,0.005,0,0.002,0.003,0.012,0.007,0.005,0.002,0.005,0.003,0.009,0.003,0.011,0.003,0.005,0
"Maria Eugenia Vidal","Muy buena",0.13,0.101,0.153,0.09,0.119,0.163,0.157,0.171,0.127,0.118,0.037,0.193,0.102,0.079,0.071,0.208,0.202,0.09
