"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Patricia Bullrich","Positiva",0.572,0.559,0.583,0.511,0.528,0.621,0.667,0.518,0.58,0.585,0.181,0.815,0.411,0.239,0.254,0.905,0.546,0.769
"Patricia Bullrich","Negativa",0.422,0.436,0.411,0.484,0.467,0.373,0.327,0.471,0.415,0.411,0.815,0.182,0.554,0.75,0.746,0.092,0.454,0.231
"Patricia Bullrich","No sabe",0.006,0.005,0.006,0.005,0.005,0.006,0.006,0.011,0.005,0.004,0.004,0.003,0.035,0.011,0,0.003,0,0
"Javier Milei","Positiva",0.531,0.554,0.512,0.562,0.482,0.582,0.527,0.502,0.537,0.537,0.196,0.713,0.496,0.235,0.293,0.747,0.476,0.851
"Javier Milei","Negativa",0.461,0.439,0.479,0.438,0.508,0.413,0.457,0.483,0.456,0.457,0.799,0.28,0.479,0.757,0.707,0.245,0.505,0.145
"Javier Milei","No sabe",0.008,0.007,0.009,0,0.01,0.005,0.016,0.015,0.007,0.006,0.005,0.007,0.025,0.008,0,0.008,0.019,0.004
"Mauricio Macri","Positiva",0.487,0.478,0.494,0.443,0.423,0.559,0.571,0.39,0.479,0.525,0.125,0.732,0.154,0.214,0.105,0.796,0.517,0.61
"Mauricio Macri","Negativa",0.509,0.52,0.501,0.557,0.575,0.438,0.417,0.603,0.516,0.473,0.87,0.265,0.837,0.783,0.884,0.201,0.478,0.39
"Mauricio Macri","No sabe",0.004,0.002,0.005,0,0.002,0.003,0.012,0.007,0.005,0.002,0.005,0.003,0.009,0.003,0.011,0.003,0.005,0
"Maria Eugenia Vidal","Positiva",0.428,0.382,0.466,0.306,0.37,0.526,0.564,0.395,0.425,0.441,0.109,0.624,0.321,0.18,0.148,0.734,0.599,0.401
"Maria Eugenia Vidal","Negativa",0.559,0.6,0.525,0.663,0.625,0.467,0.424,0.588,0.553,0.554,0.885,0.362,0.679,0.804,0.824,0.262,0.382,0.582
"Maria Eugenia Vidal","No sabe",0.013,0.018,0.009,0.031,0.005,0.007,0.012,0.017,0.022,0.005,0.006,0.014,0,0.016,0.028,0.004,0.019,0.017
"Leandro Santoro","Positiva",0.419,0.396,0.438,0.363,0.463,0.42,0.405,0.46,0.393,0.424,0.796,0.23,0.443,0.727,0.77,0.213,0.401,0.099
"Leandro Santoro","Negativa",0.552,0.572,0.535,0.585,0.515,0.555,0.576,0.483,0.586,0.551,0.192,0.733,0.545,0.251,0.195,0.755,0.578,0.872
"Leandro Santoro","No sabe",0.029,0.032,0.027,0.052,0.022,0.025,0.019,0.057,0.021,0.025,0.012,0.037,0.012,0.022,0.035,0.032,0.021,0.029
"Horacio Rodriguez Larreta","Positiva",0.396,0.366,0.42,0.293,0.366,0.477,0.477,0.436,0.371,0.399,0.236,0.507,0.397,0.275,0.235,0.571,0.753,0.248
"Horacio Rodriguez Larreta","Negativa",0.598,0.631,0.572,0.702,0.631,0.519,0.509,0.542,0.629,0.596,0.757,0.488,0.603,0.718,0.754,0.427,0.247,0.742
"Horacio Rodriguez Larreta","No sabe",0.006,0.003,0.008,0.005,0.003,0.004,0.014,0.022,0,0.005,0.007,0.005,0,0.007,0.011,0.002,0,0.01
"Wado de Pedro","Positiva",0.369,0.318,0.412,0.372,0.417,0.312,0.344,0.406,0.361,0.363,0.739,0.185,0.369,0.686,0.696,0.147,0.264,0.137
"Wado de Pedro","Negativa",0.583,0.621,0.551,0.545,0.548,0.644,0.622,0.547,0.576,0.6,0.257,0.75,0.575,0.298,0.26,0.779,0.719,0.815
"Wado de Pedro","No sabe",0.048,0.061,0.037,0.083,0.035,0.044,0.034,0.047,0.063,0.037,0.004,0.065,0.056,0.016,0.044,0.074,0.017,0.048
"Sergio Massa","Positiva",0.354,0.348,0.359,0.385,0.406,0.293,0.293,0.444,0.344,0.33,0.77,0.152,0.443,0.738,0.687,0.101,0.223,0.066
"Sergio Massa","Negativa",0.64,0.646,0.634,0.608,0.59,0.703,0.694,0.554,0.645,0.665,0.227,0.84,0.557,0.261,0.299,0.887,0.777,0.934
"Sergio Massa","No sabe",0.006,0.006,0.007,0.007,0.004,0.004,0.013,0.002,0.011,0.005,0.003,0.008,0,0.001,0.014,0.012,0,0
"Axel Kicillof","Positiva",0.346,0.33,0.359,0.355,0.411,0.282,0.289,0.414,0.332,0.333,0.764,0.138,0.357,0.71,0.711,0.107,0.176,0.064
"Axel Kicillof","Negativa",0.641,0.66,0.626,0.628,0.578,0.713,0.689,0.563,0.663,0.651,0.234,0.847,0.633,0.284,0.281,0.879,0.792,0.928
"Axel Kicillof","No sabe",0.013,0.01,0.015,0.017,0.011,0.005,0.022,0.023,0.005,0.016,0.002,0.015,0.01,0.006,0.008,0.014,0.032,0.008
"CFK","Positiva",0.333,0.314,0.348,0.35,0.404,0.262,0.265,0.408,0.336,0.305,0.789,0.119,0.247,0.709,0.782,0.081,0.096,0.063
"CFK","Negativa",0.662,0.68,0.648,0.643,0.595,0.732,0.726,0.59,0.662,0.687,0.208,0.875,0.753,0.286,0.218,0.911,0.898,0.937
"CFK","No sabe",0.005,0.006,0.004,0.007,0.001,0.006,0.009,0.002,0.002,0.008,0.003,0.006,0,0.005,0,0.008,0.006,0
"Malena Galmarini","Positiva",0.295,0.284,0.304,0.285,0.332,0.274,0.263,0.347,0.288,0.282,0.668,0.117,0.249,0.634,0.637,0.07,0.129,0.063
"Malena Galmarini","Negativa",0.656,0.65,0.66,0.611,0.626,0.708,0.703,0.582,0.66,0.678,0.313,0.832,0.685,0.337,0.297,0.885,0.837,0.88
"Malena Galmarini","No sabe",0.049,0.066,0.036,0.104,0.042,0.018,0.034,0.071,0.052,0.04,0.019,0.051,0.066,0.029,0.066,0.045,0.034,0.057
"Martin Lousteau","Positiva",0.294,0.255,0.326,0.27,0.26,0.306,0.367,0.356,0.267,0.291,0.284,0.296,0.46,0.309,0.261,0.329,0.45,0.142
"Martin Lousteau","Negativa",0.68,0.704,0.66,0.681,0.717,0.681,0.613,0.588,0.712,0.689,0.707,0.675,0.516,0.671,0.697,0.644,0.54,0.826
"Martin Lousteau","No sabe",0.026,0.041,0.014,0.049,0.023,0.013,0.02,0.056,0.021,0.02,0.009,0.029,0.024,0.02,0.042,0.027,0.01,0.032
"Alberto Fernandez","Positiva",0.16,0.159,0.16,0.192,0.148,0.146,0.159,0.314,0.149,0.115,0.338,0.077,0.153,0.331,0.273,0.055,0.068,0.075
