"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.36,0.353,0.366,0.392,0.433,0.296,0.263,0.36,0.385,0.342,0.732,0.157,0.466,0.74,0.595,0.109,0.23,0.074
"La Libertad Avanza",0.539,0.556,0.525,0.499,0.489,0.614,0.597,0.508,0.504,0.576,0.211,0.743,0.389,0.181,0.294,0.797,0.595,0.876
"En blanco",0.101,0.091,0.109,0.109,0.078,0.09,0.14,0.132,0.111,0.082,0.057,0.1,0.145,0.079,0.111,0.094,0.175,0.05
