"fecha","t1 Positiva","t1 Neutra","t1 Negativa","t1 No sabe","s1 Positiva","s1 Neutra","s1 Negativa","s1 No sabe","s2 Positiva","s2 Neutra","s2 Negativa","s2 No sabe","e1 Positiva","e1 Neutra","e1 Negativa","e1 No sabe","e2 Positiva","e2 Neutra","e2 Negativa","e2 No sabe","e3 Positiva","e3 Neutra","e3 Negativa","e3 No sabe","e4 Positiva","e4 Neutra","e4 Negativa","e4 No sabe","ed1 Positiva","ed1 Neutra","ed1 Negativa","ed1 No sabe","ed2 Positiva","ed2 Neutra","ed2 Negativa","ed2 No sabe","ed3 Positiva","ed3 Neutra","ed3 Negativa","ed3 No sabe","v1 Positiva","v1 Neutra","v1 Negativa","v1 No sabe","v2 Positiva","v2 Neutra","v2 Negativa","v2 No sabe","v3 Positiva","v3 Neutra","v3 Negativa","v3 No sabe","vp1 Positiva","vp1 Neutra","vp1 Negativa","vp1 No sabe","vp2 Positiva","vp2 Neutra","vp2 Negativa","vp2 No sabe","vp3 Positiva","vp3 Neutra","vp3 Negativa","vp3 No sabe","vp4 Positiva","vp4 Neutra","vp4 Negativa","vp4 No sabe","vp5 Positiva","vp5 Neutra","vp5 Negativa","vp5 No sabe"
2019-11-07,0.28,0.12,0.591,0.009,0.246,0.168,0.573,0.013,0.308,0.08,0.607,0.005,0.341,0.214,0.445,0,0.325,0.109,0.566,0,0.303,0.065,0.632,0,0.099,0.075,0.782,0.044,0.34,0.182,0.456,0.022,0.266,0.158,0.576,0,0.27,0.069,0.651,0.01,0.692,0.183,0.125,0,0.011,0.009,0.966,0.014,0.092,0.214,0.657,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-08,0.288,0.124,0.58,0.008,0.247,0.164,0.577,0.012,0.323,0.091,0.582,0.004,0.378,0.215,0.407,0,0.334,0.111,0.555,0,0.288,0.065,0.647,0,0.092,0.091,0.777,0.04,0.364,0.199,0.416,0.021,0.296,0.157,0.547,0,0.255,0.072,0.663,0.01,0.71,0.177,0.113,0,0.01,0.01,0.967,0.013,0.083,0.202,0.683,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-09,0.307,0.13,0.553,0.01,0.255,0.163,0.567,0.015,0.351,0.103,0.541,0.005,0.424,0.208,0.368,0,0.327,0.13,0.543,0,0.328,0.097,0.575,0,0.104,0.068,0.779,0.049,0.393,0.179,0.398,0.03,0.316,0.182,0.502,0,0.273,0.073,0.644,0.01,0.685,0.194,0.121,0,0.005,0.013,0.964,0.018,0.163,0.041,0.752,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-10,0.353,0.112,0.518,0.017,0.308,0.118,0.569,0.005,0.39,0.108,0.475,0.027,0.493,0.111,0.37,0.026,0.391,0.122,0.471,0.016,0.306,0.112,0.582,0,0.162,0.099,0.714,0.025,0.445,0.164,0.391,0,0.323,0.157,0.504,0.016,0.345,0.061,0.571,0.023,0.743,0.152,0.105,0,0,0.022,0.962,0.016,0.09,0.031,0.843,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-11,0.362,0.093,0.522,0.023,0.289,0.108,0.577,0.026,0.422,0.08,0.477,0.021,0.535,0.077,0.326,0.062,0.409,0.093,0.482,0.016,0.287,0.098,0.615,0,0.144,0.106,0.739,0.011,0.417,0.111,0.412,0.06,0.358,0.124,0.503,0.015,0.347,0.063,0.574,0.016,0.778,0.118,0.104,0,0,0.013,0.948,0.039,0.048,0.055,0.897,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-12,0.378,0.1,0.502,0.02,0.287,0.127,0.566,0.02,0.451,0.078,0.45,0.021,0.588,0.084,0.27,0.058,0.391,0.108,0.484,0.017,0.29,0.115,0.595,0,0.179,0.091,0.73,0,0.42,0.131,0.393,0.056,0.382,0.099,0.503,0.016,0.359,0.09,0.539,0.012,0.768,0.117,0.115,0,0,0.013,0.953,0.034,0.055,0.149,0.796,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-13,0.357,0.122,0.503,0.018,0.278,0.154,0.552,0.016,0.424,0.096,0.461,0.019,0.492,0.14,0.322,0.046,0.385,0.121,0.476,0.018,0.324,0.123,0.553,0,0.173,0.101,0.726,0,0.403,0.163,0.391,0.043,0.347,0.126,0.51,0.017,0.349,0.105,0.537,0.009,0.761,0.147,0.092,0,0,0.036,0.936,0.028,0.075,0.175,0.75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-14,0.358,0.117,0.507,0.018,0.268,0.148,0.569,0.015,0.434,0.09,0.455,0.021,0.468,0.141,0.347,0.044,0.414,0.107,0.458,0.021,0.314,0.135,0.551,0,0.171,0.085,0.744,0,0.377,0.159,0.424,0.04,0.346,0.135,0.498,0.021,0.361,0.089,0.541,0.009,0.777,0.155,0.068,0,0.017,0.032,0.924,0.027,0.079,0.184,0.737,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-15,0.348,0.113,0.52,0.019,0.282,0.14,0.564,0.014,0.403,0.091,0.482,0.024,0.435,0.147,0.378,0.04,0.411,0.104,0.458,0.027,0.291,0.138,0.571,0,0.186,0.061,0.753,0,0.341,0.127,0.495,0.037,0.331,0.131,0.517,0.021,0.363,0.095,0.53,0.012,0.775,0.158,0.067,0,0.016,0.034,0.921,0.029,0.074,0.158,0.768,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-16,0.372,0.098,0.513,0.017,0.315,0.12,0.552,0.013,0.419,0.08,0.479,0.022,0.477,0.132,0.354,0.037,0.437,0.079,0.46,0.024,0.301,0.127,0.572,0,0.198,0.059,0.743,0,0.362,0.109,0.495,0.034,0.4,0.104,0.477,0.019,0.353,0.09,0.547,0.01,0.809,0.13,0.061,0,0.015,0.032,0.925,0.028,0,0.15,0.85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
