"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.4,0.388,0.411,0.44,0.47,0.325,0.306,0.415,0.433,0.373,0.776,0.174,0.545,0.803,0.669,0.12,0.279,0.078
"La Libertad Avanza",0.6,0.612,0.589,0.56,0.53,0.675,0.694,0.585,0.567,0.627,0.224,0.826,0.455,0.197,0.331,0.88,0.721,0.922
