"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.463,0.402,0.49,0.519,0.42
"P04","Realizo changas o trabajos de vez en cuando",0.18,0.139,0.241,0.19,0.157
"P04","No tengo trabajo",0.167,0.154,0.177,0.172,0.167
"P04","Soy jubilado o pensionado",0.19,0.305,0.092,0.119,0.256
"P05","1",0.201,0.349,0.379,0.233,0.287
"P05","2",0.062,0.077,0.104,0.037,0.058
"P05","3",0.023,0.071,0.102,0.021,0.048
"P05","4",0.033,0.126,0.083,0.043,0.079
"P05","5",0.166,0.21,0.171,0.12,0.218
"P05","6",0.072,0.048,0.025,0.031,0.06
"P05","7",0.13,0.035,0.023,0.121,0.067
"P05","8",0.078,0.014,0.02,0.142,0.045
"P05","9",0.235,0.07,0.093,0.252,0.138
"P06","1",0.423,0.189,0.106,0.338,0.322
"P06","2",0.08,0.037,0.033,0.13,0.039
"P06","3",0.06,0.035,0.047,0.063,0.059
"P06","4",0.059,0.051,0.039,0.023,0.052
"P06","5",0.157,0.21,0.172,0.221,0.226
"P06","6",0.019,0.065,0.059,0.025,0.029
"P06","7",0.038,0.076,0.08,0.013,0.061
"P06","8",0.022,0.081,0.091,0.033,0.041
"P06","9",0.142,0.256,0.373,0.154,0.171
"P07","1",0.558,0.244,0.219,0.634,0.379
"P07","2",0.041,0.029,0.021,0.043,0.017
"P07","3",0.042,0.045,0.046,0.047,0.023
"P07","4",0.028,0.035,0.01,0.012,0.026
"P07","5",0.063,0.143,0.138,0.078,0.134
"P07","6",0.026,0.025,0.037,0.025,0.023
"P07","7",0.004,0.045,0.053,0.013,0.025
"P07","8",0.014,0.045,0.065,0.014,0.029
"P07","9",0.224,0.389,0.411,0.134,0.344
"P09","Del Frente de Todos y el peronismo",0.866,0.053,0.048,0.426,0.33
"P09","De Juntos por el cambio",0.066,0.782,0.223,0.115,0.26
"P09","De los Liberales libertarios",0.005,0.061,0.639,0.051,0.064
"P09","De la Izquierda",0.005,0.008,0.013,0.357,0.026
"P09","No sabe",0.058,0.096,0.077,0.051,0.32
"P10","A Alberto Fernández",0.139,0.121,0.045,0.012,0.121
"P10","A Sergio Massa",0.236,0.249,0.294,0.119,0.189
"P10","A algún candidato del peronismo",0.133,0.417,0.483,0.251,0.229
"P10","A algún candidato del kirchnerismo",0.492,0.213,0.178,0.618,0.461
"P11","A Alberto Fernández",0.136,0.057,0.021,0,0.021
"P11","A Sergio Massa",0.119,0.203,0.559,0.024,0.138
"P11","A algún candidato del peronismo",0.106,0.371,0.243,0.133,0.117
"P11","A Cristina Fernández de Kirchner",0.639,0.369,0.177,0.843,0.724
"P12","A Horacio Rodriguez Larreta",0.415,0.385,0.122,0.348,0.071
"P12","A Patricia Bullrich",0.276,0.52,0.864,0.445,0.791
"P12","A Facundo Manes",0.152,0.055,0.011,0.171,0.037
"P12","A Gerardo Morales",0.157,0.04,0.003,0.036,0.101
"P13","Lo votaría",0.3,0.064,0.033,0.128,0.114
"P13","Puede que lo vote",0.416,0.096,0.095,0.216,0.238
"P13","Nunca lo votaría",0.143,0.805,0.812,0.499,0.467
"P13","No sabe",0.141,0.035,0.06,0.157,0.181
"P14","Lo votaría",0.311,0.011,0.011,0.056,0.036
"P14","Puede que lo vote",0.422,0.033,0.038,0.189,0.089
"P14","Nunca lo votaría",0.139,0.941,0.922,0.678,0.701
"P14","No sabe",0.128,0.015,0.029,0.077,0.174
"P15","Lo votaría",0.057,0.387,0.041,0.032,0.037
"P15","Puede que lo vote",0.107,0.429,0.257,0.11,0.181
"P15","Nunca lo votaría",0.797,0.149,0.654,0.801,0.663
"P15","No sabe",0.039,0.035,0.048,0.057,0.119
"P16","Lo votaría",0.034,0.164,0.062,0.064,0.049
"P16","Puede que lo vote",0.125,0.346,0.193,0.175,0.204
"P16","Nunca lo votaría",0.691,0.36,0.654,0.64,0.606
"P16","No sabe",0.15,0.13,0.091,0.121,0.141
"P17","La votaría",0.048,0.52,0.347,0.082,0.243
"P17","Puede que la vote",0.03,0.229,0.281,0.086,0.086
"P17","Nunca la votaría",0.867,0.229,0.319,0.794,0.56
"P17","No sabe",0.055,0.022,0.053,0.038,0.111
"P18","Lo votaría",0.016,0.11,0.642,0.076,0.071
"P18","Puede que lo vote",0.044,0.282,0.272,0.109,0.129
"P18","Nunca lo votaría",0.905,0.55,0.065,0.797,0.683
"P18","No sabe",0.035,0.058,0.021,0.018,0.117
"P19","La votaría",0.057,0.254,0.14,0.038,0.083
"P19","Puede que la vote",0.045,0.351,0.274,0.115,0.144
"P19","Nunca la votaría",0.857,0.355,0.526,0.804,0.645
"P19","No sabe",0.041,0.04,0.06,0.043,0.128
"P20","Lo votaría",0.317,0.055,0.027,0.191,0.138
"P20","Puede que lo vote",0.309,0.076,0.062,0.274,0.159
"P20","Nunca lo votaría",0.281,0.792,0.833,0.432,0.559
"P20","No sabe",0.093,0.077,0.078,0.103,0.144
"P21","Lo votaría",0.326,0.024,0.042,0.043,0.108
"P21","Puede que lo vote",0.402,0.061,0.045,0.381,0.19
"P21","Nunca lo votaría",0.18,0.894,0.886,0.457,0.578
"P21","No sabe",0.092,0.021,0.027,0.119,0.124
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.281,0.006,0.021,0.012
"P22","Patricia Bullrich por Juntos por el Cambio",0.026,0.506,0.278,0.063,0.274
"P22","Facundo Manes por Juntos por el Cambio",0.02,0.107,0.023,0.053,0.058
"P22","Alberto Fernández por el Frente de Todos",0.189,0.003,0.008,0.043,0.024
"P22","Sergio Massa por el Frente de Todos",0.199,0.03,0.019,0.048,0.108
"P22","Wado de Pedro por el Frente de Todos",0.314,0.022,0.013,0.25,0.154
"P22","Daniel Scioli por el Frente de Todos",0.189,0.007,0.015,0.086,0.098
"P22","Javier Milei por los liberales libertarios",0.001,0.025,0.608,0.067,0.049
"P22","Al candidato del Frente de Izquierda",0.003,0,0,0.312,0.004
"P22","No sabe",0.044,0.019,0.03,0.057,0.219
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.263,0.01,0.013,0.024
"P23","Patricia Bullrich por Juntos por el Cambio",0.028,0.425,0.254,0.065,0.279
"P23","María Eugenia Vidal por Juntos por el Cambio",0.037,0.159,0.024,0.03,0.019
"P23","Facundo Manes por Juntos por el Cambio",0.015,0.075,0.016,0.057,0.057
"P23","Sergio Massa por el Frente de Todos",0.272,0.027,0.021,0.083,0.114
"P23","Wado de Pedro por el Frente de Todos",0.32,0.017,0.016,0.254,0.159
"P23","Daniel Scioli por el Frente de Todos",0.232,0.006,0.009,0.071,0.099
"P23","Javier Milei por los liberales libertarios",0,0.017,0.642,0.053,0.042
"P23","Al candidato del Frente de Izquierda",0.014,0.001,0.004,0.315,0
"P23","No sabe",0.068,0.01,0.004,0.059,0.207
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.256,0.016,0.013,0.018
"P24","Patricia Bullrich por Juntos por el Cambio",0.033,0.437,0.261,0.059,0.299
"P24","María Eugenia Vidal por Juntos por el Cambio",0.029,0.147,0.025,0.037,0.019
"P24","Facundo Manes por Juntos por el Cambio",0.01,0.09,0.017,0.062,0.064
"P24","Sergio Massa por el Frente de Todos",0.28,0.023,0.007,0.09,0.126
"P24","Wado de Pedro por el Frente de Todos",0.351,0.018,0.014,0.27,0.187
"P24","Alberto Fernández por el Frente de Todos",0.23,0.005,0.027,0.012,0.035
"P24","Javier Milei por los liberales libertarios",0.004,0.019,0.617,0.053,0.043
"P24","Al candidato del Frente de Izquierda",0.008,0,0,0.301,0.003
"P24","No sabe",0.051,0.005,0.016,0.103,0.206
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.277,0.012,0.038,0.029
"P25","Patricia Bullrich por Juntos por el Cambio",0.026,0.4,0.225,0.08,0.231
"P25","Facundo Manes por Juntos por el Cambio",0.017,0.162,0.062,0.052,0.107
"P25","Sergio Massa por el Frente de Todos",0.237,0.034,0.016,0.054,0.106
"P25","Wado de Pedro por el Frente de Todos",0.349,0.022,0.023,0.207,0.16
"P25","Daniel Scioli por el Frente de Todos",0.263,0.008,0.019,0.161,0.118
"P25","Javier Milei por los liberales libertario",0.026,0.087,0.317,0.013,0.035
"P25","Al candidato del Frente de Izquierda",0.006,0,0.319,0.222,0.032
"P25","No sabe",0.057,0.01,0.007,0.173,0.182
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.353,0.029,0.038,0.033
"P26","Patricia Bulrich por Juntos por el Cambio",0.055,0.497,0.254,0.061,0.295
"P26","Alberto Fernández por el Frente de Todos",0.312,0.012,0.009,0.012,0.022
"P26","Sergio Massa por el Frente de Todos",0.482,0.047,0.031,0.191,0.173
"P26","Javier Milei por los liberales libertarios",0.023,0.048,0.605,0.058,0.085
"P26","Al candidato del Frente de Izquierda",0.034,0.019,0.008,0.557,0.02
"P26","No sabe",0.077,0.024,0.064,0.083,0.372
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.388,0.007,0.057,0.015
"P27","Patricia Bullrich por Juntos por el Cambio",0.031,0.502,0.263,0.062,0.294
"P27","Wado de Pedro por el Frente de Todos",0.399,0.016,0.015,0.231,0.142
"P27","Sergio Massa por el Frente de Todos",0.413,0.036,0.022,0.122,0.14
"P27","Javier Milei por los liberales libertarios",0.015,0.031,0.672,0.046,0.078
"P27","Al candidato del Frente de Izquierda",0.027,0.004,0.006,0.422,0.011
"P27","No sabe",0.086,0.023,0.015,0.06,0.32
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.394,0.019,0.036,0.02
"P28","Patricia Bullrich por Juntos por el Cambio",0.036,0.519,0.251,0.062,0.288
"P28","Wado de Pedro por el Frente de Todos",0.417,0.029,0.01,0.235,0.158
"P28","Daniel Scioli por el Frente de Todos",0.353,0.011,0.019,0.133,0.132
"P28","Javier Milei por los liberales libertarios",0.023,0.026,0.689,0.05,0.072
"P28","Al candidato del Frente de Izquierda",0.025,0.003,0.005,0.422,0.012
"P28","No sabe",0.103,0.018,0.007,0.062,0.318
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.02,0.424,0.064,0.043,0.05
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.041,0.46,0.206,0.077,0.229
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.341,0.042,0.019,0.105,0.122
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.469,0.019,0.012,0.25,0.179
"P29","Javier Milei presidente y su candidato a vice",0.021,0.015,0.683,0.051,0.075
"P29","A los candidatos de la izquierda",0.02,0.001,0.002,0.431,0.01
"P29","No sabe",0.088,0.039,0.014,0.043,0.335
"P31","Sergio Massa por el Frente de Todos",0.795,0.041,0.023,0.19,0.181
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.904,0.022,0.033,0.064
"P31","Javier Milei por los liberales libertarios",0.008,0.033,0.922,0.056,0.055
"P31","Al candidato del Frente de Izquierda",0.027,0.005,0.008,0.652,0.016
"P31","No sabe",0.116,0.017,0.025,0.069,0.684
"P32","Wado de Pedro por el Frente de Todos",0.758,0.04,0.02,0.339,0.215
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.887,0.036,0.064,0.1
"P32","Javier Milei por los liberales libertarios",0.01,0.032,0.911,0.042,0.056
"P32","Al candidato del Frente de Izquierda",0.016,0.009,0.003,0.494,0.001
"P32","No sabe",0.157,0.032,0.03,0.061,0.628
"P33","Daniel Scioli por el Frente de Todos",0.805,0.038,0.017,0.263,0.229
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.881,0.05,0.048,0.11
"P33","Javier Milei por los liberales libertarios",0.008,0.041,0.903,0.045,0.057
"P33","Al candidato del Frente de Izquierda",0.019,0.002,0.01,0.627,0.004
"P33","No sabe",0.121,0.038,0.02,0.017,0.6
"P34","Sergio Massa por el Frente de Todos",0.788,0.076,0.027,0.249,0.214
"P34","Patricia Bullrich por Juntos por el Cambio",0.048,0.789,0.274,0.072,0.286
"P34","Javier Milei por los liberales libertarios",0.011,0.044,0.69,0.064,0.041
"P34","Al candidato del Frente de Izquierda",0.02,0.017,0,0.608,0.007
"P34","No sabe",0.133,0.074,0.009,0.007,0.452
