"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.4,0.423,0.565,0.433
"P04","Realizo changas o trabajos de vez en cuando",0.272,0.141,0.214,0.163
"P04","No tengo trabajo",0.167,0.184,0.092,0.167
"P04","Soy jubilado o pensionado",0.161,0.252,0.129,0.237
"P05","1",0.301,0.426,0.253,0.24
"P05","2",0.106,0.081,0.098,0.043
"P05","3",0.065,0.085,0.072,0.156
"P05","4",0.09,0.105,0.14,0.105
"P05","5",0.201,0.174,0.212,0.243
"P05","6",0.039,0.03,0.061,0.021
"P05","7",0.031,0.017,0.038,0.017
"P05","8",0.013,0.018,0.062,0.012
"P05","9",0.154,0.064,0.064,0.163
"P06","1",0.229,0.173,0.172,0.25
"P06","2",0.047,0.035,0.064,0.024
"P06","3",0.037,0.032,0.037,0.028
"P06","4",0.022,0.042,0.042,0.022
"P06","5",0.179,0.189,0.266,0.144
"P06","6",0.064,0.044,0.108,0.039
"P06","7",0.109,0.087,0.047,0.086
"P06","8",0.045,0.077,0.048,0.119
"P06","9",0.268,0.321,0.216,0.288
"P07","1",0.297,0.242,0.336,0.453
"P07","2",0.04,0.043,0.066,0.013
"P07","3",0.026,0.036,0.029,0.021
"P07","4",0.047,0.015,0.118,0.03
"P07","5",0.107,0.135,0.126,0.143
"P07","6",0.017,0.033,0.027,0.024
"P07","7",0.031,0.043,0.03,0.042
"P07","8",0.033,0.045,0.043,0.035
"P07","9",0.402,0.408,0.225,0.239
"P13","Lo votaría",0.199,0.021,0.115,0.056
"P13","Puede que lo vote",0.069,0.171,0.205,0.214
"P13","Nunca lo votaría",0.662,0.789,0.599,0.615
"P13","No sabe",0.07,0.019,0.081,0.115
"P14","Lo votaría",0.115,0.02,0.083,0.065
"P14","Puede que lo vote",0.065,0.042,0.122,0.059
"P14","Nunca lo votaría",0.794,0.924,0.729,0.797
"P14","No sabe",0.026,0.014,0.066,0.079
"P15","Lo votaría",0.591,0.188,0.155,0.236
"P15","Puede que lo vote",0.206,0.486,0.362,0.413
"P15","Nunca lo votaría",0.167,0.296,0.429,0.296
"P15","No sabe",0.036,0.03,0.054,0.055
"P16","Lo votaría",0.165,0.075,0.535,0.196
"P16","Puede que lo vote",0.343,0.297,0.229,0.261
"P16","Nunca lo votaría",0.345,0.543,0.186,0.471
"P16","No sabe",0.147,0.085,0.05,0.072
"P17","La votaría",0.28,0.778,0.289,0.26
"P17","Puede que la vote",0.351,0.119,0.124,0.276
"P17","Nunca la votaría",0.316,0.087,0.549,0.438
"P17","No sabe",0.053,0.016,0.038,0.026
"P18","Lo votaría",0.176,0.141,0.141,0.018
"P18","Puede que lo vote",0.304,0.354,0.078,0.26
"P18","Nunca lo votaría",0.456,0.44,0.697,0.686
"P18","No sabe",0.064,0.065,0.084,0.036
"P19","La votaría",0.249,0.227,0.207,0.14
"P19","Puede que la vote",0.308,0.416,0.19,0.224
"P19","Nunca la votaría",0.367,0.291,0.545,0.577
"P19","No sabe",0.076,0.066,0.058,0.059
"P20","Lo votaría",0.057,0.017,0.124,0.042
"P20","Puede que lo vote",0.108,0.053,0.153,0.044
"P20","Nunca lo votaría",0.719,0.881,0.682,0.791
"P20","No sabe",0.116,0.049,0.041,0.123
"P21","Lo votaría",0.041,0.004,0.044,0.035
"P21","Puede que lo vote",0.083,0.024,0.127,0.119
"P21","Nunca lo votaría",0.826,0.936,0.798,0.712
"P21","No sabe",0.05,0.036,0.031,0.134
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.623,0.029,0.054,0.218
"P22","Patricia Bullrich por Juntos por el Cambio",0.185,0.864,0.061,0.225
"P22","Facundo Manes por Juntos por el Cambio",0.039,0.022,0.512,0.147
"P22","Alberto Fernández por el Frente de Todos",0.045,0.006,0.06,0.087
"P22","Sergio Massa por el Frente de Todos",0.009,0.004,0.053,0.014
"P22","Wado de Pedro por el Frente de Todos",0.017,0.006,0.082,0.013
"P22","Daniel Scioli por el Frente de Todos",0.008,0.002,0.045,0.079
"P22","Javier Milei por los liberales libertarios",0.045,0.054,0.054,0.035
"P22","Al candidato del Frente de Izquierda",0,0.002,0,0.015
"P22","No sabe",0.029,0.011,0.079,0.167
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.577,0.034,0.03,0.237
"P23","Patricia Bullrich por Juntos por el Cambio",0.133,0.805,0.083,0.201
"P23","María Eugenia Vidal por Juntos por el Cambio",0.119,0.083,0.25,0.098
"P23","Facundo Manes por Juntos por el Cambio",0.075,0.009,0.33,0.235
"P23","Sergio Massa por el Frente de Todos",0.021,0.004,0.052,0.027
"P23","Wado de Pedro por el Frente de Todos",0.005,0.003,0.091,0.012
"P23","Daniel Scioli por el Frente de Todos",0.001,0.003,0.078,0
"P23","Javier Milei por los liberales libertarios",0.043,0.045,0.044,0.028
"P23","Al candidato del Frente de Izquierda",0,0,0,0.009
"P23","No sabe",0.026,0.014,0.042,0.153
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.536,0.043,0.123,0.249
"P24","Patricia Bullrich por Juntos por el Cambio",0.149,0.811,0.065,0.251
"P24","María Eugenia Vidal por Juntos por el Cambio",0.13,0.068,0.129,0.098
"P24","Facundo Manes por Juntos por el Cambio",0.043,0.016,0.396,0.194
"P24","Sergio Massa por el Frente de Todos",0.001,0,0.048,0.013
"P24","Wado de Pedro por el Frente de Todos",0.017,0.003,0.112,0.013
"P24","Alberto Fernández por el Frente de Todos",0.029,0.006,0.058,0.008
"P24","Javier Milei por los liberales libertarios",0.058,0.046,0.026,0.029
"P24","Al candidato del Frente de Izquierda",0,0,0,0.009
"P24","No sabe",0.037,0.007,0.043,0.136
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.472,0.049,0.141,0.212
"P25","Patricia Bullrich por Juntos por el Cambio",0.096,0.698,0.088,0.241
"P25","Facundo Manes por Juntos por el Cambio",0.111,0.18,0.191,0.132
"P25","Sergio Massa por el Frente de Todos",0.009,0.001,0.179,0.016
"P25","Wado de Pedro por el Frente de Todos",0.031,0.002,0.094,0.116
"P25","Daniel Scioli por el Frente de Todos",0.002,0.006,0.112,0.116
"P25","Javier Milei por los liberales libertario",0.192,0.013,0.11,0.033
"P25","Al candidato del Frente de Izquierda",0.026,0.041,0.036,0
"P25","No sabe",0.061,0.01,0.049,0.134
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.575,0.081,0.174,0.255
"P26","Patricia Bulrich por Juntos por el Cambio",0.183,0.814,0.119,0.252
"P26","Alberto Fernández por el Frente de Todos",0.039,0.014,0.067,0.126
"P26","Sergio Massa por el Frente de Todos",0.028,0.005,0.204,0.007
"P26","Javier Milei por los liberales libertarios",0.067,0.073,0.216,0.094
"P26","Al candidato del Frente de Izquierda",0.04,0,0.1,0.019
"P26","No sabe",0.068,0.013,0.12,0.247
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.644,0.057,0.257,0.421
"P27","Patricia Bullrich por Juntos por el Cambio",0.166,0.859,0.147,0.249
"P27","Wado de Pedro por el Frente de Todos",0.004,0.003,0.131,0.024
"P27","Sergio Massa por el Frente de Todos",0.027,0.001,0.217,0.008
"P27","Javier Milei por los liberales libertarios",0.063,0.069,0.106,0.036
"P27","Al candidato del Frente de Izquierda",0.004,0,0.013,0.012
"P27","No sabe",0.092,0.011,0.129,0.25
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.662,0.052,0.263,0.325
"P28","Patricia Bullrich por Juntos por el Cambio",0.204,0.851,0.142,0.246
"P28","Wado de Pedro por el Frente de Todos",0.012,0.001,0.197,0.06
"P28","Daniel Scioli por el Frente de Todos",0.019,0,0.116,0.111
"P28","Javier Milei por los liberales libertarios",0.036,0.072,0.114,0
"P28","Al candidato del Frente de Izquierda",0.004,0,0.024,0.019
"P28","No sabe",0.063,0.024,0.144,0.239
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.755,0.153,0.165,0.452
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.138,0.738,0.257,0.07
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.024,0.008,0.256,0.164
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.005,0.001,0.13,0.156
"P29","Javier Milei presidente y su candidato a vice",0.044,0.067,0.034,0
"P29","A los candidatos de la izquierda",0,0.001,0.009,0.015
"P29","No sabe",0.034,0.032,0.149,0.143
"P30","Alberto Fernández por el Frente de Todos",0.079,0.023,0.159,0.17
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.759,0.452,0.602,0.448
"P30","Javier Milei por los liberales libertarios",0.095,0.297,0.048,0.016
"P30","Al candidato del Frente de Izquierda",0.024,0.014,0.066,0.014
"P30","No sabe",0.043,0.214,0.125,0.352
"P31","Sergio Massa por el Frente de Todos",0.011,0.004,0.19,0.037
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.828,0.498,0.574,0.509
"P31","Javier Milei por los liberales libertarios",0.112,0.298,0.054,0.011
"P31","Al candidato del Frente de Izquierda",0.016,0.015,0.053,0.147
"P31","No sabe",0.033,0.185,0.129,0.296
"P32","Wado de Pedro por el Frente de Todos",0.011,0.001,0.348,0.171
"P32","Horacio Rodríguez Larreta por Juntos por el Cambio",0.806,0.537,0.416,0.632
"P32","Javier Milei por los liberales libertarios",0.132,0.285,0.078,0.01
"P32","Al candidato del Frente de Izquierda",0.02,0.009,0.022,0.015
"P32","No sabe",0.031,0.168,0.136,0.172
"P33","Daniel Scioli por el Frente de Todos",0.032,0.011,0.184,0.313
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.755,0.567,0.576,0.502
"P33","Javier Milei por los liberales libertarios",0.127,0.261,0.057,0.011
"P33","Al candidato del Frente de Izquierda",0.016,0.021,0.048,0.03
"P33","No sabe",0.07,0.14,0.135,0.144
"P34","Sergio Massa por el Frente de Todos",0.069,0.001,0.365,0.176
"P34","Patricia Bullrich por Juntos por el Cambio",0.594,0.888,0.435,0.486
"P34","Javier Milei por los liberales libertarios",0.165,0.07,0.047,0.022
"P34","Al candidato del Frente de Izquierda",0.033,0.001,0.073,0.008
"P34","No sabe",0.139,0.04,0.08,0.308
"P35","Alberto Fernández por el Frente de Todos",0.051,0.002,0.236,0.17
"P35","Patricia Bullrich por Juntos por el Cambio",0.711,0.902,0.402,0.463
"P35","Javier Milei por los liberales libertarios",0.095,0.064,0.196,0.028
"P35","Al candidato del Frente de Izquierda",0.039,0.004,0.072,0.014
"P35","No sabe",0.104,0.028,0.094,0.325
"P36","Wado de Pedro por el Frente de Todos",0.018,0.001,0.392,0.177
"P36","Patricia Bullrich por Juntos por el Cambio",0.71,0.901,0.406,0.475
"P36","Javier Milei por los liberales libertarios",0.105,0.064,0.071,0.007
"P36","Al candidato del Frente de Izquierda",0.037,0.005,0.041,0.008
"P36","No sabe",0.13,0.029,0.09,0.333
"P37","Daniel Scioli por el Frente de Todos",0.045,0.001,0.248,0.316
"P37","Patricia Bullrich por Juntos por el Cambio",0.683,0.903,0.42,0.498
"P37","Javier Milei por los liberales libertarios",0.098,0.062,0.21,0.007
"P37","Al candidato del Frente de Izquierda",0.033,0.004,0.046,0.014
"P37","No sabe",0.141,0.03,0.076,0.165
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.701,0.438,0.272,0.511
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.107,0.084,0.399,0.327
"P38","Javier Milei presidente y su candidato a vice",0.107,0.272,0.083,0.007
"P38","A los candidatos de la izquierda",0.03,0.008,0.071,0.008
"P38","No sabe",0.055,0.198,0.175,0.147
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.639,0.795,0.465,0.477
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.047,0.035,0.242,0.32
"P39","Javier Milei presidente y su candidato a vice",0.129,0.103,0.048,0.021
"P39","A los candidatos de la izquierda",0.038,0.006,0.07,0.008
"P39","No sabe",0.147,0.061,0.175,0.174
"P40","Sergio Massa por el Frente de Todos",0.02,0.068,0.256,0.181
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.8,0.73,0.632,0.493
"P40","No sabe",0.18,0.202,0.112,0.326
"P41","Alberto Fernández por el Frente de Todos",0.052,0.057,0.299,0.158
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.844,0.759,0.565,0.675
"P41","No sabe",0.104,0.184,0.136,0.167
