"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.483,0.404,0.466,0.344,0.365
"P04","Realizo changas o trabajos de vez en cuando",0.181,0.165,0.227,0.294,0.251
"P04","No tengo trabajo",0.139,0.154,0.22,0.24,0.226
"P04","Soy jubilado o pensionado",0.197,0.277,0.087,0.122,0.158
"P05","1",0.209,0.374,0.345,0.177,0.298
"P05","2",0.08,0.083,0.084,0.063,0.067
"P05","3",0.031,0.079,0.082,0.08,0.043
"P05","4",0.038,0.106,0.067,0.054,0.065
"P05","5",0.155,0.189,0.219,0.113,0.267
"P05","6",0.06,0.033,0.035,0.006,0.052
"P05","7",0.114,0.024,0.026,0.053,0.052
"P05","8",0.078,0.02,0.038,0.086,0.031
"P05","9",0.235,0.092,0.104,0.368,0.125
"P06","1",0.437,0.19,0.144,0.34,0.262
"P06","2",0.081,0.038,0.056,0.05,0.054
"P06","3",0.072,0.031,0.029,0.039,0.053
"P06","4",0.042,0.037,0.033,0.039,0.054
"P06","5",0.161,0.193,0.159,0.176,0.259
"P06","6",0.025,0.054,0.052,0.028,0.046
"P06","7",0.031,0.091,0.077,0.007,0.056
"P06","8",0.023,0.07,0.077,0.027,0.027
"P06","9",0.128,0.296,0.373,0.294,0.189
"P07","1",0.543,0.264,0.213,0.467,0.315
"P07","2",0.034,0.037,0.04,0.026,0.016
"P07","3",0.039,0.031,0.032,0.027,0.026
"P07","4",0.019,0.03,0.015,0.003,0.022
"P07","5",0.078,0.131,0.132,0.13,0.128
"P07","6",0.023,0.029,0.033,0,0.02
"P07","7",0.015,0.04,0.048,0.021,0.024
"P07","8",0.013,0.043,0.042,0.025,0.032
"P07","9",0.236,0.395,0.445,0.301,0.417
"P14","Lo votaría",0.254,0.046,0.021,0.033,0.07
"P14","Puede que lo vote",0.339,0.046,0.027,0.186,0.08
"P14","Nunca lo votaría",0.273,0.887,0.916,0.688,0.586
"P14","No sabe",0.134,0.021,0.036,0.093,0.264
"P15","Lo votaría",0.062,0.309,0.04,0.04,0.054
"P15","Puede que lo vote",0.099,0.394,0.188,0.142,0.149
"P15","Nunca lo votaría",0.793,0.259,0.723,0.744,0.541
"P15","No sabe",0.046,0.038,0.049,0.074,0.256
"P16","Lo votaría",0.044,0.132,0.055,0.124,0.068
"P16","Puede que lo vote",0.128,0.309,0.198,0.133,0.144
"P16","Nunca lo votaría",0.69,0.456,0.673,0.593,0.446
"P16","No sabe",0.138,0.103,0.074,0.15,0.342
"P17","La votaría",0.051,0.597,0.202,0.086,0.076
"P17","Puede que la vote",0.044,0.187,0.31,0.176,0.123
"P17","Nunca la votaría",0.846,0.185,0.431,0.685,0.551
"P17","No sabe",0.059,0.031,0.057,0.053,0.25
"P18","Lo votaría",0.04,0.14,0.722,0.146,0.119
"P18","Puede que lo vote",0.057,0.311,0.168,0.152,0.153
"P18","Nunca lo votaría",0.851,0.485,0.082,0.664,0.503
"P18","No sabe",0.052,0.064,0.028,0.038,0.225
"P19","La votaría",0.065,0.228,0.122,0.08,0.05
"P19","Puede que la vote",0.04,0.368,0.198,0.127,0.141
"P19","Nunca la votaría",0.828,0.334,0.613,0.725,0.58
"P19","No sabe",0.067,0.07,0.067,0.068,0.229
"P20","Lo votaría",0.309,0.033,0.028,0.039,0.041
"P20","Puede que lo vote",0.299,0.076,0.033,0.201,0.078
"P20","Nunca lo votaría",0.289,0.824,0.86,0.63,0.557
"P20","No sabe",0.103,0.067,0.079,0.13,0.324
"P21","Lo votaría",0.284,0.017,0.032,0.063,0.075
"P21","Puede que lo vote",0.406,0.047,0.053,0.192,0.108
"P21","Nunca lo votaría",0.219,0.895,0.893,0.689,0.571
"P21","No sabe",0.091,0.041,0.022,0.056,0.246
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.196,0.013,0.021,0.068
"P22","Patricia Bullrich por Juntos por el Cambio",0.021,0.617,0.129,0.087,0.103
"P22","Facundo Manes por Juntos por el Cambio",0.017,0.06,0.033,0.069,0.095
"P22","Alberto Fernández por el Frente de Todos",0.13,0.023,0.013,0.034,0.071
"P22","Sergio Massa por el Frente de Todos",0.186,0.008,0.022,0.042,0.086
"P22","Wado de Pedro por el Frente de Todos",0.327,0.013,0.016,0.079,0.034
"P22","Daniel Scioli por el Frente de Todos",0.188,0.009,0.009,0.022,0.051
"P22","Javier Milei por los liberales libertarios",0.014,0.046,0.729,0.155,0.131
"P22","Al candidato del Frente de Izquierda",0.023,0.003,0.001,0.341,0.011
"P22","No sabe",0.077,0.025,0.035,0.15,0.35
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.184,0.018,0.036,0.065
"P23","Patricia Bullrich por Juntos por el Cambio",0.022,0.567,0.144,0.051,0.098
"P23","María Eugenia Vidal por Juntos por el Cambio",0.021,0.105,0.017,0.029,0.055
"P23","Facundo Manes por Juntos por el Cambio",0.013,0.054,0.025,0.07,0.068
"P23","Sergio Massa por el Frente de Todos",0.243,0.011,0.013,0.069,0.101
"P23","Wado de Pedro por el Frente de Todos",0.349,0.009,0.011,0.059,0.038
"P23","Daniel Scioli por el Frente de Todos",0.209,0.006,0.011,0.027,0.086
"P23","Javier Milei por los liberales libertarios",0.02,0.04,0.734,0.133,0.114
"P23","Al candidato del Frente de Izquierda",0.024,0.001,0.001,0.379,0.007
"P23","No sabe",0.082,0.023,0.026,0.147,0.368
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.184,0.022,0.058,0.052
"P24","Patricia Bullrich por Juntos por el Cambio",0.019,0.576,0.141,0.076,0.1
"P24","María Eugenia Vidal por Juntos por el Cambio",0.018,0.093,0.034,0.025,0.054
"P24","Facundo Manes por Juntos por el Cambio",0.008,0.05,0.023,0.068,0.076
"P24","Sergio Massa por el Frente de Todos",0.252,0.004,0.015,0.069,0.099
"P24","Wado de Pedro por el Frente de Todos",0.385,0.013,0.013,0.067,0.054
"P24","Alberto Fernández por el Frente de Todos",0.187,0.015,0.012,0.049,0.063
"P24","Javier Milei por los liberales libertarios",0.015,0.044,0.705,0.135,0.131
"P24","Al candidato del Frente de Izquierda",0.019,0,0.008,0.317,0.008
"P24","No sabe",0.077,0.021,0.027,0.136,0.363
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.174,0.033,0.127,0.075
"P25","Patricia Bullrich por Juntos por el Cambio",0.019,0.492,0.126,0.043,0.106
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.159,0.045,0.095,0.073
"P25","Sergio Massa por el Frente de Todos",0.203,0.015,0.016,0.025,0.114
"P25","Wado de Pedro por el Frente de Todos",0.352,0.018,0.021,0.102,0.054
"P25","Daniel Scioli por el Frente de Todos",0.261,0.015,0.007,0.05,0.111
"P25","Javier Milei por los liberales libertario",0.042,0.065,0.309,0.067,0.1
"P25","Al candidato del Frente de Izquierda",0.013,0.031,0.432,0.25,0.067
"P25","No sabe",0.071,0.031,0.011,0.241,0.3
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.229,0.032,0.044,0.083
"P26","Patricia Bulrich por Juntos por el Cambio",0.051,0.586,0.151,0.088,0.143
"P26","Alberto Fernández por el Frente de Todos",0.204,0.028,0.014,0.043,0.113
"P26","Sergio Massa por el Frente de Todos",0.44,0.023,0.026,0.085,0.131
"P26","Javier Milei por los liberales libertarios",0.049,0.075,0.691,0.121,0.126
"P26","Al candidato del Frente de Izquierda",0.075,0.016,0.017,0.512,0.025
"P26","No sabe",0.151,0.043,0.069,0.107,0.379
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.237,0.032,0.052,0.099
"P27","Patricia Bullrich por Juntos por el Cambio",0.022,0.617,0.138,0.091,0.151
"P27","Wado de Pedro por el Frente de Todos",0.397,0.013,0.019,0.087,0.063
"P27","Sergio Massa por el Frente de Todos",0.353,0.019,0.026,0.057,0.159
"P27","Javier Milei por los liberales libertarios",0.042,0.062,0.742,0.125,0.155
"P27","Al candidato del Frente de Izquierda",0.05,0.003,0.011,0.455,0.016
"P27","No sabe",0.105,0.049,0.032,0.133,0.357
