"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P57","Muy buena",0.028,0.527,0.033
"P57","Buena",0.052,0.242,0.063
"P57","Ni buena ni mala",0.076,0.097,0.247
"P57","Mala",0.091,0.047,0.226
"P57","Muy mala",0.748,0.083,0.408
"P57","No sabe",0.005,0.004,0.023
"P58","Muy buena",0.021,0.266,0.235
"P58","Buena",0.007,0.22,0.088
"P58","Ni buena ni mala",0.055,0.316,0.135
"P58","Mala",0.102,0.1,0.191
"P58","Muy mala",0.804,0.085,0.302
"P58","No sabe",0.011,0.013,0.049
"P59","Muy buena",0.375,0.033,0.044
"P59","Buena",0.336,0.04,0.035
"P59","Ni buena ni mala",0.133,0.148,0.203
"P59","Mala",0.034,0.158,0.185
"P59","Muy mala",0.103,0.581,0.409
"P59","No sabe",0.019,0.04,0.124
"P60","Muy buena",0.235,0.011,0.105
"P60","Buena",0.408,0.014,0.122
"P60","Ni buena ni mala",0.289,0.067,0.213
"P60","Mala",0.047,0.18,0.13
"P60","Muy mala",0.021,0.716,0.406
"P60","No sabe",0,0.012,0.024
"P61","Muy buena",0.025,0.235,0.051
"P61","Buena",0.044,0.293,0.095
"P61","Ni buena ni mala",0.073,0.228,0.194
"P61","Mala",0.113,0.118,0.15
"P61","Muy mala",0.737,0.124,0.488
"P61","No sabe",0.008,0.002,0.022
"P62","Muy buena",0.025,0.118,0.072
"P62","Buena",0.101,0.241,0.091
"P62","Ni buena ni mala",0.308,0.366,0.352
"P62","Mala",0.258,0.124,0.142
"P62","Muy mala",0.261,0.132,0.26
"P62","No sabe",0.047,0.019,0.083
"P63","Siempre",0.345,0.341,0.24
"P63","Casi siempre",0.391,0.401,0.405
"P63","Casi nunca",0.193,0.188,0.188
"P63","Nunca, pero esta es una excepción",0.071,0.07,0.167
"P64","Si",0.645,0.608,0.598
"P64","No",0.355,0.392,0.402
