"var","categoria","Alberto Fernández por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.534,0.422,0.448
"P04","Realizo changas o trabajos de vez en cuando",0.147,0.145,0.222
"P04","No tengo trabajo",0.143,0.197,0.153
"P04","Soy jubilado o pensionado",0.176,0.236,0.177
"P05","1",0.209,0.359,0.33
"P05","2",0.06,0.083,0.069
"P05","3",0.021,0.093,0.077
"P05","4",0.033,0.113,0.085
"P05","5",0.152,0.221,0.178
"P05","6",0.071,0.037,0.031
"P05","7",0.136,0.029,0.056
"P05","8",0.112,0.015,0.038
"P05","9",0.206,0.05,0.136
"P06","1",0.413,0.153,0.252
"P06","2",0.093,0.029,0.04
"P06","3",0.073,0.035,0.068
"P06","4",0.064,0.044,0.058
"P06","5",0.175,0.202,0.158
"P06","6",0.018,0.072,0.038
"P06","7",0.042,0.09,0.059
"P06","8",0.016,0.104,0.064
"P06","9",0.106,0.271,0.263
"P07","1",0.567,0.224,0.338
"P07","2",0.052,0.026,0.018
"P07","3",0.037,0.051,0.04
"P07","4",0.026,0.029,0.016
"P07","5",0.086,0.138,0.099
"P07","6",0.016,0.036,0.031
"P07","7",0.014,0.053,0.033
"P07","8",0.013,0.053,0.048
"P07","9",0.189,0.39,0.377
"P09","Del Frente de Todos y el peronismo",0.823,0.04,0.239
"P09","De Juntos por el cambio",0.073,0.672,0.166
"P09","De los Liberales libertarios",0.022,0.205,0.325
"P09","De la Izquierda",0.019,0.008,0.051
"P09","No sabe",0.063,0.075,0.219
"P10","A Alberto Fernández",0.092,0.167,0.099
"P10","A Sergio Massa",0.217,0.424,0.253
"P10","A algún candidato del peronismo",0.17,0.335,0.2
"P10","A algún candidato del kirchnerismo",0.521,0.074,0.448
"P11","A Alberto Fernández",0.08,0.105,0.026
"P11","A Sergio Massa",0.137,0.281,0.143
"P11","A algún candidato del peronismo",0.114,0.505,0.074
"P11","A Cristina Fernández de Kirchner",0.669,0.109,0.757
"P12","A Horacio Rodriguez Larreta",0.181,0.272,0.159
"P12","A Patricia Bullrich",0.526,0.652,0.752
"P12","A Facundo Manes",0.176,0.03,0.035
"P12","A Gerardo Morales",0.117,0.046,0.054
"P13","Lo votaría",0.279,0.043,0.073
"P13","Puede que lo vote",0.446,0.113,0.156
"P13","Nunca lo votaría",0.11,0.82,0.648
"P13","No sabe",0.165,0.024,0.123
"P14","Lo votaría",0.243,0.017,0.021
"P14","Puede que lo vote",0.443,0.028,0.054
"P14","Nunca lo votaría",0.187,0.946,0.8
"P14","No sabe",0.127,0.009,0.125
"P15","Lo votaría",0.03,0.27,0.006
"P15","Puede que lo vote",0.118,0.46,0.102
"P15","Nunca lo votaría",0.813,0.244,0.814
"P15","No sabe",0.039,0.026,0.078
"P16","Lo votaría",0.017,0.135,0.031
"P16","Puede que lo vote",0.14,0.331,0.161
"P16","Nunca lo votaría",0.69,0.447,0.682
"P16","No sabe",0.153,0.087,0.126
"P17","La votaría",0.042,0.564,0.178
"P17","Puede que la vote",0.043,0.228,0.188
"P17","Nunca la votaría",0.858,0.188,0.561
"P17","No sabe",0.057,0.02,0.073
"P18","Lo votaría",0.027,0.252,0.312
"P18","Puede que lo vote",0.069,0.304,0.151
"P18","Nunca lo votaría",0.881,0.387,0.465
"P18","No sabe",0.023,0.057,0.072
"P19","La votaría",0.032,0.22,0.076
"P19","Puede que la vote",0.068,0.376,0.128
"P19","Nunca la votaría",0.867,0.341,0.721
"P19","No sabe",0.033,0.063,0.075
"P20","Lo votaría",0.334,0.038,0.082
"P20","Puede que lo vote",0.299,0.07,0.152
"P20","Nunca lo votaría",0.283,0.833,0.66
"P20","No sabe",0.084,0.059,0.106
"P21","Lo votaría",0.282,0.032,0.078
"P21","Puede que lo vote",0.444,0.048,0.139
"P21","Nunca lo votaría",0.19,0.907,0.699
"P21","No sabe",0.084,0.013,0.084
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.161,0.002
"P22","Patricia Bullrich por Juntos por el Cambio",0.036,0.523,0.205
"P22","Facundo Manes por Juntos por el Cambio",0.02,0.068,0.063
"P22","Alberto Fernández por el Frente de Todos",0.131,0.004,0.016
"P22","Sergio Massa por el Frente de Todos",0.207,0.016,0.06
"P22","Wado de Pedro por el Frente de Todos",0.33,0.016,0.118
"P22","Daniel Scioli por el Frente de Todos",0.16,0.018,0.077
"P22","Javier Milei por los liberales libertarios",0.027,0.165,0.312
"P22","Al candidato del Frente de Izquierda",0.019,0.004,0.032
"P22","No sabe",0.064,0.025,0.115
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.149,0.007
"P23","Patricia Bullrich por Juntos por el Cambio",0.028,0.492,0.185
"P23","María Eugenia Vidal por Juntos por el Cambio",0.018,0.091,0.026
"P23","Facundo Manes por Juntos por el Cambio",0.025,0.061,0.043
"P23","Sergio Massa por el Frente de Todos",0.271,0.017,0.073
"P23","Wado de Pedro por el Frente de Todos",0.341,0.013,0.125
"P23","Daniel Scioli por el Frente de Todos",0.187,0.012,0.072
"P23","Javier Milei por los liberales libertarios",0.034,0.148,0.337
"P23","Al candidato del Frente de Izquierda",0.035,0.001,0.028
"P23","No sabe",0.054,0.016,0.104
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.145,0.003
"P24","Patricia Bullrich por Juntos por el Cambio",0.036,0.492,0.194
"P24","María Eugenia Vidal por Juntos por el Cambio",0.005,0.091,0.025
"P24","Facundo Manes por Juntos por el Cambio",0.016,0.061,0.056
"P24","Sergio Massa por el Frente de Todos",0.266,0.014,0.088
