"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.548,0.474,0.362
"P04","Realizo changas o trabajos de vez en cuando",0.139,0.176,0.19
"P04","No tengo trabajo",0.108,0.195,0.163
"P04","Soy jubilado o pensionado",0.205,0.155,0.285
"P05","1",0.202,0.376,0.328
"P05","2",0.061,0.101,0.051
"P05","3",0.033,0.106,0.065
"P05","4",0.041,0.11,0.079
"P05","5",0.167,0.173,0.238
"P05","6",0.084,0.032,0.023
"P05","7",0.155,0.025,0.034
"P05","8",0.097,0.03,0.035
"P05","9",0.16,0.047,0.147
"P06","1",0.412,0.135,0.254
"P06","2",0.094,0.03,0.035
"P06","3",0.079,0.043,0.043
"P06","4",0.069,0.042,0.057
"P06","5",0.171,0.162,0.229
"P06","6",0.031,0.072,0.03
"P06","7",0.042,0.101,0.054
"P06","8",0.019,0.109,0.065
"P06","9",0.083,0.306,0.233
"P07","1",0.598,0.208,0.326
"P07","2",0.047,0.034,0.014
"P07","3",0.055,0.052,0.027
"P07","4",0.034,0.027,0.01
"P07","5",0.082,0.132,0.117
"P07","6",0.019,0.034,0.028
"P07","7",0.006,0.054,0.041
"P07","8",0.014,0.07,0.028
"P07","9",0.145,0.389,0.409
"P09","Del Frente de Todos y el peronismo",0.816,0.022,0.219
"P09","De Juntos por el cambio",0.062,0.471,0.464
"P09","De los Liberales libertarios",0.01,0.419,0.064
"P09","De la Izquierda",0.024,0.009,0.051
"P09","No sabe",0.088,0.079,0.202
"P10","A Alberto Fernández",0.073,0.063,0.142
"P10","A Sergio Massa",0.246,0.333,0.091
"P10","A algún candidato del peronismo",0.148,0.519,0.315
"P10","A algún candidato del kirchnerismo",0.533,0.085,0.452
"P11","A Alberto Fernández",0.047,0.063,0.111
"P11","A Sergio Massa",0.142,0.401,0.093
"P11","A algún candidato del peronismo",0.093,0.486,0.165
"P11","A Cristina Fernández de Kirchner",0.718,0.05,0.631
"P12","A Horacio Rodriguez Larreta",0.294,0.255,0.203
"P12","A Patricia Bullrich",0.275,0.704,0.656
"P12","A Facundo Manes",0.277,0.015,0.051
"P12","A Gerardo Morales",0.154,0.026,0.09
"P13","Lo votaría",0.304,0.027,0.045
"P13","Puede que lo vote",0.462,0.078,0.139
"P13","Nunca lo votaría",0.096,0.861,0.688
"P13","No sabe",0.138,0.034,0.128
"P14","Lo votaría",0.204,0.005,0.031
"P14","Puede que lo vote",0.405,0.029,0.072
"P14","Nunca lo votaría",0.252,0.942,0.815
"P14","No sabe",0.139,0.024,0.082
"P15","Lo votaría",0.039,0.148,0.144
"P15","Puede que lo vote",0.107,0.342,0.266
"P15","Nunca lo votaría",0.822,0.479,0.516
"P15","No sabe",0.032,0.031,0.074
"P16","Lo votaría",0.037,0.082,0.089
"P16","Puede que lo vote",0.134,0.28,0.242
"P16","Nunca lo votaría",0.69,0.56,0.523
"P16","No sabe",0.139,0.078,0.146
"P17","La votaría",0.032,0.472,0.346
"P17","Puede que la vote",0.032,0.281,0.123
"P17","Nunca la votaría",0.906,0.214,0.433
"P17","No sabe",0.03,0.033,0.098
"P18","Lo votaría",0.016,0.447,0.063
"P18","Puede que lo vote",0.036,0.328,0.124
"P18","Nunca lo votaría",0.933,0.177,0.717
"P18","No sabe",0.015,0.048,0.096
"P19","La votaría",0.029,0.18,0.13
"P19","Puede que la vote",0.06,0.328,0.2
"P19","Nunca la votaría",0.875,0.435,0.58
"P19","No sabe",0.036,0.057,0.09
"P20","Lo votaría",0.339,0.027,0.079
"P20","Puede que lo vote",0.321,0.055,0.135
"P20","Nunca lo votaría",0.263,0.869,0.664
"P20","No sabe",0.077,0.049,0.122
"P21","Lo votaría",0.297,0.024,0.055
"P21","Puede que lo vote",0.435,0.02,0.148
"P21","Nunca lo votaría",0.181,0.935,0.713
"P21","No sabe",0.087,0.021,0.084
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.088,0.093
"P22","Patricia Bullrich por Juntos por el Cambio",0.026,0.419,0.399
"P22","Facundo Manes por Juntos por el Cambio",0.027,0.045,0.079
"P22","Alberto Fernández por el Frente de Todos",0.091,0.004,0.033
"P22","Sergio Massa por el Frente de Todos",0.227,0.001,0.036
"P22","Wado de Pedro por el Frente de Todos",0.343,0.003,0.095
"P22","Daniel Scioli por el Frente de Todos",0.19,0.011,0.061
"P22","Javier Milei por los liberales libertarios",0.003,0.405,0.019
"P22","Al candidato del Frente de Izquierda",0.016,0.003,0.037
"P22","No sabe",0.064,0.021,0.148
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.08,0.096
"P23","Patricia Bullrich por Juntos por el Cambio",0.018,0.4,0.364
"P23","María Eugenia Vidal por Juntos por el Cambio",0.015,0.052,0.068
"P23","Facundo Manes por Juntos por el Cambio",0.038,0.041,0.062
"P23","Sergio Massa por el Frente de Todos",0.295,0.001,0.038
"P23","Wado de Pedro por el Frente de Todos",0.356,0.007,0.093
"P23","Daniel Scioli por el Frente de Todos",0.185,0.005,0.079
"P23","Javier Milei por los liberales libertarios",0.001,0.403,0.039
"P23","Al candidato del Frente de Izquierda",0.027,0.003,0.036
"P23","No sabe",0.05,0.008,0.125
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.079,0.083
"P24","Patricia Bullrich por Juntos por el Cambio",0.019,0.412,0.371
"P24","María Eugenia Vidal por Juntos por el Cambio",0.014,0.048,0.067
"P24","Facundo Manes por Juntos por el Cambio",0.031,0.039,0.072
"P24","Sergio Massa por el Frente de Todos",0.299,0.004,0.039
"P24","Wado de Pedro por el Frente de Todos",0.396,0.004,0.111
"P24","Alberto Fernández por el Frente de Todos",0.132,0.001,0.042
"P24","Javier Milei por los liberales libertarios",0.007,0.403,0.037
"P24","Al candidato del Frente de Izquierda",0.022,0,0.036
"P24","No sabe",0.062,0.01,0.142
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.086,0.095
"P25","Patricia Bullrich por Juntos por el Cambio",0.014,0.34,0.321
"P25","Facundo Manes por Juntos por el Cambio",0.02,0.115,0.126
"P25","Sergio Massa por el Frente de Todos",0.247,0.008,0.027
"P25","Wado de Pedro por el Frente de Todos",0.361,0.01,0.098
"P25","Daniel Scioli por el Frente de Todos",0.232,0.006,0.099
"P25","Javier Milei por los liberales libertario",0.034,0.255,0.06
"P25","Al candidato del Frente de Izquierda",0.022,0.169,0.05
"P25","No sabe",0.042,0.011,0.124
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.12,0.117
"P26","Patricia Bulrich por Juntos por el Cambio",0.042,0.417,0.398
"P26","Alberto Fernández por el Frente de Todos",0.161,0.004,0.051
"P26","Sergio Massa por el Frente de Todos",0.555,0.009,0.058
"P26","Javier Milei por los liberales libertarios",0.023,0.396,0.062
"P26","Al candidato del Frente de Izquierda",0.085,0.005,0.083
"P26","No sabe",0.104,0.049,0.231
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.112,0.127
"P27","Patricia Bullrich por Juntos por el Cambio",0.025,0.427,0.412
"P27","Wado de Pedro por el Frente de Todos",0.406,0.004,0.097
"P27","Sergio Massa por el Frente de Todos",0.394,0.006,0.054
"P27","Javier Milei por los liberales libertarios",0.013,0.435,0.051
"P27","Al candidato del Frente de Izquierda",0.051,0.005,0.058
"P27","No sabe",0.074,0.011,0.201
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.117,0.114
"P28","Patricia Bullrich por Juntos por el Cambio",0.03,0.415,0.409
"P28","Wado de Pedro por el Frente de Todos",0.429,0.003,0.093
"P28","Daniel Scioli por el Frente de Todos",0.35,0.007,0.089
"P28","Javier Milei por los liberales libertarios",0.015,0.443,0.061
"P28","Al candidato del Frente de Izquierda",0.055,0.007,0.055
"P28","No sabe",0.086,0.008,0.179
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.026,0.16,0.181
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.035,0.371,0.328
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.332,0.008,0.066
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.463,0.006,0.097
"P29","Javier Milei presidente y su candidato a vice",0.017,0.437,0.044
"P29","A los candidatos de la izquierda",0.05,0.002,0.054
"P29","No sabe",0.077,0.016,0.23
