"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.409,0.365,0.502,0.448,0.49,0.589,0.439
"P04","Realizo changas o trabajos de vez en cuando",0.222,0.131,0.15,0.198,0.225,0.179,0.24
"P04","No tengo trabajo",0.166,0.169,0.156,0.167,0.21,0.105,0.166
"P04","Soy jubilado o pensionado",0.203,0.335,0.192,0.187,0.075,0.127,0.155
"P05","1",0.346,0.408,0.095,0.236,0.378,0.203,0.324
"P05","2",0.082,0.065,0.054,0.065,0.101,0.062,0.084
"P05","3",0.045,0.089,0.022,0.042,0.089,0.032,0.031
"P05","4",0.106,0.111,0.032,0.068,0.053,0.066,0.052
"P05","5",0.25,0.203,0.099,0.191,0.193,0.112,0.235
"P05","6",0.05,0.032,0.07,0.072,0.035,0.012,0.045
"P05","7",0.039,0.022,0.188,0.076,0.017,0.112,0.057
"P05","8",0.011,0.024,0.128,0.049,0.027,0.115,0.033
"P05","9",0.071,0.046,0.312,0.201,0.107,0.286,0.139
"P06","1",0.246,0.16,0.463,0.34,0.108,0.4,0.374
"P06","2",0.056,0.027,0.096,0.06,0.054,0.079,0.033
"P06","3",0.025,0.038,0.087,0.059,0.035,0.039,0.025
"P06","4",0.021,0.039,0.051,0.071,0.029,0.065,0.06
"P06","5",0.208,0.201,0.097,0.221,0.191,0.172,0.268
"P06","6",0.081,0.05,0.012,0.032,0.059,0.011,0.028
"P06","7",0.067,0.106,0.048,0.033,0.072,0.004,0.037
"P06","8",0.049,0.083,0.015,0.03,0.085,0.02,0.026
"P06","9",0.247,0.296,0.131,0.154,0.367,0.21,0.149
"P07","1",0.291,0.228,0.71,0.449,0.214,0.513,0.374
"P07","2",0.04,0.029,0.018,0.048,0.024,0.051,0.021
"P07","3",0.033,0.043,0.045,0.038,0.032,0.069,0.017
"P07","4",0.034,0.024,0.012,0.042,0.006,0.005,0.028
"P07","5",0.118,0.143,0.049,0.095,0.145,0.102,0.141
"P07","6",0.026,0.027,0.019,0.019,0.036,0.011,0.024
"P07","7",0.027,0.05,0.006,0.008,0.046,0.003,0.042
"P07","8",0.022,0.052,0.016,0.015,0.065,0.005,0.014
"P07","9",0.409,0.404,0.125,0.286,0.432,0.241,0.339
"P09","Del Frente de Todos y el peronismo",0.088,0.026,0.859,0.755,0.061,0.418,0.3
"P09","De Juntos por el cambio",0.708,0.772,0.03,0.043,0.095,0.029,0.145
"P09","De los Liberales libertarios",0.062,0.11,0.028,0.037,0.723,0.061,0.061
"P09","De la Izquierda",0.017,0.012,0.022,0.014,0.021,0.432,0.043
"P09","No sabe",0.125,0.08,0.061,0.151,0.1,0.06,0.451
"P10","A Alberto Fernández",0.21,0.235,0.083,0.105,0.107,0.068,0.338
"P10","A Sergio Massa",0.456,0.234,0.089,0.385,0.469,0.061,0.046
"P10","A algún candidato del peronismo",0.278,0.452,0.122,0.191,0.286,0.253,0.253
"P10","A algún candidato del kirchnerismo",0.056,0.079,0.706,0.319,0.138,0.618,0.363
"P11","A Alberto Fernández",0.305,0.245,0.058,0.072,0.021,0.057,0.248
"P11","A Sergio Massa",0.352,0.097,0.04,0.244,0.454,0,0.019
"P11","A algún candidato del peronismo",0.291,0.364,0.066,0.139,0.155,0.253,0.182
"P11","A Cristina Fernández de Kirchner",0.052,0.294,0.836,0.545,0.37,0.69,0.551
"P12","A Horacio Rodriguez Larreta",0.725,0.08,0.102,0.345,0.261,0.49,0.505
"P12","A Patricia Bullrich",0.14,0.887,0.131,0.025,0.62,0,0.132
"P12","A Facundo Manes",0.063,0.015,0.68,0.613,0.096,0.32,0.155
"P12","A Gerardo Morales",0.072,0.018,0.087,0.017,0.023,0.19,0.208
"P13","Lo votaría",0.086,0.017,0.142,0.487,0.052,0.114,0.061
"P13","Puede que lo vote",0.083,0.115,0.466,0.344,0.067,0.183,0.178
"P13","Nunca lo votaría",0.749,0.834,0.222,0.059,0.819,0.499,0.473
"P13","No sabe",0.082,0.034,0.17,0.11,0.062,0.204,0.288
"P14","Lo votaría",0.057,0.007,0.164,0.264,0.027,0.083,0.131
"P14","Puede que lo vote",0.052,0.022,0.38,0.358,0.039,0.237,0.09
"P14","Nunca lo votaría",0.862,0.951,0.326,0.247,0.883,0.583,0.559
"P14","No sabe",0.029,0.02,0.13,0.131,0.051,0.097,0.22
"P15","Lo votaría",0.608,0.166,0.017,0.064,0.034,0.049,0.048
"P15","Puede que lo vote",0.234,0.468,0.072,0.117,0.208,0.09,0.159
"P15","Nunca lo votaría",0.116,0.31,0.895,0.744,0.687,0.853,0.628
"P15","No sabe",0.042,0.056,0.016,0.075,0.071,0.008,0.165
"P16","Lo votaría",0.215,0.087,0.011,0.069,0.052,0.068,0.07
"P16","Puede que lo vote",0.319,0.304,0.096,0.194,0.199,0.109,0.141
"P16","Nunca lo votaría",0.294,0.515,0.771,0.568,0.667,0.69,0.576
"P16","No sabe",0.172,0.094,0.122,0.169,0.082,0.133,0.213
"P17","La votaría",0.286,0.748,0.013,0.043,0.181,0.072,0.066
"P17","Puede que la vote",0.298,0.137,0.028,0.039,0.319,0.128,0.104
"P17","Nunca la votaría",0.347,0.092,0.929,0.855,0.435,0.732,0.622
"P17","No sabe",0.069,0.023,0.03,0.063,0.065,0.068,0.208
"P18","Lo votaría",0.127,0.175,0.024,0.041,0.715,0.061,0.048
"P18","Puede que lo vote",0.246,0.314,0.045,0.064,0.169,0.147,0.142
"P18","Nunca lo votaría",0.532,0.437,0.915,0.847,0.105,0.785,0.646
"P18","No sabe",0.095,0.074,0.016,0.048,0.011,0.007,0.164
"P19","La votaría",0.286,0.202,0.023,0.07,0.134,0.085,0.051
"P19","Puede que la vote",0.25,0.379,0.035,0.046,0.213,0.146,0.111
"P19","Nunca la votaría",0.389,0.334,0.902,0.828,0.595,0.724,0.655
"P19","No sabe",0.075,0.085,0.04,0.056,0.058,0.045,0.183
"P20","Lo votaría",0.062,0.022,0.506,0.164,0.03,0.138,0.077
"P20","Puede que lo vote",0.065,0.063,0.318,0.302,0.046,0.331,0.139
"P20","Nunca lo votaría",0.729,0.86,0.137,0.402,0.833,0.444,0.518
"P20","No sabe",0.144,0.055,0.039,0.132,0.091,0.087,0.266
"P21","Lo votaría",0.049,0.007,0.278,0.326,0.04,0.043,0.102
"P21","Puede que lo vote",0.056,0.021,0.435,0.36,0.048,0.39,0.207
"P21","Nunca lo votaría",0.825,0.945,0.215,0.218,0.867,0.489,0.484
"P21","No sabe",0.07,0.027,0.072,0.096,0.045,0.078,0.207
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.622,0.025,0.001,0.007,0.005,0,0.062
"P22","Patricia Bullrich por Juntos por el Cambio",0.148,0.851,0.007,0.005,0.066,0.008,0.027
"P22","Facundo Manes por Juntos por el Cambio",0.094,0.043,0.014,0.045,0.028,0.074,0.089
"P22","Alberto Fernández por el Frente de Todos",0.058,0.009,0.058,0.14,0.01,0.083,0.115
"P22","Sergio Massa por el Frente de Todos",0.009,0.007,0.06,0.43,0.021,0.023,0.047
"P22","Wado de Pedro por el Frente de Todos",0.016,0.012,0.628,0.112,0.012,0.249,0.046
"P22","Daniel Scioli por el Frente de Todos",0.008,0.003,0.154,0.197,0.017,0.006,0.135
"P22","Javier Milei por los liberales libertarios",0.029,0.029,0.017,0.002,0.796,0.046,0.023
"P22","Al candidato del Frente de Izquierda",0,0.004,0.02,0.002,0.006,0.422,0.025
"P22","No sabe",0.016,0.017,0.041,0.06,0.039,0.089,0.431
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.593,0.029,0.003,0.002,0.009,0,0.053
"P23","Patricia Bullrich por Juntos por el Cambio",0.064,0.823,0.005,0.001,0.052,0.006,0.043
"P23","María Eugenia Vidal por Juntos por el Cambio",0.192,0.072,0.012,0.037,0.036,0.021,0.03
"P23","Facundo Manes por Juntos por el Cambio",0.092,0.024,0.012,0.022,0.014,0.081,0.09
"P23","Sergio Massa por el Frente de Todos",0.024,0.009,0.066,0.54,0.02,0.022,0.053
"P23","Wado de Pedro por el Frente de Todos",0.005,0.007,0.642,0.097,0.016,0.25,0.043
"P23","Daniel Scioli por el Frente de Todos",0.007,0.005,0.187,0.244,0.006,0.017,0.146
"P23","Javier Milei por los liberales libertarios",0.016,0.022,0.015,0.004,0.823,0.047,0.024
"P23","Al candidato del Frente de Izquierda",0,0.001,0.028,0.007,0.001,0.447,0.017
"P23","No sabe",0.007,0.008,0.03,0.046,0.023,0.109,0.501
