"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P15","Puede que lo vote",0.08,0.411,0.216,0.197,0.166
"P15","Nunca lo votaría",0.858,0.305,0.641,0.682,0.637
"P15","No sabe",0.029,0.038,0.06,0.042,0.135
"P16","Lo votaría",0.039,0.119,0.065,0.108,0.044
"P16","Puede que lo vote",0.13,0.313,0.203,0.153,0.201
"P16","Nunca lo votaría",0.719,0.471,0.618,0.634,0.541
"P16","No sabe",0.112,0.097,0.114,0.105,0.214
"P17","La votaría",0.024,0.686,0.188,0.062,0.027
"P17","Puede que la vote",0.019,0.2,0.338,0.116,0.064
"P17","Nunca la votaría",0.928,0.097,0.418,0.753,0.741
"P17","No sabe",0.029,0.017,0.056,0.069,0.168
"P18","Lo votaría",0.013,0.165,0.702,0.092,0.024
"P18","Puede que lo vote",0.029,0.331,0.217,0.106,0.116
"P18","Nunca lo votaría",0.942,0.439,0.065,0.768,0.727
"P18","No sabe",0.016,0.065,0.016,0.034,0.133
"P19","La votaría",0.043,0.231,0.134,0.06,0.045
"P19","Puede que la vote",0.015,0.376,0.233,0.111,0.135
"P19","Nunca la votaría",0.911,0.324,0.584,0.787,0.708
"P19","No sabe",0.031,0.069,0.049,0.042,0.112
"P20","Lo votaría",0.43,0.032,0.043,0.013,0.042
"P20","Puede que lo vote",0.374,0.069,0.059,0.271,0.124
"P20","Nunca lo votaría",0.14,0.839,0.81,0.631,0.612
"P20","No sabe",0.056,0.06,0.088,0.085,0.222
"P21","Lo votaría",0.326,0.013,0.047,0.018,0.112
"P21","Puede que lo vote",0.446,0.024,0.065,0.304,0.249
"P21","Nunca lo votaría",0.145,0.939,0.869,0.575,0.465
"P21","No sabe",0.083,0.024,0.019,0.103,0.174
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.002,0.137,0.029,0.111,0.074
"P22","Patricia Bullrich por Juntos por el Cambio",0.006,0.73,0.063,0.003,0.024
"P22","Facundo Manes por Juntos por el Cambio",0.028,0.063,0.044,0.088,0.071
"P22","Alberto Fernández por el Frente de Todos",0.1,0.009,0.013,0.082,0.116
"P22","Sergio Massa por el Frente de Todos",0.174,0.01,0.017,0.087,0.192
"P22","Wado de Pedro por el Frente de Todos",0.452,0.003,0.021,0.098,0.038
"P22","Daniel Scioli por el Frente de Todos",0.187,0.003,0.013,0.076,0.129
"P22","Javier Milei por los liberales libertarios",0.001,0.024,0.763,0.089,0.051
"P22","Al candidato del Frente de Izquierda",0.017,0.003,0,0.311,0.001
"P22","No sabe",0.033,0.018,0.037,0.055,0.304
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.001,0.123,0.04,0.111,0.092
"P23","Patricia Bullrich por Juntos por el Cambio",0.006,0.664,0.044,0.003,0.033
"P23","María Eugenia Vidal por Juntos por el Cambio",0.018,0.106,0.039,0.009,0.041
"P23","Facundo Manes por Juntos por el Cambio",0.018,0.05,0.029,0.095,0.065
"P23","Sergio Massa por el Frente de Todos",0.229,0.006,0.025,0.144,0.225
"P23","Wado de Pedro por el Frente de Todos",0.468,0.002,0.023,0.095,0.04
"P23","Daniel Scioli por el Frente de Todos",0.216,0.004,0.005,0.057,0.145
"P23","Javier Milei por los liberales libertarios",0.001,0.03,0.781,0.089,0.042
"P23","Al candidato del Frente de Izquierda",0.024,0,0.005,0.331,0.002
"P23","No sabe",0.019,0.015,0.009,0.066,0.315
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.002,0.115,0.034,0.106,0.085
"P24","Patricia Bullrich por Juntos por el Cambio",0.013,0.687,0.04,0,0.032
"P24","María Eugenia Vidal por Juntos por el Cambio",0.01,0.101,0.041,0.018,0.025
"P24","Facundo Manes por Juntos por el Cambio",0.019,0.052,0.031,0.099,0.084
"P24","Sergio Massa por el Frente de Todos",0.244,0.002,0.023,0.136,0.21
"P24","Wado de Pedro por el Frente de Todos",0.527,0.002,0.021,0.082,0.046
"P24","Alberto Fernández por el Frente de Todos",0.14,0.007,0.014,0.034,0.166
"P24","Javier Milei por los liberales libertarios",0.005,0.023,0.773,0.122,0.04
"P24","Al candidato del Frente de Izquierda",0.014,0.002,0,0.312,0
"P24","No sabe",0.026,0.009,0.023,0.091,0.312
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.147,0.045,0.13,0.071
"P25","Patricia Bullrich por Juntos por el Cambio",0.019,0.579,0.055,0.015,0.009
"P25","Facundo Manes por Juntos por el Cambio",0.006,0.186,0.021,0.082,0.082
"P25","Sergio Massa por el Frente de Todos",0.189,0.008,0.034,0.114,0.187
"P25","Wado de Pedro por el Frente de Todos",0.474,0.004,0.036,0.039,0.068
"P25","Daniel Scioli por el Frente de Todos",0.258,0.007,0.018,0.146,0.162
"P25","Javier Milei por los liberales libertario",0.016,0.045,0.386,0.055,0.087
"P25","Al candidato del Frente de Izquierda",0.007,0.012,0.395,0.278,0.03
"P25","No sabe",0.028,0.012,0.01,0.141,0.304
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.189,0.048,0.129,0.079
"P26","Patricia Bulrich por Juntos por el Cambio",0.03,0.713,0.058,0.003,0.059
"P26","Alberto Fernández por el Frente de Todos",0.184,0.01,0.013,0.042,0.177
"P26","Sergio Massa por el Frente de Todos",0.523,0.009,0.045,0.15,0.216
"P26","Javier Milei por los liberales libertarios",0.032,0.051,0.742,0.089,0.058
"P26","Al candidato del Frente de Izquierda",0.078,0.011,0.008,0.509,0.021
"P26","No sabe",0.132,0.017,0.086,0.078,0.39
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.193,0.048,0.144,0.093
"P27","Patricia Bullrich por Juntos por el Cambio",0.007,0.735,0.054,0.004,0.043
"P27","Wado de Pedro por el Frente de Todos",0.521,0.003,0.025,0.026,0.068
"P27","Sergio Massa por el Frente de Todos",0.338,0.006,0.044,0.182,0.26
"P27","Javier Milei por los liberales libertarios",0.023,0.046,0.813,0.097,0.056
"P27","Al candidato del Frente de Izquierda",0.04,0.002,0.008,0.474,0.016
"P27","No sabe",0.049,0.015,0.008,0.073,0.464
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.184,0.074,0.136,0.092
"P28","Patricia Bullrich por Juntos por el Cambio",0.008,0.747,0.042,0,0.031
"P28","Wado de Pedro por el Frente de Todos",0.554,0.002,0.021,0.056,0.056
"P28","Daniel Scioli por el Frente de Todos",0.324,0.002,0.009,0.131,0.242
"P28","Javier Milei por los liberales libertarios",0.02,0.043,0.839,0.103,0.066
"P28","Al candidato del Frente de Izquierda",0.028,0.002,0.008,0.526,0.02
"P28","No sabe",0.049,0.02,0.007,0.048,0.493
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.005,0.281,0.056,0.119,0.107
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.011,0.626,0.035,0.024,0.018
