"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.495,0.396,0.485,0.518,0.396
"P04","Realizo changas o trabajos de vez en cuando",0.151,0.163,0.223,0.188,0.187
"P04","No tengo trabajo",0.142,0.14,0.197,0.137,0.204
"P04","Soy jubilado o pensionado",0.212,0.301,0.095,0.157,0.213
"P05","1",0.2,0.368,0.389,0.182,0.261
"P05","2",0.051,0.068,0.098,0.09,0.074
"P05","3",0.027,0.065,0.102,0.027,0.052
"P05","4",0.041,0.119,0.077,0.045,0.084
"P05","5",0.157,0.209,0.176,0.142,0.22
"P05","6",0.079,0.046,0.027,0.025,0.049
"P05","7",0.148,0.036,0.02,0.119,0.052
"P05","8",0.074,0.014,0.025,0.12,0.053
"P05","9",0.223,0.075,0.086,0.25,0.155
"P06","1",0.427,0.194,0.109,0.303,0.323
"P06","2",0.085,0.027,0.044,0.101,0.032
"P06","3",0.074,0.034,0.04,0.063,0.058
"P06","4",0.063,0.041,0.037,0.039,0.06
"P06","5",0.166,0.211,0.179,0.166,0.227
"P06","6",0.018,0.065,0.059,0.035,0.024
"P06","7",0.034,0.081,0.073,0.018,0.074
"P06","8",0.02,0.087,0.094,0.036,0.03
"P06","9",0.113,0.26,0.365,0.239,0.172
"P07","1",0.578,0.211,0.23,0.574,0.393
"P07","2",0.044,0.029,0.015,0.043,0.021
"P07","3",0.043,0.042,0.044,0.048,0.027
"P07","4",0.028,0.038,0.01,0.003,0.026
"P07","5",0.072,0.142,0.139,0.071,0.123
"P07","6",0.018,0.027,0.039,0.028,0.02
"P07","7",0.012,0.043,0.048,0.014,0.027
"P07","8",0.014,0.038,0.068,0.008,0.034
"P07","9",0.191,0.43,0.407,0.211,0.329
"P09","Del Frente de Todos y el peronismo",0.873,0.064,0.035,0.35,0.33
"P09","De Juntos por el cambio",0.027,0.808,0.226,0.145,0.247
"P09","De los Liberales libertarios",0.013,0.043,0.648,0.033,0.064
"P09","De la Izquierda",0.004,0.008,0.016,0.34,0.03
"P09","No sabe",0.083,0.077,0.075,0.132,0.329
"P10","A Alberto Fernández",0.095,0.255,0.307,0.072,0.139
"P10","A Sergio Massa",0.27,0.241,0.393,0.039,0.088
"P10","A algún candidato del peronismo",0.16,0.332,0.245,0.299,0.196
"P10","A algún candidato del kirchnerismo",0.475,0.172,0.055,0.59,0.577
"P11","A Alberto Fernández",0.07,0.203,0.081,0.058,0.14
"P11","A Sergio Massa",0.154,0.168,0.391,0.019,0.074
"P11","A algún candidato del peronismo",0.107,0.349,0.203,0.151,0.091
"P11","A Cristina Fernández de Kirchner",0.669,0.28,0.325,0.772,0.695
"P12","A Horacio Rodriguez Larreta",0.175,0.381,0.138,0.179,0.062
"P12","A Patricia Bullrich",0.148,0.528,0.848,0.401,0.794
"P12","A Facundo Manes",0.57,0.049,0.012,0.113,0.045
"P12","A Gerardo Morales",0.107,0.042,0.002,0.307,0.099
"P13","Lo votaría",0.378,0.054,0.02,0.037,0.056
"P13","Puede que lo vote",0.464,0.095,0.089,0.249,0.174
"P13","Nunca lo votaría",0.058,0.809,0.836,0.525,0.528
"P13","No sabe",0.1,0.042,0.055,0.189,0.242
"P14","Lo votaría",0.26,0.017,0.014,0.085,0.059
"P14","Puede que lo vote",0.391,0.038,0.026,0.204,0.117
"P14","Nunca lo votaría",0.23,0.936,0.924,0.586,0.629
"P14","No sabe",0.119,0.009,0.036,0.125,0.195
"P15","Lo votaría",0.049,0.398,0.035,0.031,0.022
"P15","Puede que lo vote",0.099,0.432,0.243,0.108,0.185
"P15","Nunca lo votaría",0.827,0.133,0.666,0.778,0.666
"P15","No sabe",0.025,0.037,0.056,0.083,0.127
"P16","Lo votaría",0.037,0.179,0.054,0.051,0.038
"P16","Puede que lo vote",0.158,0.346,0.189,0.175,0.168
"P16","Nunca lo votaría",0.687,0.358,0.683,0.563,0.595
"P16","No sabe",0.118,0.117,0.074,0.211,0.199
"P17","La votaría",0.02,0.564,0.351,0.083,0.212
"P17","Puede que la vote",0.023,0.211,0.282,0.123,0.09
"P17","Nunca la votaría",0.924,0.196,0.309,0.746,0.566
"P17","No sabe",0.033,0.029,0.058,0.048,0.132
"P18","Lo votaría",0.021,0.1,0.666,0.038,0.043
"P18","Puede que lo vote",0.042,0.283,0.248,0.179,0.147
"P18","Nunca lo votaría",0.909,0.553,0.064,0.74,0.685
"P18","No sabe",0.028,0.064,0.022,0.043,0.125
"P19","La votaría",0.044,0.288,0.134,0.032,0.052
"P19","Puede que la vote",0.043,0.342,0.277,0.16,0.138
"P19","Nunca la votaría",0.884,0.33,0.537,0.715,0.657
"P19","No sabe",0.029,0.04,0.052,0.093,0.153
"P20","Lo votaría",0.327,0.051,0.029,0.151,0.14
"P20","Puede que lo vote",0.333,0.088,0.052,0.287,0.127
"P20","Nunca lo votaría",0.259,0.787,0.848,0.365,0.572
"P20","No sabe",0.081,0.074,0.071,0.197,0.161
"P21","Lo votaría",0.338,0.03,0.025,0.053,0.086
"P21","Puede que lo vote",0.439,0.048,0.038,0.343,0.193
"P21","Nunca lo votaría",0.158,0.898,0.911,0.442,0.565
"P21","No sabe",0.065,0.024,0.026,0.162,0.156
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.277,0.008,0.008,0.005
"P22","Patricia Bullrich por Juntos por el Cambio",0.012,0.532,0.281,0.097,0.26
"P22","Facundo Manes por Juntos por el Cambio",0.022,0.096,0.022,0.053,0.073
"P22","Alberto Fernández por el Frente de Todos",0.107,0.03,0.011,0.117,0.061
"P22","Sergio Massa por el Frente de Todos",0.281,0.015,0.015,0.015,0.029
"P22","Wado de Pedro por el Frente de Todos",0.324,0.01,0.016,0.231,0.163
"P22","Daniel Scioli por el Frente de Todos",0.198,0.006,0.011,0.057,0.099
"P22","Javier Milei por los liberales libertarios",0.002,0.01,0.628,0.023,0.036
"P22","Al candidato del Frente de Izquierda",0.005,0.003,0,0.31,0.007
"P22","No sabe",0.046,0.021,0.008,0.089,0.267
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.259,0.012,0.015,0.016
"P23","Patricia Bullrich por Juntos por el Cambio",0.01,0.462,0.257,0.056,0.266
"P23","María Eugenia Vidal por Juntos por el Cambio",0.02,0.158,0.026,0.038,0.022
"P23","Facundo Manes por Juntos por el Cambio",0.009,0.072,0.015,0.095,0.066
"P23","Sergio Massa por el Frente de Todos",0.349,0.016,0.012,0.055,0.043
"P23","Wado de Pedro por el Frente de Todos",0.339,0.006,0.019,0.232,0.159
"P23","Daniel Scioli por el Frente de Todos",0.203,0.012,0.005,0.072,0.127
"P23","Javier Milei por los liberales libertarios",0.015,0.003,0.646,0.02,0.037
"P23","Al candidato del Frente de Izquierda",0.016,0.001,0,0.329,0.003
"P23","No sabe",0.035,0.011,0.008,0.088,0.261
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.248,0.008,0.015,0.012
"P24","Patricia Bullrich por Juntos por el Cambio",0.016,0.467,0.269,0.066,0.278
"P24","María Eugenia Vidal por Juntos por el Cambio",0.01,0.149,0.033,0.042,0.015
"P24","Facundo Manes por Juntos por el Cambio",0.009,0.077,0.012,0.099,0.085
"P24","Sergio Massa por el Frente de Todos",0.37,0.008,0.004,0.018,0.045
