"var","categoria","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P04","Tengo trabajo estable",0.385,0.517,0.501,0.563,0.425
"P04","Realizo changas o trabajos de vez en cuando",0.133,0.145,0.214,0.212,0.215
"P04","No tengo trabajo",0.179,0.134,0.209,0.135,0.179
"P04","Soy jubilado o pensionado",0.303,0.204,0.076,0.09,0.181
"P05","1",0.377,0.183,0.382,0.275,0.259
"P05","2",0.08,0.056,0.108,0.02,0.063
"P05","3",0.087,0.034,0.086,0.022,0.047
"P05","4",0.118,0.062,0.072,0.008,0.061
"P05","5",0.197,0.174,0.195,0.102,0.213
"P05","6",0.043,0.08,0.03,0.011,0.038
"P05","7",0.024,0.159,0.017,0.117,0.061
"P05","8",0.02,0.067,0.026,0.171,0.064
"P05","9",0.054,0.185,0.084,0.274,0.194
"P06","1",0.179,0.379,0.108,0.309,0.394
"P06","2",0.028,0.081,0.038,0.141,0.054
"P06","3",0.039,0.069,0.05,0.099,0.058
"P06","4",0.041,0.086,0.037,0.036,0.055
"P06","5",0.194,0.173,0.179,0.202,0.178
"P06","6",0.065,0.022,0.057,0.003,0.026
"P06","7",0.103,0.044,0.061,0.028,0.046
"P06","8",0.087,0.026,0.114,0.038,0.03
"P06","9",0.264,0.12,0.356,0.144,0.159
"P07","1",0.231,0.555,0.194,0.626,0.428
"P07","2",0.025,0.044,0.022,0.033,0.028
"P07","3",0.048,0.054,0.04,0.068,0.017
"P07","4",0.031,0.035,0.005,0.007,0.021
"P07","5",0.129,0.078,0.146,0.091,0.102
"P07","6",0.03,0.018,0.047,0.014,0.022
"P07","7",0.048,0.008,0.061,0.011,0.03
"P07","8",0.042,0.019,0.069,0.017,0.03
"P07","9",0.416,0.189,0.416,0.133,0.322
"P09","Del Frente de Todos y el peronismo",0.065,0.816,0.037,0.447,0.447
"P09","De Juntos por el cambio",0.774,0.088,0.142,0.107,0.169
"P09","De los Liberales libertarios",0.093,0.017,0.732,0.01,0.048
"P09","De la Izquierda",0.002,0.003,0.009,0.364,0.017
"P09","No sabe",0.066,0.076,0.08,0.072,0.319
"P10","A Alberto Fernández",0.518,0.078,0.115,0.037,0.139
"P10","A Sergio Massa",0.122,0.295,0.315,0.062,0.11
"P10","A algún candidato del peronismo",0.256,0.153,0.512,0.231,0.203
"P10","A algún candidato del kirchnerismo",0.104,0.474,0.058,0.67,0.548
"P11","A Alberto Fernández",0.33,0.056,0.04,0.02,0.132
"P11","A Sergio Massa",0.067,0.16,0.58,0.028,0.08
"P11","A algún candidato del peronismo",0.285,0.108,0.178,0.2,0.073
"P11","A Cristina Fernández de Kirchner",0.318,0.676,0.202,0.752,0.715
"P12","A Horacio Rodriguez Larreta",0.232,0.193,0.33,0.575,0.406
"P12","A Patricia Bullrich",0.702,0.355,0.637,0.209,0.409
"P12","A Facundo Manes",0.03,0.176,0.022,0.19,0.085
"P12","A Gerardo Morales",0.036,0.276,0.011,0.026,0.1
"P13","Lo votaría",0.04,0.338,0.027,0.096,0.084
"P13","Puede que lo vote",0.085,0.48,0.098,0.204,0.223
"P13","Nunca lo votaría",0.838,0.096,0.834,0.486,0.445
"P13","No sabe",0.037,0.086,0.041,0.214,0.248
"P14","Lo votaría",0.027,0.242,0.008,0.066,0.099
"P14","Puede que lo vote",0.033,0.389,0.031,0.304,0.141
"P14","Nunca lo votaría",0.926,0.258,0.916,0.57,0.565
"P14","No sabe",0.014,0.111,0.045,0.06,0.195
"P15","Lo votaría",0.272,0.052,0.038,0.076,0.068
"P15","Puede que lo vote",0.406,0.131,0.245,0.101,0.133
"P15","Nunca lo votaría",0.285,0.803,0.664,0.774,0.679
"P15","No sabe",0.037,0.014,0.053,0.049,0.12
"P16","Lo votaría",0.136,0.03,0.046,0.087,0.034
"P16","Puede que lo vote",0.316,0.172,0.195,0.227,0.14
"P16","Nunca lo votaría",0.455,0.668,0.667,0.592,0.626
"P16","No sabe",0.093,0.13,0.092,0.094,0.2
"P17","La votaría",0.679,0.047,0.234,0.057,0.057
"P17","Puede que la vote",0.198,0.033,0.336,0.116,0.076
"P17","Nunca la votaría",0.102,0.888,0.387,0.808,0.73
"P17","No sabe",0.021,0.032,0.043,0.019,0.137
"P18","Lo votaría",0.145,0.02,0.744,0.004,0.024
"P18","Puede que lo vote",0.33,0.063,0.188,0.115,0.118
"P18","Nunca lo votaría",0.453,0.891,0.053,0.867,0.745
"P18","No sabe",0.072,0.026,0.015,0.014,0.113
"P19","La votaría",0.24,0.048,0.142,0.013,0.033
"P19","Puede que la vote",0.366,0.068,0.264,0.109,0.089
"P19","Nunca la votaría",0.332,0.851,0.556,0.851,0.756
"P19","No sabe",0.062,0.033,0.038,0.027,0.122
"P20","Lo votaría",0.038,0.302,0.027,0.185,0.2
"P20","Puede que lo vote",0.079,0.331,0.044,0.358,0.152
"P20","Nunca lo votaría",0.82,0.291,0.872,0.365,0.492
"P20","No sabe",0.063,0.076,0.057,0.092,0.156
"P21","Lo votaría",0.023,0.304,0.033,0.055,0.13
"P21","Puede que lo vote",0.022,0.441,0.038,0.425,0.253
"P21","Nunca lo votaría",0.931,0.197,0.909,0.44,0.451
"P21","No sabe",0.024,0.058,0.02,0.08,0.166
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.142,0.02,0.021,0.054,0.063
"P22","Patricia Bullrich por Juntos por el Cambio",0.696,0.037,0.106,0.011,0.114
"P22","Facundo Manes por Juntos por el Cambio",0.069,0.029,0.035,0.073,0.061
"P22","Alberto Fernández por el Frente de Todos",0.019,0.097,0.006,0.071,0.09
"P22","Sergio Massa por el Frente de Todos",0.005,0.264,0.013,0.051,0.07
"P22","Wado de Pedro por el Frente de Todos",0.02,0.304,0.006,0.29,0.213
"P22","Daniel Scioli por el Frente de Todos",0.005,0.218,0.009,0.067,0.098
"P22","Javier Milei por los liberales libertarios",0.022,0.001,0.782,0,0.024
"P22","Al candidato del Frente de Izquierda",0.003,0.001,0,0.297,0.012
"P22","No sabe",0.019,0.029,0.022,0.086,0.255
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.129,0.023,0.026,0.062,0.075
"P23","Patricia Bullrich por Juntos por el Cambio",0.632,0.037,0.103,0.002,0.104
"P23","María Eugenia Vidal por Juntos por el Cambio",0.107,0.016,0.019,0.011,0.044
"P23","Facundo Manes por Juntos por el Cambio",0.055,0.033,0.024,0.085,0.046
"P23","Sergio Massa por el Frente de Todos",0.01,0.344,0.006,0.055,0.086
"P23","Wado de Pedro por el Frente de Todos",0.02,0.316,0.009,0.296,0.213
"P23","Daniel Scioli por el Frente de Todos",0.005,0.206,0.003,0.082,0.145
"P23","Javier Milei por los liberales libertarios",0.022,0.004,0.803,0,0.02
"P23","Al candidato del Frente de Izquierda",0.007,0.003,0.001,0.327,0.013
"P23","No sabe",0.013,0.018,0.006,0.08,0.254
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.125,0.026,0.017,0.043,0.071
"P24","Patricia Bullrich por Juntos por el Cambio",0.657,0.039,0.106,0.003,0.105
"P24","María Eugenia Vidal por Juntos por el Cambio",0.101,0.008,0.028,0.022,0.028
"P24","Facundo Manes por Juntos por el Cambio",0.058,0.028,0.021,0.069,0.063
