"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P23","María Eugenia Vidal por Juntos por el Cambio",0.018,0.143,0.026,0.073,0.029
"P23","Facundo Manes por Juntos por el Cambio",0.016,0.069,0.017,0.061,0.068
"P23","Sergio Massa por el Frente de Todos",0.227,0.031,0.014,0.111,0.165
"P23","Wado de Pedro por el Frente de Todos",0.475,0.002,0.007,0.04,0.037
"P23","Daniel Scioli por el Frente de Todos",0.206,0.006,0.006,0.071,0.13
"P23","Javier Milei por los liberales libertarios",0.009,0.017,0.653,0.043,0.03
"P23","Al candidato del Frente de Izquierda",0.017,0.003,0.001,0.449,0.003
"P23","No sabe",0.027,0.014,0.006,0.075,0.275
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.241,0.004,0.022,0.007
"P24","Patricia Bullrich por Juntos por el Cambio",0.011,0.464,0.276,0.05,0.256
"P24","María Eugenia Vidal por Juntos por el Cambio",0.009,0.144,0.026,0.092,0.017
"P24","Facundo Manes por Juntos por el Cambio",0.018,0.074,0.011,0.075,0.087
"P24","Sergio Massa por el Frente de Todos",0.252,0.025,0.005,0.119,0.157
"P24","Wado de Pedro por el Frente de Todos",0.53,0.002,0.004,0.044,0.046
"P24","Alberto Fernández por el Frente de Todos",0.131,0.018,0.018,0.06,0.127
"P24","Javier Milei por los liberales libertarios",0.003,0.017,0.64,0.043,0.033
"P24","Al candidato del Frente de Izquierda",0.003,0.005,0.001,0.429,0.003
"P24","No sabe",0.033,0.01,0.015,0.066,0.267
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.26,0.011,0.029,0.032
"P25","Patricia Bullrich por Juntos por el Cambio",0.016,0.423,0.224,0.131,0.204
"P25","Facundo Manes por Juntos por el Cambio",0.006,0.148,0.073,0.057,0.115
"P25","Sergio Massa por el Frente de Todos",0.197,0.038,0.014,0.048,0.151
"P25","Wado de Pedro por el Frente de Todos",0.474,0.01,0.011,0.066,0.062
"P25","Daniel Scioli por el Frente de Todos",0.262,0.014,0.014,0.097,0.13
"P25","Javier Milei por los liberales libertario",0.013,0.084,0.315,0.044,0.043
"P25","Al candidato del Frente de Izquierda",0.01,0.003,0.33,0.285,0.023
"P25","No sabe",0.016,0.02,0.008,0.243,0.24
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.33,0.018,0.047,0.021
"P26","Patricia Bulrich por Juntos por el Cambio",0.021,0.527,0.259,0.082,0.275
"P26","Alberto Fernández por el Frente de Todos",0.178,0.018,0.013,0.078,0.143
"P26","Sergio Massa por el Frente de Todos",0.537,0.038,0.022,0.083,0.13
"P26","Javier Milei por los liberales libertarios",0.034,0.039,0.631,0.021,0.063
"P26","Al candidato del Frente de Izquierda",0.08,0.015,0.003,0.58,0.023
"P26","No sabe",0.123,0.033,0.054,0.109,0.345
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.369,0.006,0.074,0.005
"P27","Patricia Bullrich por Juntos por el Cambio",0.005,0.528,0.27,0.097,0.272
"P27","Wado de Pedro por el Frente de Todos",0.502,0.005,0.005,0.1,0.063
"P27","Sergio Massa por el Frente de Todos",0.353,0.037,0.019,0.127,0.196
"P27","Javier Milei por los liberales libertarios",0.027,0.027,0.689,0.027,0.057
"P27","Al candidato del Frente de Izquierda",0.042,0.005,0.003,0.532,0.02
"P27","No sabe",0.051,0.029,0.008,0.043,0.387
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.009,0.39,0.013,0.047,0.017
"P28","Patricia Bullrich por Juntos por el Cambio",0.01,0.534,0.261,0.088,0.265
"P28","Wado de Pedro por el Frente de Todos",0.557,0.003,0.002,0.09,0.042
"P28","Daniel Scioli por el Frente de Todos",0.315,0.014,0.009,0.083,0.195
"P28","Javier Milei por los liberales libertarios",0.025,0.023,0.707,0.03,0.061
"P28","Al candidato del Frente de Izquierda",0.024,0.006,0.003,0.6,0.025
"P28","No sabe",0.06,0.03,0.005,0.062,0.395
"P29","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.014,0.394,0.052,0.055,0.061
"P29","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio",0.006,0.489,0.213,0.138,0.194
"P29","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.289,0.046,0.014,0.177,0.162
"P29","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos",0.607,0.01,0.005,0.027,0.052
"P29","Javier Milei presidente y su candidato a vice",0.009,0.018,0.698,0.048,0.08
"P29","A los candidatos de la izquierda",0.029,0.004,0.002,0.542,0.019
"P29","No sabe",0.046,0.039,0.016,0.013,0.432
"P30","Alberto Fernández por el Frente de Todos",0.696,0.056,0.009,0.11,0.196
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.806,0.027,0.061,0.038
"P30","Javier Milei por los liberales libertarios",0.021,0.039,0.913,0.024,0.044
"P30","Al candidato del Frente de Izquierda",0.071,0.014,0.008,0.795,0.018
"P30","No sabe",0.177,0.085,0.043,0.01,0.704
"P31","Sergio Massa por el Frente de Todos",0.766,0.035,0.015,0.146,0.196
"P31","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.875,0.02,0.026,0.041
"P31","Javier Milei por los liberales libertarios",0.008,0.042,0.941,0.049,0.028
"P31","Al candidato del Frente de Izquierda",0.057,0.009,0.011,0.761,0.016
"P31","No sabe",0.142,0.039,0.013,0.018,0.719
"P33","Daniel Scioli por el Frente de Todos",0.837,0.037,0.013,0.099,0.176
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.923,0.017,0.012,0.055
"P33","Javier Milei por los liberales libertarios",0.002,0.018,0.953,0.03,0.021
"P33","Al candidato del Frente de Izquierda",0.039,0.001,0.005,0.849,0.014
"P33","No sabe",0.098,0.021,0.012,0.01,0.734
"P34","Sergio Massa por el Frente de Todos",0.805,0.058,0.018,0.141,0.19
"P34","Patricia Bullrich por Juntos por el Cambio",0.012,0.8,0.276,0.113,0.26
"P34","Javier Milei por los liberales libertarios",0.002,0.053,0.699,0.062,0.032
"P34","Al candidato del Frente de Izquierda",0.05,0.013,0,0.684,0.021
"P34","No sabe",0.131,0.076,0.007,0,0.497
"P35","Alberto Fernández por el Frente de Todos",0.759,0.042,0.013,0.136,0.216
"P35","Patricia Bullrich por Juntos por el Cambio",0.006,0.808,0.306,0.099,0.252
"P35","Javier Milei por los liberales libertarios",0.025,0.05,0.669,0.042,0.039
"P35","Al candidato del Frente de Izquierda",0.083,0.03,0.007,0.687,0.024
"P35","No sabe",0.127,0.07,0.005,0.036,0.469
"P36","Wado de Pedro por el Frente de Todos",0.918,0.011,0.008,0.109,0.054
"P36","Patricia Bullrich por Juntos por el Cambio",0.007,0.816,0.296,0.119,0.274
"P36","Javier Milei por los liberales libertarios",0.009,0.071,0.667,0.036,0.038
"P36","Al candidato del Frente de Izquierda",0.022,0.027,0.014,0.679,0.019
"P36","No sabe",0.044,0.075,0.015,0.057,0.615
"P37","Daniel Scioli por el Frente de Todos",0.84,0.051,0.01,0.144,0.176
"P37","Patricia Bullrich por Juntos por el Cambio",0.006,0.807,0.306,0.102,0.282
"P37","Javier Milei por los liberales libertarios",0.015,0.062,0.671,0.025,0.032
"P37","Al candidato del Frente de Izquierda",0.033,0.019,0,0.68,0.011
"P37","No sabe",0.106,0.061,0.013,0.049,0.499
"P38","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio",0.152,0.73,0.023,0.102,0.057
"P38","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.594,0.161,0.033,0.117,0.232
"P38","Javier Milei presidente y su candidato a vice",0.018,0.032,0.893,0.035,0.04
"P38","A los candidatos de la izquierda",0.067,0.02,0.006,0.675,0.017
"P38","No sabe",0.169,0.057,0.045,0.071,0.654
"P39","Patricia Bullrich presidenta – Gustavo Valdés vice por Juntos por el Cambio",0.039,0.78,0.259,0.072,0.21
"P39","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos",0.701,0.084,0.011,0.132,0.187
"P39","Javier Milei presidente y su candidato a vice",0,0.035,0.715,0.028,0.026
"P39","A los candidatos de la izquierda",0.072,0.017,0.002,0.629,0.018
"P39","No sabe",0.188,0.084,0.013,0.139,0.559
"P40","Sergio Massa por el Frente de Todos",0.866,0.054,0.067,0.435,0.287
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.892,0.411,0.156,0.141
"P40","No sabe",0.12,0.054,0.522,0.409,0.572
"P41","Alberto Fernández por el Frente de Todos",0.79,0.042,0.062,0.352,0.224
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.926,0.44,0.166,0.163
"P41","No sabe",0.176,0.032,0.498,0.482,0.613
"P42","Sergio Massa por el Frente de Todos",0.863,0.046,0.048,0.424,0.279
"P42","Patricia Bullrich por Juntos por el Cambio",0.017,0.857,0.704,0.17,0.317
"P42","No sabe",0.12,0.097,0.248,0.406,0.404
"P43","Alberto Fernández por el Frente de Todos",0.836,0.043,0.047,0.349,0.228
"P43","Patricia Bullrich por Juntos por el Cambio",0.014,0.845,0.734,0.096,0.329
"P43","No sabe",0.15,0.112,0.219,0.555,0.443
"P44","Wado de Pedro por el Frente de Todos",0.939,0.015,0.038,0.222,0.103
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.943,0.483,0.168,0.186
"P44","No sabe",0.049,0.042,0.479,0.61,0.711
"P45","Daniel Scioli por el Frente de Todos",0.874,0.025,0.053,0.292,0.236
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.936,0.459,0.174,0.163
"P45","No sabe",0.115,0.039,0.488,0.534,0.601
"P46","Wado de Pedro por el Frente de Todos",0.945,0.016,0.033,0.251,0.101
"P46","Patricia Bullrich por Juntos por el Cambio",0.008,0.854,0.718,0.192,0.323
"P46","No sabe",0.047,0.13,0.249,0.557,0.576
"P47","Daniel Scioli por el Frente de Todos",0.883,0.035,0.037,0.364,0.268
"P47","Patricia Bullrich por Juntos por el Cambio",0.007,0.86,0.758,0.185,0.321
"P47","No sabe",0.11,0.105,0.205,0.451,0.411
"P48","Horacio Rodríguez Larreta por Juntos por el Cambio",0.193,0.805,0.036,0.219,0.123
"P48","Javier Milei por los liberales libertarios",0.025,0.148,0.896,0.083,0.137
"P48","No sabe",0.782,0.047,0.068,0.698,0.74
"P49","Patricia Bullrich por Juntos por el Cambio",0.045,0.846,0.248,0.134,0.335
"P49","Javier Milei por los liberales libertarios",0.044,0.059,0.715,0.119,0.036
"P49","No sabe",0.911,0.095,0.037,0.747,0.629
"P50","Alberto Fernández por el Frente de Todos",0.756,0.175,0.046,0.369,0.237
