"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertario","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.408,0.352,0.42,0.41,0.471,0.518,0.486,0.534,0.358
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.151,0.131,0.23,0.183,0.165,0.243,0.201,0.285
"P04","No tengo trabajo",0.177,0.16,0.212,0.148,0.152,0.152,0.181,0.212,0.209
"P04","Soy jubilado o pensionado",0.198,0.337,0.237,0.212,0.194,0.165,0.09,0.053,0.148
"P05","1",0.373,0.409,0.372,0.231,0.157,0.179,0.343,0.369,0.221
"P05","2",0.086,0.072,0.062,0.076,0.052,0.069,0.088,0.073,0.074
"P05","3",0.049,0.081,0.091,0.058,0.02,0.029,0.078,0.063,0.041
"P05","4",0.088,0.097,0.118,0.076,0.032,0.041,0.076,0.044,0.078
"P05","5",0.205,0.202,0.218,0.178,0.127,0.154,0.218,0.198,0.233
"P05","6",0.04,0.035,0.027,0.074,0.053,0.059,0.037,0.042,0.048
"P05","7",0.039,0.028,0.025,0.08,0.162,0.123,0.03,0.024,0.036
"P05","8",0.024,0.018,0.008,0.051,0.125,0.081,0.022,0.043,0.065
"P05","9",0.096,0.058,0.079,0.176,0.272,0.265,0.108,0.144,0.204
"P06","1",0.22,0.174,0.213,0.299,0.5,0.403,0.135,0.119,0.269
"P06","2",0.058,0.033,0.037,0.062,0.074,0.077,0.047,0.082,0.047
"P06","3",0.031,0.024,0.051,0.08,0.066,0.065,0.044,0.037,0.015
"P06","4",0.021,0.037,0.043,0.083,0.05,0.052,0.055,0.016,0.031
"P06","5",0.185,0.193,0.196,0.264,0.11,0.149,0.183,0.201,0.282
"P06","6",0.059,0.048,0.062,0.031,0.016,0.024,0.055,0.055,0.047
"P06","7",0.051,0.1,0.088,0.024,0.043,0.032,0.123,0.059,0.05
"P06","8",0.072,0.08,0.043,0.031,0.033,0.026,0.061,0.062,0.043
"P06","9",0.303,0.311,0.267,0.126,0.108,0.172,0.297,0.369,0.216
"P07","1",0.327,0.224,0.282,0.4,0.707,0.532,0.217,0.234,0.37
"P07","2",0.032,0.027,0.022,0.061,0.024,0.023,0.034,0.037,0.025
"P07","3",0.027,0.033,0.036,0.041,0.037,0.033,0.031,0.034,0.037
"P07","4",0.038,0.015,0.034,0.062,0.015,0.012,0.015,0.006,0.018
"P07","5",0.111,0.15,0.097,0.107,0.06,0.024,0.166,0.13,0.143
"P07","6",0.02,0.028,0.027,0.033,0.003,0.022,0.007,0.06,0.034
"P07","7",0.023,0.046,0.042,0.008,0.006,0.023,0.057,0.036,0.022
"P07","8",0.026,0.049,0.046,0.011,0.011,0.017,0.059,0.046,0.02
"P07","9",0.396,0.428,0.414,0.277,0.137,0.314,0.414,0.417,0.331
"P09","Del Frente de Todos y el peronismo",0.069,0.028,0.075,0.7,0.827,0.761,0.11,0.031,0.245
"P09","De Juntos por el cambio",0.652,0.754,0.623,0.052,0.044,0.044,0.176,0.078,0.108
"P09","De los Liberales libertarios",0.084,0.13,0.118,0.039,0.035,0.014,0.56,0.733,0.025
"P09","De la Izquierda",0.057,0.008,0.044,0.01,0.03,0.018,0.022,0.075,0.102
"P09","No sabe",0.138,0.08,0.14,0.199,0.064,0.163,0.132,0.083,0.52
"P10","A Alberto Fernández",0.363,0.263,0.429,0.082,0.075,0.141,0.239,0.208,0.353
"P10","A Sergio Massa",0.276,0.286,0.089,0.525,0.126,0.119,0.18,0.1,0.04
"P10","A algún candidato del peronismo",0.361,0.313,0.356,0.161,0.106,0.26,0.343,0.502,0.185
"P10","A algún candidato del kirchnerismo",0,0.138,0.126,0.232,0.693,0.48,0.238,0.19,0.422
"P11","A Alberto Fernández",0.311,0.334,0.182,0.068,0.014,0.124,0.193,0.04,0.277
"P11","A Sergio Massa",0.276,0.069,0.059,0.364,0.083,0.05,0.165,0.1,0.006
"P11","A algún candidato del peronismo",0.398,0.292,0.548,0.098,0.081,0.157,0.162,0.47,0.118
"P11","A Cristina Fernández de Kirchner",0.015,0.305,0.211,0.47,0.822,0.669,0.48,0.39,0.599
"P12","A Horacio Rodriguez Larreta",0.741,0.059,0.2,0.179,0.421,0.033,0.776,0.212,0.537
"P12","A Patricia Bullrich",0.163,0.908,0.691,0.027,0.074,0.239,0.109,0.724,0.196
"P12","A Facundo Manes",0.048,0.012,0.075,0.75,0.277,0.429,0.096,0.064,0.095
"P12","A Gerardo Morales",0.048,0.021,0.034,0.044,0.228,0.299,0.019,0,0.172
"P13","Lo votaría",0.093,0.027,0.019,0.451,0.224,0.227,0.079,0.038,0.049
"P13","Puede que lo vote",0.101,0.083,0.187,0.406,0.398,0.344,0.077,0.067,0.139
"P13","Nunca lo votaría",0.691,0.853,0.719,0.069,0.2,0.237,0.76,0.817,0.462
"P13","No sabe",0.115,0.037,0.075,0.074,0.178,0.192,0.084,0.078,0.35
"P14","Lo votaría",0.085,0.017,0.033,0.259,0.144,0.235,0.054,0.037,0.104
