"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.509,0.392,0.488,0.476,0.408
"P04","Realizo changas o trabajos de vez en cuando",0.174,0.137,0.227,0.155,0.175
"P04","No tengo trabajo",0.119,0.169,0.197,0.194,0.2
"P04","Soy jubilado o pensionado",0.198,0.302,0.088,0.175,0.217
"P05","1",0.179,0.366,0.371,0.213,0.297
"P05","2",0.066,0.066,0.108,0.051,0.052
"P05","3",0.019,0.063,0.11,0.032,0.065
"P05","4",0.039,0.128,0.077,0.05,0.076
"P05","5",0.153,0.213,0.178,0.132,0.223
"P05","6",0.08,0.043,0.03,0.016,0.047
"P05","7",0.148,0.038,0.02,0.086,0.065
"P05","8",0.089,0.014,0.02,0.11,0.044
"P05","9",0.227,0.069,0.086,0.31,0.131
"P06","1",0.443,0.18,0.102,0.264,0.349
"P06","2",0.092,0.026,0.036,0.14,0.037
"P06","3",0.071,0.027,0.048,0.068,0.061
"P06","4",0.069,0.045,0.042,0.041,0.043
"P06","5",0.144,0.216,0.174,0.229,0.239
"P06","6",0.019,0.062,0.058,0.023,0.021
"P06","7",0.034,0.093,0.079,0.021,0.057
"P06","8",0.021,0.085,0.097,0.022,0.033
"P06","9",0.107,0.266,0.364,0.192,0.16
"P07","1",0.597,0.231,0.225,0.564,0.35
"P07","2",0.04,0.031,0.013,0.069,0.021
"P07","3",0.043,0.039,0.047,0.061,0.021
"P07","4",0.025,0.038,0.011,0.006,0.027
"P07","5",0.065,0.139,0.132,0.098,0.127
"P07","6",0.028,0.024,0.04,0.011,0.015
"P07","7",0.01,0.041,0.057,0.014,0.025
"P07","8",0.013,0.038,0.072,0.013,0.027
"P07","9",0.179,0.419,0.403,0.164,0.387
"P09","Del Frente de Todos y el peronismo",0.891,0.055,0.03,0.353,0.311
"P09","De Juntos por el cambio",0.043,0.813,0.215,0.142,0.231
"P09","De los Liberales libertarios",0.011,0.04,0.67,0.035,0.051
"P09","De la Izquierda",0.006,0.008,0.006,0.397,0.018
"P09","No sabe",0.049,0.084,0.079,0.073,0.389
"P10","A Alberto Fernández",0.092,0.212,0.099,0.07,0.243
"P10","A Sergio Massa",0.212,0.353,0.335,0.198,0.197
"P10","A algún candidato del peronismo",0.166,0.382,0.482,0.406,0.101
"P10","A algún candidato del kirchnerismo",0.53,0.053,0.084,0.326,0.459
"P11","A Alberto Fernández",0.074,0.269,0.032,0.037,0.136
"P11","A Sergio Massa",0.116,0.331,0.581,0.023,0.142
"P11","A algún candidato del peronismo",0.111,0.307,0.204,0.206,0.06
"P11","A Cristina Fernández de Kirchner",0.699,0.093,0.183,0.734,0.662
"P12","A Horacio Rodriguez Larreta",0.211,0.332,0.17,0.206,0.156
"P12","A Patricia Bullrich",0.171,0.579,0.813,0.609,0.726
"P12","A Facundo Manes",0.229,0.048,0.014,0.114,0.057
"P12","A Gerardo Morales",0.389,0.041,0.003,0.071,0.061
"P13","Lo votaría",0.308,0.063,0.018,0.119,0.111
"P13","Puede que lo vote",0.453,0.097,0.08,0.234,0.196
"P13","Nunca lo votaría",0.112,0.805,0.85,0.524,0.471
"P13","No sabe",0.127,0.035,0.052,0.123,0.222
"P14","Lo votaría",0.246,0.018,0.008,0.075,0.086
"P14","Puede que lo vote",0.399,0.024,0.019,0.264,0.104
"P14","Nunca lo votaría",0.241,0.948,0.933,0.588,0.602
"P14","No sabe",0.114,0.01,0.04,0.073,0.208
"P15","Lo votaría",0.052,0.39,0.024,0.023,0.015
"P15","Puede que lo vote",0.093,0.433,0.25,0.159,0.17
"P15","Nunca lo votaría",0.84,0.134,0.665,0.78,0.671
"P15","No sabe",0.015,0.043,0.061,0.038,0.144
"P16","Lo votaría",0.036,0.172,0.051,0.064,0.029
"P16","Puede que lo vote",0.146,0.345,0.199,0.2,0.171
"P16","Nunca lo votaría",0.709,0.355,0.673,0.594,0.592
"P16","No sabe",0.109,0.128,0.077,0.142,0.208
"P17","La votaría",0.031,0.581,0.341,0.081,0.183
"P17","Puede que la vote",0.024,0.209,0.283,0.138,0.094
"P17","Nunca la votaría",0.925,0.181,0.33,0.74,0.557
"P17","No sabe",0.02,0.029,0.046,0.041,0.166
"P18","Lo votaría",0.017,0.096,0.675,0.035,0.045
"P18","Puede que lo vote",0.053,0.289,0.253,0.149,0.127
"P18","Nunca lo votaría",0.914,0.541,0.049,0.778,0.707
"P18","No sabe",0.016,0.074,0.023,0.038,0.121
"P19","La votaría",0.039,0.282,0.133,0.032,0.056
"P19","Puede que la vote",0.036,0.36,0.253,0.171,0.151
"P19","Nunca la votaría",0.89,0.306,0.554,0.746,0.667
"P19","No sabe",0.035,0.052,0.06,0.051,0.126
"P20","Lo votaría",0.362,0.041,0.027,0.167,0.099
"P20","Puede que lo vote",0.336,0.082,0.048,0.307,0.144
"P20","Nunca lo votaría",0.243,0.79,0.858,0.448,0.56
"P20","No sabe",0.059,0.087,0.067,0.078,0.197
"P21","Lo votaría",0.365,0.024,0.02,0.04,0.036
"P21","Puede que lo vote",0.494,0.035,0.043,0.295,0.134
"P21","Nunca lo votaría",0.087,0.907,0.918,0.533,0.656
"P21","No sabe",0.054,0.034,0.019,0.132,0.174
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.002,0.265,0.004,0.017,0.004
"P22","Patricia Bullrich por Juntos por el Cambio",0.014,0.549,0.278,0.072,0.241
"P22","Facundo Manes por Juntos por el Cambio",0.019,0.098,0.024,0.05,0.077
"P22","Alberto Fernández por el Frente de Todos",0.115,0.013,0.01,0.083,0.09
"P22","Sergio Massa por el Frente de Todos",0.198,0.027,0.011,0.027,0.113
"P22","Wado de Pedro por el Frente de Todos",0.369,0.009,0.005,0.214,0.13
"P22","Daniel Scioli por el Frente de Todos",0.25,0.004,0.008,0.056,0.015
"P22","Javier Milei por los liberales libertarios",0,0.012,0.637,0.046,0.043
"P22","Al candidato del Frente de Izquierda",0.007,0.004,0,0.366,0.001
"P22","No sabe",0.026,0.019,0.023,0.069,0.286
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.24,0.008,0.011,0.013
"P23","Patricia Bullrich por Juntos por el Cambio",0.009,0.478,0.256,0.08,0.247
"P23","María Eugenia Vidal por Juntos por el Cambio",0.012,0.149,0.028,0.016,0.044
"P23","Facundo Manes por Juntos por el Cambio",0.016,0.074,0.013,0.065,0.068
"P23","Sergio Massa por el Frente de Todos",0.254,0.021,0.014,0.098,0.145
"P23","Wado de Pedro por el Frente de Todos",0.376,0.007,0.005,0.224,0.136
"P23","Daniel Scioli por el Frente de Todos",0.278,0.008,0.002,0.023,0.028
"P23","Javier Milei por los liberales libertarios",0.001,0.011,0.668,0.038,0.03
"P23","Al candidato del Frente de Izquierda",0.018,0,0.001,0.371,0.002
"P23","No sabe",0.023,0.012,0.005,0.074,0.287
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.233,0.001,0.028,0.001
"P24","Patricia Bullrich por Juntos por el Cambio",0.015,0.488,0.268,0.079,0.252
"P24","María Eugenia Vidal por Juntos por el Cambio",0.01,0.138,0.034,0.022,0.027
"P24","Facundo Manes por Juntos por el Cambio",0.013,0.086,0.01,0.068,0.088
"P24","Sergio Massa por el Frente de Todos",0.282,0.017,0.005,0.09,0.121
"P24","Wado de Pedro por el Frente de Todos",0.433,0.004,0.004,0.216,0.145
"P24","Alberto Fernández por el Frente de Todos",0.176,0.014,0.013,0.028,0.088
"P24","Javier Milei por los liberales libertarios",0.003,0.012,0.649,0.038,0.033
"P24","Al candidato del Frente de Izquierda",0.006,0,0.001,0.346,0.003
"P24","No sabe",0.048,0.008,0.015,0.085,0.242
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.249,0.011,0.038,0.041
"P25","Patricia Bullrich por Juntos por el Cambio",0.012,0.454,0.215,0.096,0.198
"P25","Facundo Manes por Juntos por el Cambio",0.008,0.157,0.074,0.048,0.112
"P25","Sergio Massa por el Frente de Todos",0.221,0.036,0.012,0.053,0.117
"P25","Wado de Pedro por el Frente de Todos",0.387,0.012,0.014,0.171,0.156
"P25","Daniel Scioli por el Frente de Todos",0.315,0.006,0.01,0.112,0.054
"P25","Javier Milei por los liberales libertario",0.024,0.071,0.332,0.036,0.03
