"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.509,0.394,0.479,0.523,0.441
"P04","Realizo changas o trabajos de vez en cuando",0.149,0.141,0.241,0.196,0.221
"P04","No tengo trabajo",0.138,0.173,0.199,0.178,0.185
"P04","Soy jubilado o pensionado",0.204,0.292,0.081,0.103,0.153
"P05","1",0.186,0.379,0.363,0.209,0.255
"P05","2",0.064,0.083,0.106,0.018,0.061
"P05","3",0.023,0.094,0.067,0.022,0.066
"P05","4",0.037,0.121,0.088,0.028,0.071
"P05","5",0.147,0.205,0.201,0.128,0.227
"P05","6",0.074,0.034,0.031,0.014,0.06
"P05","7",0.154,0.027,0.017,0.1,0.081
"P05","8",0.091,0.017,0.025,0.139,0.036
"P05","9",0.224,0.04,0.102,0.342,0.143
"P06","1",0.452,0.161,0.13,0.262,0.32
"P06","2",0.081,0.029,0.035,0.137,0.049
"P06","3",0.071,0.044,0.035,0.054,0.072
"P06","4",0.074,0.04,0.039,0.041,0.058
"P06","5",0.147,0.194,0.179,0.258,0.254
"P06","6",0.017,0.058,0.056,0.018,0.037
"P06","7",0.035,0.095,0.062,0.018,0.055
"P06","8",0.017,0.091,0.105,0.017,0.029
"P06","9",0.106,0.288,0.359,0.195,0.126
"P07","1",0.628,0.225,0.201,0.589,0.349
"P07","2",0.03,0.029,0.02,0.049,0.032
"P07","3",0.044,0.052,0.031,0.056,0.031
"P07","4",0.02,0.034,0.016,0.015,0.028
"P07","5",0.06,0.141,0.124,0.078,0.129
"P07","6",0.021,0.025,0.051,0.017,0.02
"P07","7",0.006,0.044,0.061,0.005,0.036
"P07","8",0.014,0.044,0.065,0.035,0.023
"P07","9",0.177,0.406,0.431,0.156,0.352
"P09","Del Frente de Todos y el peronismo",0.874,0.033,0.072,0.336,0.37
"P09","De Juntos por el cambio",0.046,0.787,0.107,0.114,0.136
"P09","De los Liberales libertarios",0.008,0.103,0.718,0,0.06
"P09","De la Izquierda",0.009,0.002,0.009,0.463,0.022
"P09","No sabe",0.063,0.075,0.094,0.087,0.412
"P10","A Alberto Fernández",0.102,0.45,0.042,0.017,0.147
"P10","A Sergio Massa",0.214,0.023,0.358,0.216,0.26
"P10","A algún candidato del peronismo",0.156,0.527,0.356,0.321,0.172
"P10","A algún candidato del kirchnerismo",0.528,0,0.244,0.446,0.421
"P11","A Alberto Fernández",0.075,0.276,0.042,0,0.13
"P11","A Sergio Massa",0.102,0.064,0.614,0.053,0.205
"P11","A algún candidato del peronismo",0.102,0.485,0.126,0.257,0.084
"P11","A Cristina Fernández de Kirchner",0.721,0.175,0.218,0.69,0.581
"P12","A Horacio Rodriguez Larreta",0.288,0.23,0.345,0.606,0.546
"P12","A Patricia Bullrich",0.012,0.71,0.508,0.185,0.272
"P12","A Facundo Manes",0.306,0.027,0.142,0.159,0.057
"P12","A Gerardo Morales",0.394,0.033,0.005,0.05,0.125
"P13","Lo votaría",0.299,0.035,0.051,0.111,0.137
"P13","Puede que lo vote",0.45,0.11,0.09,0.196,0.189
"P13","Nunca lo votaría",0.112,0.827,0.805,0.533,0.454
"P13","No sabe",0.139,0.028,0.054,0.16,0.22
"P14","Lo votaría",0.237,0.012,0.012,0.048,0.109
"P14","Puede que lo vote",0.396,0.02,0.033,0.267,0.119
"P14","Nunca lo votaría",0.25,0.951,0.904,0.573,0.557
"P14","No sabe",0.117,0.017,0.051,0.112,0.215
"P15","Lo votaría",0.048,0.245,0.079,0.086,0.051
"P15","Puede que lo vote",0.084,0.405,0.238,0.134,0.189
"P15","Nunca lo votaría",0.841,0.312,0.622,0.742,0.616
"P15","No sabe",0.027,0.038,0.061,0.038,0.144
"P16","Lo votaría",0.03,0.116,0.097,0.103,0.035
"P16","Puede que lo vote",0.128,0.312,0.188,0.183,0.214
"P16","Nunca lo votaría",0.695,0.474,0.62,0.627,0.559
"P16","No sabe",0.147,0.098,0.095,0.087,0.192
"P17","La votaría",0.018,0.679,0.22,0.016,0.044
"P17","Puede que la vote",0.026,0.203,0.324,0.111,0.062
"P17","Nunca la votaría",0.914,0.1,0.403,0.849,0.742
"P17","No sabe",0.042,0.018,0.053,0.024,0.152
"P18","Lo votaría",0.013,0.162,0.716,0.004,0.042
"P18","Puede que lo vote",0.052,0.335,0.192,0.096,0.106
"P18","Nunca lo votaría",0.903,0.438,0.07,0.883,0.741
"P18","No sabe",0.032,0.065,0.022,0.017,0.111
"P19","La votaría",0.04,0.226,0.166,0.03,0.045
"P19","Puede que la vote",0.03,0.38,0.204,0.101,0.124
"P19","Nunca la votaría",0.894,0.325,0.58,0.833,0.718
"P19","No sabe",0.036,0.069,0.05,0.036,0.113
"P20","Lo votaría",0.374,0.035,0.045,0.083,0.097
"P20","Puede que lo vote",0.339,0.071,0.068,0.308,0.147
"P20","Nunca lo votaría",0.198,0.836,0.818,0.524,0.574
"P20","No sabe",0.089,0.058,0.069,0.085,0.182
"P21","Lo votaría",0.327,0.014,0.055,0.015,0.076
"P21","Puede que lo vote",0.504,0.016,0.045,0.276,0.183
"P21","Nunca lo votaría",0.083,0.943,0.886,0.621,0.575
"P21","No sabe",0.086,0.027,0.014,0.088,0.166
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.134,0.034,0.109,0.079
"P22","Patricia Bullrich por Juntos por el Cambio",0.007,0.731,0.065,0,0.025
"P22","Facundo Manes por Juntos por el Cambio",0.019,0.064,0.056,0.082,0.082
"P22","Alberto Fernández por el Frente de Todos",0.111,0.007,0.013,0.079,0.093
"P22","Sergio Massa por el Frente de Todos",0.2,0.009,0.015,0.051,0.157
"P22","Wado de Pedro por el Frente de Todos",0.382,0.01,0.013,0.178,0.118
"P22","Daniel Scioli por el Frente de Todos",0.222,0.004,0.009,0.067,0.065
"P22","Javier Milei por los liberales libertarios",0.003,0.023,0.762,0,0.055
"P22","Al candidato del Frente de Izquierda",0.015,0.003,0,0.354,0
"P22","No sabe",0.037,0.015,0.033,0.08,0.326
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.118,0.041,0.105,0.087
"P23","Patricia Bullrich por Juntos por el Cambio",0.002,0.663,0.051,0,0.036
"P23","María Eugenia Vidal por Juntos por el Cambio",0.014,0.106,0.05,0.018,0.042
"P23","Facundo Manes por Juntos por el Cambio",0.017,0.051,0.03,0.094,0.075
"P23","Sergio Massa por el Frente de Todos",0.259,0.006,0.017,0.107,0.191
"P23","Wado de Pedro por el Frente de Todos",0.395,0.009,0.011,0.19,0.126
"P23","Daniel Scioli por el Frente de Todos",0.25,0.003,0.01,0.028,0.067
"P23","Javier Milei por los liberales libertarios",0.001,0.031,0.782,0,0.044
"P23","Al candidato del Frente de Izquierda",0.027,0,0.001,0.375,0.002
"P23","No sabe",0.02,0.013,0.007,0.083,0.33
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.114,0.033,0.094,0.077
"P24","Patricia Bullrich por Juntos por el Cambio",0.009,0.688,0.04,0,0.038
"P24","María Eugenia Vidal por Juntos por el Cambio",0.01,0.102,0.041,0.017,0.028
"P24","Facundo Manes por Juntos por el Cambio",0.011,0.054,0.038,0.082,0.098
"P24","Sergio Massa por el Frente de Todos",0.276,0.001,0.009,0.108,0.178
"P24","Wado de Pedro por el Frente de Todos",0.452,0.008,0.009,0.176,0.134
"P24","Alberto Fernández por el Frente de Todos",0.159,0.006,0.023,0.035,0.118
"P24","Javier Milei por los liberales libertarios",0.007,0.019,0.781,0.038,0.039
"P24","Al candidato del Frente de Izquierda",0.012,0.001,0,0.352,0.003
"P24","No sabe",0.047,0.007,0.026,0.098,0.287
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.147,0.045,0.103,0.075
"P25","Patricia Bullrich por Juntos por el Cambio",0.017,0.579,0.054,0.017,0.011
"P25","Facundo Manes por Juntos por el Cambio",0.005,0.19,0.024,0.033,0.104
"P25","Sergio Massa por el Frente de Todos",0.223,0.008,0.03,0.066,0.136
"P25","Wado de Pedro por el Frente de Todos",0.385,0.008,0.04,0.155,0.164
"P25","Daniel Scioli por el Frente de Todos",0.298,0.005,0.016,0.123,0.095
"P25","Javier Milei por los liberales libertario",0.026,0.041,0.396,0.068,0.076
"P25","Al candidato del Frente de Izquierda",0.006,0.01,0.388,0.269,0.015
"P25","No sabe",0.027,0.012,0.007,0.166,0.324
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.189,0.049,0.139,0.072
"P26","Patricia Bulrich por Juntos por el Cambio",0.025,0.712,0.076,0,0.059
"P26","Alberto Fernández por el Frente de Todos",0.197,0.007,0.014,0.044,0.154
"P26","Sergio Massa por el Frente de Todos",0.537,0.008,0.043,0.148,0.155
"P26","Javier Milei por los liberales libertarios",0.031,0.049,0.738,0,0.086
"P26","Al candidato del Frente de Izquierda",0.066,0.013,0.01,0.591,0.026
"P26","No sabe",0.114,0.022,0.07,0.078,0.448
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.191,0.055,0.143,0.089
"P27","Patricia Bullrich por Juntos por el Cambio",0.008,0.733,0.054,0.005,0.049
"P27","Wado de Pedro por el Frente de Todos",0.439,0.009,0.026,0.148,0.146
"P27","Sergio Massa por el Frente de Todos",0.384,0.007,0.042,0.14,0.176
"P27","Javier Milei por los liberales libertarios",0.024,0.046,0.807,0.004,0.069
"P27","Al candidato del Frente de Izquierda",0.04,0.002,0.008,0.492,0.022
