"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.542,0.444,0.399
"P04","Realizo changas o trabajos de vez en cuando",0.135,0.14,0.273
"P04","No tengo trabajo",0.143,0.177,0.171
"P04","Soy jubilado o pensionado",0.18,0.239,0.157
"P05","1",0.195,0.377,0.305
"P05","2",0.056,0.087,0.06
"P05","3",0.019,0.093,0.079
"P05","4",0.027,0.111,0.083
"P05","5",0.164,0.208,0.179
"P05","6",0.075,0.035,0.025
"P05","7",0.136,0.027,0.066
"P05","8",0.107,0.021,0.039
"P05","9",0.221,0.041,0.164
"P06","1",0.415,0.146,0.292
"P06","2",0.094,0.027,0.044
"P06","3",0.07,0.043,0.064
"P06","4",0.067,0.038,0.066
"P06","5",0.183,0.188,0.164
"P06","6",0.016,0.065,0.043
"P06","7",0.05,0.097,0.027
"P06","8",0.011,0.109,0.05
"P06","9",0.094,0.287,0.25
"P07","1",0.583,0.208,0.379
"P07","2",0.042,0.027,0.027
"P07","3",0.046,0.054,0.021
"P07","4",0.025,0.026,0.016
"P07","5",0.083,0.138,0.094
"P07","6",0.02,0.035,0.028
"P07","7",0.014,0.058,0.017
"P07","8",0.017,0.051,0.04
"P07","9",0.17,0.403,0.378
"P09","Del Frente de Todos y el peronismo",0.836,0.03,0.29
"P09","De Juntos por el cambio",0.044,0.624,0.115
"P09","De los Liberales libertarios",0.029,0.282,0.217
"P09","De la Izquierda",0.021,0.002,0.075
"P09","No sabe",0.07,0.062,0.303
"P10","A Alberto Fernández",0.087,0.373,0.071
"P10","A Sergio Massa",0.236,0.199,0.237
"P10","A algún candidato del peronismo",0.16,0.401,0.246
"P10","A algún candidato del kirchnerismo",0.517,0.027,0.446
"P11","A Alberto Fernández",0.072,0.127,0.044
"P11","A Sergio Massa",0.138,0.242,0.156
"P11","A algún candidato del peronismo",0.114,0.419,0.099
"P11","A Cristina Fernández de Kirchner",0.676,0.212,0.701
"P12","A Horacio Rodriguez Larreta",0.286,0.215,0.562
"P12","A Patricia Bullrich",0.071,0.729,0.219
"P12","A Facundo Manes",0.225,0.026,0.091
"P12","A Gerardo Morales",0.418,0.03,0.128
"P13","Lo votaría",0.285,0.02,0.113
"P13","Puede que lo vote",0.441,0.104,0.177
"P13","Nunca lo votaría",0.101,0.85,0.573
"P13","No sabe",0.173,0.026,0.137
"P14","Lo votaría",0.245,0.003,0.038
"P14","Puede que lo vote",0.429,0.02,0.074
"P14","Nunca lo votaría",0.186,0.966,0.745
"P14","No sabe",0.14,0.011,0.143
"P15","Lo votaría",0.033,0.189,0.074
"P15","Puede que lo vote",0.117,0.39,0.117
"P15","Nunca lo votaría",0.808,0.394,0.715
"P15","No sabe",0.042,0.027,0.094
"P16","Lo votaría",0.026,0.101,0.052
"P16","Puede que lo vote",0.121,0.302,0.179
"P16","Nunca lo votaría",0.693,0.52,0.613
"P16","No sabe",0.16,0.077,0.156
"P17","La votaría",0.018,0.587,0.03
"P17","Puede que la vote",0.032,0.268,0.106
"P17","Nunca la votaría",0.903,0.128,0.747
"P17","No sabe",0.047,0.017,0.117
"P18","Lo votaría",0.036,0.313,0.206
"P18","Puede que lo vote",0.053,0.301,0.13
"P18","Nunca lo votaría",0.889,0.335,0.57
"P18","No sabe",0.022,0.051,0.094
"P19","La votaría",0.029,0.208,0.05
